"Student Counts by School and Gender"
"All Districts, All Schools"
"2010-11"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",271,339,610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",404,408,812
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",143,191,334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",341,386,727
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",202,256,458
"Ansonia School District","=""0020011""","Mead School","=""0020311""",313,329,642
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",387,400,787
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*","*",19
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",24,146,170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",337,383,720
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",41,112,153
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",28,100,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",19,83,102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",13,40,53
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",338,308,646
"Ashford School District","=""0030011""","Ashford School","=""0030111""",226,250,476
"Avon School District","=""0040011""","Avon High School","=""0046111""",556,532,1088
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",289,295,584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",308,323,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",330,321,651
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",291,303,594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",149,194,343
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",12,18,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",514,503,1017
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",345,374,719
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",223,312,535
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",279,306,585
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",115,146,261
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",240,272,512
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",176,208,384
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",493,466,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",334,349,683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",214,246,460
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",214,238,452
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",288,305,593
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",146,159,305
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",125,140,265
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",161,190,351
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",130,151,281
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",56,33,89
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",143,169,312
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",282,286,568
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",184,146,330
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",122,111,233
"Branford School District","=""0140011""","Branford High School","=""0146111""",567,531,1098
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",505,535,1040
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",20,33,53
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",188,180,368
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",218,208,426
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",203,228,431
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",198,211,409
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",304,328,632
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",528,643,1171
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",175,195,370
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",145,138,283
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",539,575,1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",7,43,50
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",206,233,439
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1173,1130,2303
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",521,542,1063
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",169,165,334
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",331,332,663
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",202,206,408
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",273,323,596
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",163,152,315
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",130,125,255
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",438,430,868
