"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","Y",52,50,96.2,50,39,78.0,"*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","N",361,361,100.0,361,151,41.8,129,35.7,"*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","Y",52,50,96.2,50,41,82.0,7,14.0,"*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","N",206,206,100.0,206,"*","*",42,20.4,"*","*",63,30.6,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","ELA","Y",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","N",206,206,100.0,206,"*","*",64,31.1,"*","*",40,19.4,"*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Math","Y",25,25,100.0,25,15,60.0,"*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","N",486,485,99.8,485,8,1.6,49,10.1,199,41.0,229,47.2,428,88.2
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","Y",54,53,98.1,53,14,26.4,26,49.1,13,24.5,0,0.0,13,24.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","N",488,486,99.6,486,14,2.9,55,11.3,114,23.5,303,62.3,417,85.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","Y",54,53,98.1,53,21,39.6,18,34.0,14,26.4,0,0.0,14,26.4
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","N",227,227,100.0,227,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","N",228,228,100.0,228,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","N",201,200,99.5,200,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","N",201,200,99.5,200,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","Y",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","N",512,512,100.0,512,"*","*",56,10.9,175,34.2,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","Y",38,37,97.4,37,12,32.4,13,35.1,"*","*","*","*",12,32.4
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","N",512,511,99.8,511,32,6.3,103,20.2,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","Y",38,37,97.4,37,22,59.5,10,27.0,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","N",147,141,95.9,141,"*","*",31,22.0,"*","*","*","*","*","*"
