"College-and-Career-Readiness Course-Taking, 2014-15"

"Notes:"
"* This report provides the number and percentage of 11th and 12th graders enrolled in College-and-Career-Readiness (CCR) courses during high school."
"* CCR courses include Advanced Placement (AP) and International Baccalaureate (IB) for all years, and effective 2014-15 also include Career and Technical Education(CTE), workplace experience and dual enrollment courses."

"",,"11th",,"12th",
"District","District Code","Count","%","Count","%"
"Westport School District","=""1580011""",248,51.7,334,70.9
"Wethersfield School District","=""1590011""",168,54.7,221,79.8
"Wilton School District","=""1610011""",94,27.5,196,57.3
"Winchester School District","=""1620011""","N/A","N/A","*","*"
"Windham School District","=""1630011""",81,68.6,108,89.3
"Windsor School District","=""1640011""",113,41.4,169,56.0
"Windsor Locks School District","=""1650011""",25,17.7,54,41.5
"Wolcott School District","=""1660011""",61,27.6,129,70.5
"Regional School District 01","=""2010012""",39,36.1,62,69.7
"Regional School District 04","=""2040012""",104,70.3,167,89.8
"Regional School District 05","=""2050012""",144,36.5,322,76.1
"Regional School District 06","=""2060012""",56,54.4,57,65.5
"Regional School District 07","=""2070012""",170,93.4,136,93.8
"Regional School District 08","=""2080012""",192,71.6,242,89.0
"Regional School District 09","=""2090012""",85,32.9,184,70.0
"Regional School District 10","=""2100012""",97,50.3,132,67.7
"Regional School District 11","=""2110012""",18,58.1,34,58.6
"Regional School District 12","=""2120012""",6,7.5,40,52.6
"Regional School District 13","=""2130012""",134,93.7,138,84.7
"Regional School District 14","=""2140012""",150,76.9,167,85.2
"Regional School District 15","=""2150012""",73,25.8,179,60.5
"Regional School District 16","=""2160012""",116,62.7,146,82.0
"Regional School District 17","=""2170012""",102,70.3,150,87.7
"Regional School District 18","=""2180012""",99,93.4,70,77.8
"Regional School District 19","=""2190012""",93,32.9,204,65.6
"Capitol Region Education Council","=""2410014""",352,77.7,260,68.2
"Education Connection","=""2420014""","N/A","N/A","N/A","N/A"
"Cooperative Educational Services","=""2430014""","N/A","N/A","N/A","N/A"
"Area Cooperative Educational Services","=""2440014""",17,37.8,30,24.8
"Learn","=""2450014""",96,49.5,48,28.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",27,41.5,41,56.9
"Jumoke Academy District","=""2610013""","N/A","N/A","N/A","N/A"
"Common Ground High School District","=""2680013""",7,25.9,8,21.1
"The Bridge Academy District","=""2690013""","N/A","N/A","N/A","N/A"
"Explorations District","=""2720013""","*","*","*","*"
"Amistad Academy District","=""2790013""",20,60.6,26,100.0
"Stamford Academy District","=""2820013""","N/A","N/A","N/A","N/A"
"Bridgeport Achievement First District","=""2850013""",9,31.0,29,96.7
"Achievement First Hartford Academy Inc. District","=""2880013""",24,77.4,"N/A","N/A"
"Elm City College Preparatory School District","=""2890013""",10,"*",17,"*"
"Path Academy District","=""2930013""","N/A","N/A","N/A","N/A"
"Unified School District #1","=""3360015""","N/A","N/A","N/A","N/A"
"Department of Mental Health and Addiction Services","=""3370015""","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""",8,21.6,"*","*"
"Connecticut Technical High School System","=""9000016""",2520,100.0,2425,100.0
"Norwich Free Academy District","=""9010022""",246,44.7,336,62.2
"The Gilbert School District","=""9020022""",21,22.1,39,45.3
"Woodstock Academy District","=""9030022""",79,32.4,169,59.1

