"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2007-08"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",547,0,547
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",347,0,347
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",751,9,760
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",578,18,596
"Ansonia School District","=""0020011""","Mead School","=""0020311""",574,25,599
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",749,27,776
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",19,0,19
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",99,0,99
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",176
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",723,29,752
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",174,0,174
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",125,0,125
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*",92
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*",56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",605
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*",500
"Avon School District","=""0040011""","Avon High School","=""0046111""",1029,7,1036
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*","*",582
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",603,15,618
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",757,19,776
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*","*",590
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*","*",328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30,0,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1055,8,1063
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",765,13,778
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",547,30,577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",577,12,589
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",250,13,263
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",569,0,569
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",396,29,425
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",1017,17,1034
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",720,23,743
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",460,28,488
