"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, High Needs (F/R, EL or SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","ELA","Y",592,589,99.5,589,170,28.9,155,26.3,165,28.0,99,16.8,264,44.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Math","Y",592,586,99.0,585,222,37.9,189,32.3,97,16.6,77,13.2,174,29.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","Y",455,452,99.3,452,102,22.6,119,26.3,162,35.8,69,15.3,231,51.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","ELA","N",83,82,98.8,82,7,8.5,15,18.3,37,45.1,23,28.0,60,73.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","Y",455,451,99.1,451,110,24.4,133,29.5,125,27.7,83,18.4,208,46.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Math","N",83,82,98.8,82,9,11.0,28,34.1,14,17.1,31,37.8,45,54.9
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","Y",34,32,94.1,32,"*","*",9,28.1,9,28.1,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","ELA","N",125,124,99.2,124,"*","*","*","*",36,29.0,66,53.2,102,82.3
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","Y",34,32,94.1,32,"*","*",12,37.5,8,25.0,"*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Math","N",125,124,99.2,124,"*","*","*","*",46,37.1,52,41.9,98,79.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","Y",267,257,96.3,257,123,47.9,76,29.6,50,19.5,8,3.1,58,22.6
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","ELA","N",86,86,100.0,86,22,25.6,29,33.7,26,30.2,9,10.5,35,40.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","Y",267,257,96.3,257,133,51.8,87,33.9,25,9.7,12,4.7,37,14.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Math","N",86,86,100.0,85,27,31.8,34,40.0,12,14.1,12,14.1,24,28.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","Y",250,250,100.0,250,111,44.4,71,28.4,48,19.2,20,8.0,68,27.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","ELA","N",96,96,100.0,96,25,26.0,24,25.0,29,30.2,18,18.8,47,49.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","Y",250,250,100.0,250,119,47.6,88,35.2,30,12.0,13,5.2,43,17.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Math","N",96,96,100.0,96,22,22.9,35,36.5,28,29.2,11,11.5,39,40.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","Y",251,246,98.0,246,93,37.8,68,27.6,59,24.0,26,10.6,85,34.6
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","ELA","N",100,98,98.0,98,12,12.2,25,25.5,37,37.8,24,24.5,61,62.2
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","Y",251,245,97.6,245,94,38.4,87,35.5,54,22.0,10,4.1,64,26.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Math","N",100,98,98.0,98,20,20.4,35,35.7,26,26.5,17,17.3,43,43.9
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","Y","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","Y",470,470,100.0,470,206,43.8,127,27.0,112,23.8,25,5.3,137,29.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","ELA","N",254,254,100.0,254,38,15.0,72,28.3,91,35.8,53,20.9,144,56.7
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","Y",470,470,100.0,470,264,56.2,133,28.3,58,12.3,15,3.2,73,15.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Math","N",254,254,100.0,254,57,22.4,86,33.9,65,25.6,46,18.1,111,43.7
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","Y",250,248,99.2,248,98,39.5,65,26.2,60,24.2,25,10.1,85,34.3
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","ELA","N",163,163,100.0,163,28,17.2,37,22.7,58,35.6,40,24.5,98,60.1
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Math","Y",250,248,99.2,248,142,57.3,77,31.0,"*","*","*","*",29,11.7
