"Student Counts by School and Gender"
"All Districts, All Schools"
"2014-15"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",466,488,954
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",499,485,984
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",129,146,275
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",276,308,584
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",240,258,498
"Ansonia School District","=""0020011""","Mead School","=""0020311""",286,311,597
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",16,24,40
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",318,362,680
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",8,31,39
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",25,135,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",350,363,713
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",45,106,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",36,77,113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",27,63,90
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",8,34,42
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",309,322,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",204,211,415
"Avon School District","=""0040011""","Avon High School","=""0046111""",528,523,1051
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",289,259,548
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",26,22,48
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",308,268,576
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",264,282,546
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",243,309,552
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",135,160,295
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",10,12,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",439,479,918
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",308,394,702
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",232,272,504
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",254,293,547
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",112,113,225
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",187,220,407
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",209,204,413
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",432,457,889
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",320,375,695
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",247,299,546
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",187,199,386
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",246,292,538
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",94,114,208
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",90,124,214
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",137,83,220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",181,164,345
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",6,7,13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",118,130,248
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",154,167,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",258,262,520
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",157,161,318
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",38,53,91
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",103,106,209
"Branford School District","=""0140011""","Branford High School","=""0146111""",475,486,961
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","*","*",9
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",462,454,916
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",11,28,39
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",169,186,355
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",186,202,388
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",166,247,413
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",91,59,150
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",484,493,977
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",120,236,356
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",286,349,635
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",441,567,1008
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",180,190,370
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",240,108,348
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",189,224,413
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",513,601,1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",13,52,65
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",93,140,233
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",186,220,406
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",849,824,1673
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",541,663,1204
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",189,182,371
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",421,440,861
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",180,206,386
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",348,421,769
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",191,186,377
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",123,151,274
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",393,431,824
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",126,136,262
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",144,158,302
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",535,599,1134
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",222,192,414
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",182,189,371
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",130,235,365
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",253,265,518
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",326,353,679
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",447,473,920
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",237,296,533
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",263,194,457
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",251,214,465
"Bridgeport School District","=""0150011""","Read School","=""0152511""",424,460,884
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",275,287,562
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",138,249,387
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",247,244,491
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",303,349,652
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",567,613,1180
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",34,40,74
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",614,633,1247
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",19,25,44
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",351,409,760
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*",8
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*",7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",11
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",168,172,340
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",207,215,422
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,"*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",432,460,892
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*","*",6
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",193,203,396
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",201,181,382
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,"*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",219,211,430
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",0,"*","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",0,6,6
"Bristol School District","=""0170011""","South Side School","=""0171111""",257,272,529
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*",11
"Bristol School District","=""0170011""","Stafford School","=""0171211""",223,220,443
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",446,473,919
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",467,428,895
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",165,169,334
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",291,308,599
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",430,452,882
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",261,275,536
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",185,188,373
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",41,37,78
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",120,123,243
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",99,129,228
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",231,254,485
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",202,208,410
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",143,129,272
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",230,219,449
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",157,479,636
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",122,175,297
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",402,127,529
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",167,146,313
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",151,205,356
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",9,11,20
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",196,239,435
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",341,116,457
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",218,110,328
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",238,227,465
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",22,35,57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",6,9,15
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",401,335,736
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",183,174,357
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",239,220,459
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",175,344,519
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",229,239,468
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",16,48,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",22,129,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",24,22,46
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*","*",8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*",9
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""","*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*",9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",12
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",143,160,303
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",263,401,664
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",229,217,446
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",78,100,178
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",180,170,350
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",701,811,1512
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","*","*",8
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",69,101,170
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",387,368,755
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",266,236,502
"Cheshire School District","=""0250011""","Highland School","=""0250411""",372,396,768
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",9,10,19
"Cheshire School District","=""0250011""","Norton School","=""0250511""",230,217,447
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",129,90,219
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",139,176,315
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",224,237,461
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",276,280,556
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",281,269,550
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",467,419,886
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",262,280,542
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",278,307,585
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",305,321,626
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",39,52,91
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",224,229,453
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",80,100,180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",429,378,807
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",435,366,801
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",263,365,628
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",253,313,566
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",207,306,513
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",208,360,568
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",354,431,785
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",177,442,619
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",227,422,649
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",149,505,654
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",57,88,145
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",251,422,673
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",257,403,660
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",326,500,826
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",161,469,630
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",345,396,741
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",174,351,525
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",25,65,90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",14,36,50
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*",11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",45,40,85
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",242,217,459
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",23,131,154
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",35,56,91
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",203,182,385
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",10
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",8,19,27
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",169,194,363
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",246,244,490
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",192,176,368
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",276,290,566
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",217,238,455
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",225,241,466
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",222,259,481
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",42,56,98
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",558,525,1083
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",53,77,130
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1409,1476,2885
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",196,233,429
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",173,182,355
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",209,249,458
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",181,185,366
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",192,198,390
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",169,165,334
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",184,187,371
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",274,289,563
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",175,200,375
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",472,460,932
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",235,262,497
"Danbury School District","=""0340011""","South Street School","=""0341011""",184,185,369
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",231,241,472
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",234,179,413
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",177,223,400
"Darien School District","=""0350011""","Darien High School","=""0356111""",673,692,1365
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",273,283,556
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",250,223,473
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",530,595,1125
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",204,245,449
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",200,242,442
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",253,240,493
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",155,157,312
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*","*",6
