"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","All Grades","Push Up","*",35.5,41.4,51.6,23.5
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","All Grades","Push Up",67.0,68.3,56.8,68.8,50.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fai","=""0150611""","All Grades","Push Up","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","All Grades","Push Up",67.1,81.0,73.7,57.1,45.6
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","All Grades","Push Up",73.0,60.9,65.3,68.4,77.6
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","All Grades","Push Up","N/A","N/A","N/A","N/A",78.6
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","All Grades","Push Up",57.8,64.6,68.9,46.3,50.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","All Grades","Push Up",72.1,83.1,"N/A",58.8,64.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","All Grades","Push Up",86.9,79.9,79.9,55.3,53.8
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","All Grades","Push Up",54.0,51.2,35.8,39.6,50.4
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","All Grades","Push Up",76.6,69.9,58.8,62.1,53.5
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","All Grades","Push Up",59.9,76.1,67.2,79.8,64.1
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","All Grades","Push Up",73.5,73.1,73.5,70.2,74.2
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","All Grades","Push Up",75.5,69.9,76.3,59.6,57.4
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","All Grades","Push Up",52.9,55.6,56.9,81.1,50.0
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","All Grades","Push Up",61.4,84.2,82.6,26.9,45.7
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","All Grades","Push Up",66.3,64.4,74.6,60.4,65.1
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","All Grades","Push Up",95.8,92.1,92.5,92.3,82.1
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","All Grades","Push Up","*","*",70.0,48.4,50.0
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","All Grades","Push Up",70.5,57.1,44.1,46.6,53.9
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","All Grades","Push Up",50.3,61.2,51.9,59.8,61.2
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School","=""0151511""","All Grades","Push Up","N/A","N/A","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","All Grades","Push Up",78.4,70.9,83.2,84.4,87.9
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","All Grades","Push Up",65.6,73.0,67.9,62.0,62.4
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","All Grades","Push Up",71.5,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","All Grades","Push Up",71.2,74.8,63.5,72.2,41.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","All Grades","Push Up",44.4,54.2,47.2,43.8,55.0
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","All Grades","Push Up",64.1,61.1,52.9,58.5,37.5
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","All Grades","Push Up",70.9,64.9,67.1,62.0,"N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","All Grades","Push Up",59.7,61.2,58.2,56.4,52.1
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","All Grades","Push Up",38.9,38.9,50.9,36.6,52.4
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","All Grades","Push Up",52.0,41.3,64.0,59.8,65.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","All Grades","Push Up",75.3,77.2,69.4,63.0,62.2
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","All Grades","Push Up",80.2,78.5,78.4,78.3,75.9
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","All Grades","Push Up",82.6,84.0,74.9,75.9,75.9
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","All Grades","Push Up",71.2,81.4,77.0,75.6,75.6
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","All Grades","Push Up",51.7,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","All Grades","Push Up",79.7,76.3,61.7,56.1,67.9
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","All Grades","Push Up",65.7,63.9,72.2,68.2,59.4
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","All Grades","Push Up",62.5,69.9,72.6,72.1,76.7
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","All Grades","Push Up",61.0,61.0,65.6,66.2,74.2
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","All Grades","Push Up",69.4,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","All Grades","Push Up",91.8,"N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","All Grades","Push Up",67.4,74.5,92.5,82.5,80.0
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","All Grades","Push Up",80.0,68.6,80.5,71.4,72.9
"Bristol School District","=""0170011""","South Side School","=""0171111""","All Grades","Push Up",74.4,91.0,77.9,79.5,53.1
"Bristol School District","=""0170011""","Stafford School","=""0171211""","All Grades","Push Up",66.7,63.4,67.6,63.4,60.2
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","All Grades","Push Up","N/A",76.0,55.4,62.8,61.6
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","All Grades","Push Up",85.1,72.3,67.4,80.4,54.1
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","All Grades","Push Up",83.1,73.5,81.4,78.5,73.1
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","All Grades","Push Up",75.6,81.4,73.2,74.4,74.9
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","All Grades","Push Up",57.4,66.7,59.0,60.6,60.3
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","All Grades","Push Up",43.9,40.6,40.9,49.4,42.9
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","All Grades","Push Up",80.0,65.2,46.4,74.1,65.4
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","All Grades","Push Up",65.7,53.1,55.3,59.2,71.1
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","All Grades","Push Up",79.2,79.3,77.1,86.4,80.2
"Canton School District","=""0230011""","Canton High School","=""0236111""","All Grades","Push Up",96.7,90.1,77.1,79.1,84.3
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","All Grades","Push Up",93.7,88.6,94.3,89.2,91.8
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","All Grades","Push Up",83.0,87.9,87.0,68.6,81.3
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","All Grades","Push Up",74.7,63.8,71.7,82.1,60.1
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","All Grades","Push Up","N/A","N/A","N/A","N/A",70.3
