"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",05,124,124,100.0,124,"*","*",25,20.2,44,35.5,37,29.8,"*","*","*","*",229
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",08,96,96,100.0,96,21,21.9,10,10.4,23,24.0,33,34.4,9,9.4,42,43.8,239
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",10,112,111,99.1,110,18,16.4,26,23.6,34,30.9,23,20.9,9,8.2,32,29.1,233
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",08,33,33,100.0,33,"*","*","*","*",9,27.3,15,45.5,"*","*","*","*",246
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",10,29,29,100.0,29,"*","*","*","*",13,44.8,7,24.1,"*","*","*","*",258
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",05,68,66,97.1,66,"*","*","*","*",6,9.1,30,45.5,23,34.8,53,80.3,277
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",08,49,49,100.0,49,"*","*","*","*",8,16.3,24,49.0,11,22.4,35,71.4,264
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",10,78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",05,29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",08,22,21,95.5,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",273
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",10,8,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
