"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",05,51,51,100.0,51,"*","*","*","*",19,37.3,24,47.1,"*","*","*","*",252
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",05,64,64,100.0,64,"*","*","*","*",15,23.4,28,43.8,9,14.1,37,57.8,256
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",05,40,40,100.0,40,"*","*","*","*",9,22.5,18,45.0,6,15.0,24,60.0,253
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",08,44,44,100.0,44,"*","*","*","*",12,27.3,23,52.3,"*","*","*","*",253
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",08,202,199,98.5,199,52,26.1,32,16.1,44,22.1,63,31.7,8,4.0,71,35.7,230
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",10,222,218,98.2,218,8,3.7,38,17.4,104,47.7,48,22.0,20,9.2,68,31.2,247
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",10,8,8,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",05,205,204,99.5,204,"*","*","*","*",28,13.7,94,46.1,74,36.3,168,82.4,285
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",08,216,213,98.6,213,9,4.2,8,3.8,32,15.0,121,56.8,43,20.2,164,77.0,270
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",10,277,274,98.9,274,0,0.0,11,4.0,67,24.5,75,27.4,121,44.2,196,71.5,290
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",05,80,80,100.0,80,"*","*","*","*",18,22.5,33,41.3,24,30.0,57,71.3,273
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",08,74,73,98.6,73,"*","*","*","*",17,23.3,36,49.3,15,20.5,51,69.9,268
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",10,89,88,98.9,88,6,6.8,6,6.8,33,37.5,24,27.3,19,21.6,43,48.9,256
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",10,36,36,100.0,36,"*","*",6,16.7,20,55.6,"*","*","*","*","*","*",235
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",10,54,47,87.0,46,9,19.6,"*","*",17,37.0,9,19.6,"*","*","*","*",237
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",05,19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",08,15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",05,121,120,99.2,120,"*","*","*","*","*","*","*","*",51,42.5,"*","*",290
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",08,"*","*","*","*","*","*","*","*",12,11.7,64,62.1,"*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","GFLC/ACCESS School","=""2429014""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",05,217,217,100.0,217,"*","*","*","*",24,11.1,104,47.9,79,36.4,183,84.3,282
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",08,212,212,100.0,212,13,6.1,12,5.7,28,13.2,115,54.2,44,20.8,159,75.0,268
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",10,179,178,99.4,178,"*","*","*","*",48,27.0,60,33.7,60,33.7,120,67.4,278
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",05,69,69,100.0,69,19,27.5,16,23.2,16,23.2,18,26.1,0,0.0,18,26.1,213
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",08,60,60,100.0,60,14,23.3,13,21.7,20,33.3,"*","*","*","*","*","*",223
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",10,32,32,100.0,30,8,26.7,8,26.7,10,33.3,"*","*","*","*","*","*",218
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",05,113,113,100.0,113,"*","*",13,11.5,40,35.4,47,41.6,"*","*","*","*",249
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",05,141,141,100.0,141,"*","*","*","*",31,22.0,62,44.0,30,21.3,92,65.2,262
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",05,138,138,100.0,138,"*","*",13,9.4,23,16.7,69,50.0,27,19.6,96,69.6,266
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",08,352,350,99.4,350,24,6.9,42,12.0,56,16.0,170,48.6,58,16.6,228,65.1,259
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",10,177,173,97.7,173,8,4.6,17,9.8,77,44.5,45,26.0,26,15.0,71,41.0,257
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",10,192,192,100.0,192,"*","*","*","*",66,34.4,63,32.8,44,22.9,107,55.7,266
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""",10,20,20,100.0,20,"*","*",8,40.0,6,30.0,"*","*","*","*","*","*",223
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",05,45,45,100.0,45,0,0.0,"*","*","*","*",23,51.1,15,33.3,38,84.4,281
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",05,69,67,97.1,67,"*","*",0,0.0,"*","*",30,44.8,26,38.8,56,83.6,283
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",10,7,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",05,60,60,100.0,60,"*","*","*","*",7,11.7,32,53.3,16,26.7,48,80.0,277
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",05,73,73,100.0,73,"*","*",12,16.4,20,27.4,26,35.6,"*","*","*","*",249
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",05,66,66,100.0,66,"*","*","*","*",11,16.7,33,50.0,16,24.2,49,74.2,273
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",05,63,63,100.0,63,0,0.0,0,0.0,"*","*","*","*",46,73.0,"*","*",318
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",05,71,71,100.0,71,0,0.0,"*","*",12,16.9,35,49.3,23,32.4,58,81.7,284
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",05,92,92,100.0,92,"*","*","*","*",11,12.0,49,53.3,26,28.3,75,81.5,278
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",05,81,80,98.8,80,"*","*","*","*",12,15.0,37,46.3,25,31.3,62,77.5,274
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",05,56,56,100.0,56,"*","*","*","*",8,14.3,23,41.1,23,41.1,46,82.1,287
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",05,90,90,100.0,90,"*","*","*","*","*","*",31,34.4,52,57.8,83,92.2,303
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",08,225,221,98.2,221,14,6.3,10,4.5,21,9.5,123,55.7,53,24.0,176,79.6,270
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",08,294,291,99.0,291,13,4.5,8,2.7,30,10.3,166,57.0,74,25.4,240,82.5,274
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",08,272,271,99.6,271,"*","*","*","*",25,9.2,137,50.6,100,36.9,237,87.5,286
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",10,387,379,97.9,379,6,1.6,11,2.9,97,25.6,116,30.6,149,39.3,265,69.9,285
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",10,373,368,98.7,368,7,1.9,17,4.6,78,21.2,110,29.9,156,42.4,266,72.3,285
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",05,311,309,99.4,309,"*","*","*","*",23,7.4,120,38.8,152,49.2,272,88.0,297
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",08,292,289,99.0,289,6,2.1,8,2.8,35,12.1,155,53.6,85,29.4,240,83.0,279
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",10,291,287,98.6,287,"*","*","*","*",53,18.5,78,27.2,145,50.5,223,77.7,296
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",05,16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",08,21,21,100.0,21,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",05,83,83,100.0,83,"*","*","*","*",9,10.8,36,43.4,33,39.8,69,83.1,287
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",05,41,41,100.0,41,0,0.0,"*","*","*","*",12,29.3,26,63.4,38,92.7,313
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",05,78,78,100.0,78,0,0.0,0,0.0,"*","*","*","*",48,61.5,"*","*",310
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",05,76,76,100.0,76,0,0.0,"*","*","*","*",33,43.4,32,42.1,65,85.5,291
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",05,68,68,100.0,68,"*","*","*","*",9,13.2,32,47.1,17,25.0,49,72.1,263
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",05,95,94,98.9,94,0,0.0,"*","*","*","*",38,40.4,52,55.3,90,95.7,302
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",08,515,515,100.0,514,16,3.1,16,3.1,35,6.8,241,46.9,206,40.1,447,87.0,285
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",10,478,475,99.4,475,7,1.5,20,4.2,100,21.1,105,22.1,243,51.2,348,73.3,294
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",05,64,64,100.0,64,"*","*","*","*","*","*",25,39.1,33,51.6,58,90.6,298
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",05,"*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",08,157,155,98.7,155,"*","*","*","*",16,10.3,93,60.0,39,25.2,132,85.2,279
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",10,168,166,98.8,166,"*","*","*","*",21,12.7,42,25.3,93,56.0,135,81.3,299
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",05,73,73,100.0,73,"*","*","*","*",12,16.4,33,45.2,21,28.8,54,74.0,273
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",05,55,54,98.2,54,"*","*","*","*",9,16.7,24,44.4,13,24.1,37,68.5,262
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",05,79,79,100.0,79,"*","*","*","*","*","*",40,50.6,29,36.7,69,87.3,284
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",05,55,55,100.0,55,"*","*",10,18.2,13,23.6,18,32.7,"*","*","*","*",234
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",05,38,38,100.0,38,"*","*","*","*",11,28.9,15,39.5,"*","*","*","*",248
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",05,76,76,100.0,76,0,0.0,"*","*","*","*",31,40.8,35,46.1,66,86.8,295
"Greenwich School District","=""0570011""","North Street School","=""0570811""",05,58,57,98.3,57,0,0.0,"*","*","*","*",26,45.6,25,43.9,51,89.5,289
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",05,80,80,100.0,80,"*","*","*","*",9,11.3,37,46.3,31,38.8,68,85.0,286
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",05,82,82,100.0,82,0,0.0,"*","*","*","*",36,43.9,38,46.3,74,90.2,291
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",05,33,32,97.0,32,0,0.0,0,0.0,"*","*",19,59.4,"*","*","*","*",287
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",05,61,61,100.0,61,0,0.0,"*","*","*","*",24,39.3,31,50.8,55,90.2,298
"Greenwich School District","=""0570011""","Greenwich Alternative High School","=""0571411""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",08,186,186,100.0,186,6,3.2,9,4.8,22,11.8,107,57.5,42,22.6,149,80.1,272
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",08,260,260,100.0,260,"*","*","*","*",13,5.0,135,51.9,103,39.6,238,91.5,288
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",08,188,186,98.9,186,15,8.1,14,7.5,28,15.1,87,46.8,42,22.6,129,69.4,264
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",10,600,597,99.5,596,16,2.7,22,3.7,121,20.3,137,23.0,300,50.3,437,73.3,293
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",05,124,124,100.0,124,"*","*","*","*",25,20.2,60,48.4,27,21.8,87,70.2,267
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""",08,134,132,98.5,132,15,11.4,12,9.1,28,21.2,65,49.2,12,9.1,77,58.3,249
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",10,145,144,99.3,144,11,7.6,20,13.9,49,34.0,38,26.4,26,18.1,64,44.4,254
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""",05,36,36,100.0,36,0,0.0,"*","*","*","*",15,41.7,12,33.3,27,75.0,280
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",05,63,63,100.0,63,7,11.1,9,14.3,9,14.3,25,39.7,13,20.6,38,60.3,254
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""",05,37,36,97.3,36,"*","*",0,0.0,12,33.3,19,52.8,"*","*","*","*",262
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",05,30,30,100.0,30,"*","*","*","*",8,26.7,12,40.0,"*","*","*","*",239
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""",05,38,38,100.0,38,0,0.0,"*","*","*","*",21,55.3,13,34.2,34,89.5,287
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""",05,52,52,100.0,52,"*","*",7,13.5,12,23.1,26,50.0,"*","*","*","*",255
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",05,52,52,100.0,52,"*","*",9,17.3,"*","*",21,40.4,9,17.3,30,57.7,250
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",08,134,133,99.3,133,15,11.3,"*","*",24,18.0,63,47.4,22,16.5,85,63.9,256
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""",08,148,148,100.0,148,10,6.8,18,12.2,21,14.2,77,52.0,22,14.9,99,66.9,259
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",10,252,235,93.3,235,17,7.2,28,11.9,86,36.6,43,18.3,61,26.0,104,44.3,262
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""",05,294,293,99.7,293,10,3.4,20,6.8,42,14.3,152,51.9,69,23.5,221,75.4,269
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""",08,288,288,100.0,288,11,3.8,15,5.2,30,10.4,183,63.5,49,17.0,232,80.6,270
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",10,289,289,100.0,289,"*","*","*","*",64,22.1,79,27.3,133,46.0,212,73.4,290
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",05,50,50,100.0,50,12,24.0,"*","*",13,26.0,14,28.0,"*","*","*","*",226
"Hamden School District","=""0620011""","Church Street School","=""0620211""",05,35,35,100.0,35,11,31.4,6,17.1,11,31.4,7,20.0,0,0.0,7,20.0,212
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",05,39,38,97.4,38,"*","*","*","*",7,18.4,18,47.4,"*","*","*","*",249
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",05,57,57,100.0,57,10,17.5,11,19.3,12,21.1,17,29.8,7,12.3,24,42.1,234
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",08,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""",10,13,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",05,58,58,100.0,58,"*","*","*","*","*","*",26,44.8,21,36.2,47,81.0,277
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",05,45,44,97.8,44,8,18.2,"*","*",10,22.7,16,36.4,"*","*","*","*",233
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",05,74,74,100.0,74,"*","*","*","*",13,17.6,38,51.4,12,16.2,50,67.6,262
"Hamden School District","=""0620011""","West Woods School","=""0621411""",05,55,55,100.0,55,"*","*","*","*",10,18.2,32,58.2,7,12.7,39,70.9,263
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",08,411,406,98.8,406,72,17.7,49,12.1,85,20.9,167,41.1,33,8.1,200,49.3,242
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",10,401,381,95.0,378,55,14.6,54,14.3,142,37.6,59,15.6,68,18.0,127,33.6,247
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",05,10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""",05,36,36,100.0,36,11,30.6,9,25.0,10,27.8,6,16.7,0,0.0,6,16.7,206
"Hartford School District","=""0640011""","SAND School","=""0640111""",08,34,33,97.1,33,20,60.6,7,21.2,"*","*","*","*",0,0.0,"*","*",191
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",05,50,50,100.0,50,18,36.0,11,22.0,13,26.0,"*","*","*","*",8,16.0,205
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",08,54,54,100.0,54,32,59.3,10,18.5,"*","*","*","*",0,0.0,"*","*",196
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""",05,12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",05,57,57,100.0,57,29,50.9,12,21.1,10,17.5,6,10.5,0,0.0,6,10.5,187
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",08,50,50,100.0,50,32,64.0,9,18.0,"*","*","*","*",0,0.0,"*","*",197
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",05,69,66,95.7,66,23,34.8,25,37.9,"*","*","*","*",0,0.0,"*","*",197
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""",08,66,65,98.5,65,37,56.9,14,21.5,"*","*","*","*",0,0.0,"*","*",198
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",05,63,63,100.0,63,17,27.0,15,23.8,18,28.6,13,20.6,0,0.0,13,20.6,210
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""",08,46,46,100.0,46,36,78.3,"*","*","*","*","*","*",0,0.0,"*","*",185
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",05,60,60,100.0,60,"*","*","*","*",10,16.7,26,43.3,16,26.7,42,70.0,269
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""",08,58,58,100.0,58,10,17.2,7,12.1,12,20.7,20,34.5,9,15.5,29,50.0,247
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",05,72,71,98.6,71,23,32.4,18,25.4,21,29.6,9,12.7,0,0.0,9,12.7,205
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",08,49,47,95.9,47,27,57.4,8,17.0,6,12.8,6,12.8,0,0.0,6,12.8,197
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",05,77,77,100.0,77,12,15.6,"*","*",18,23.4,33,42.9,"*","*","*","*",237
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",08,79,79,100.0,79,13,16.5,"*","*",22,27.8,31,39.2,"*","*","*","*",236
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""",10,52,51,98.1,51,"*","*",20,39.2,16,31.4,"*","*",0,0.0,"*","*",210
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""",08,82,82,100.0,81,52,64.2,8,9.9,13,16.0,8,9.9,0,0.0,8,9.9,196
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",05,75,74,98.7,74,14,18.9,14,18.9,11,14.9,28,37.8,7,9.5,35,47.3,236
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""",08,56,53,94.6,53,23,43.4,12,22.6,9,17.0,9,17.0,0,0.0,9,17.0,209
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",05,66,66,100.0,66,20,30.3,18,27.3,15,22.7,13,19.7,0,0.0,13,19.7,205
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",05,34,34,100.0,34,10,29.4,"*","*",11,32.4,9,26.5,"*","*","*","*",220
"Hartford School District","=""0640011""","M. L. King School","=""0641611""",08,36,36,100.0,36,14,38.9,11,30.6,"*","*","*","*",0,0.0,"*","*",207
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",05,43,41,95.3,41,7,17.1,6,14.6,22,53.7,"*","*","*","*",6,14.6,224
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""",08,42,42,100.0,42,22,52.4,8,19.0,6,14.3,6,14.3,0,0.0,6,14.3,205
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",05,40,40,100.0,40,27,67.5,6,15.0,"*","*","*","*",0,0.0,"*","*",180
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""",08,37,36,97.3,36,18,50.0,"*","*",10,27.8,"*","*",0,0.0,"*","*",204
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",05,64,64,100.0,64,"*","*","*","*",9,14.1,34,53.1,12,18.8,46,71.9,267
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""",08,49,49,100.0,49,"*","*","*","*",7,14.3,21,42.9,17,34.7,38,77.6,279
"Hartford School District","=""0640011""","West Middle School","=""0642111""",05,42,40,95.2,40,13,32.5,"*","*",15,37.5,"*","*",0,0.0,"*","*",205
"Hartford School District","=""0640011""","West Middle School","=""0642111""",08,32,31,96.9,31,16,51.6,"*","*","*","*","*","*","*","*","*","*",210
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",05,29,29,100.0,29,11,37.9,10,34.5,"*","*","*","*",0,0.0,"*","*",197
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""",08,28,27,96.4,27,8,29.6,10,37.0,"*","*","*","*",0,0.0,"*","*",210
"Hartford School District","=""0640011""","Burr School","=""0642311""",05,63,62,98.4,62,14,22.6,"*","*",14,22.6,20,32.3,"*","*","*","*",222
"Hartford School District","=""0640011""","Burr School","=""0642311""",08,54,54,100.0,54,26,48.1,15,27.8,"*","*","*","*",0,0.0,"*","*",199
"Hartford School District","=""0640011""","Clark School","=""0642411""",05,32,32,100.0,32,9,28.1,12,37.5,"*","*","*","*",0,0.0,"*","*",201
"Hartford School District","=""0640011""","Clark School","=""0642411""",08,18,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",05,38,38,100.0,38,"*","*","*","*",6,15.8,16,42.1,11,28.9,27,71.1,268
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""",08,40,40,100.0,40,"*","*","*","*",7,17.5,13,32.5,12,30.0,25,62.5,262
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",05,17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",08,25,25,100.0,25,17,68.0,"*","*",6,24.0,"*","*",0,0.0,"*","*",196
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",05,52,51,98.1,51,12,23.5,"*","*",12,23.5,15,29.4,"*","*","*","*",221
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",05,83,83,100.0,83,27,32.5,23,27.7,19,22.9,"*","*","*","*",14,16.9,209
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",05,32,32,100.0,32,"*","*","*","*",8,25.0,14,43.8,"*","*","*","*",248
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",08,29,29,100.0,29,9,31.0,"*","*",8,27.6,7,24.1,"*","*","*","*",225
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",05,25,24,96.0,24,"*","*",6,25.0,7,29.2,6,25.0,"*","*","*","*",221
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""",08,13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
