"Chronic Absenteeism, Trend"
"All Districts, All Schools, Gender"

"",,,,,"% Chronically Absent",,,,
"District","District Code","School","School Code","Gender","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",5.3,1.9,4.6,10.1,10.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",10.4,4.7,7.5,11.1,9.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",1.9,1.8,2.9,6.4,5.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",3.3,3.3,4.2,4.3,5.7
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Female","*","*",0.0,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Male",0.0,"*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",11.8,17.4,14.1,19.2,16.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",11.7,20.9,16.3,23.7,14.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Female",13.5,17.3,12.8,12.3,13.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Male",18.2,12.8,14.6,21.3,15.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Female",12.4,10.4,8.2,11.9,12.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Male",13.4,14.3,9.6,17.1,18.7
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Female","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Female",10.0,9.5,6.6,8.6,9.7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Male",10.6,12.3,9.6,10.0,8.3
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Male","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Female",30.4,47.8,46.2,46.2,40.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Male",40.3,38.7,40.4,37.1,33.1
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Female",10.1,11.7,14.8,13.7,10.8
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Male",11.4,11.5,12.4,13.1,9.6
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Female",31.0,34.0,44.4,45.7,24.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","Male",28.4,30.2,29.2,27.2,23.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Female",44.8,42.4,58.3,52.8,42.1
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Male",35.3,39.5,39.2,40.7,41.3
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female",77.3,70.8,65.5,78.6,75.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male",67.1,72.9,73.8,69.2,73.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Female","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Male","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Female",5.6,8.3,11.3,7.3,8.8
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Male",9.5,8.4,11.5,10.5,7.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Female",9.4,7.9,5.3,7.0,5.1
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Male",8.8,6.1,9.8,6.8,5.3
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",3.8,5.4,5.3,6.5,5.6
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",1.9,3.1,2.0,2.9,4.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Female",6.5,5.1,5.3,0.0,"*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Male",5.3,4.8,4.9,"*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Female",4.5,6.8,3.7,0.0,4.4
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Male",6.3,4.8,6.3,0.0,3.0
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Female",3.5,4.0,7.5,4.2,4.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Male",3.7,5.1,4.5,5.0,8.1
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Female",5.5,6.8,4.7,4.5,2.2
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Male",4.7,5.4,5.1,4.5,3.9
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Female","*",5.0,"*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Male","*",3.2,"*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Female","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Male","N/A","N/A","N/A","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",9.6,8.9,10.4,13.5,7.1
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",6.0,5.2,8.4,13.1,5.4
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Female",8.9,10.3,4.4,2.9,2.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Male",6.8,6.5,2.8,3.1,2.9
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Female",3.6,4.9,2.9,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Male",2.3,2.7,2.4,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Female",3.3,2.2,"*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Male",2.9,2.4,"*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Female","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Male","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Female",3.9,5.1,4.7,4.4,4.9
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Male",2.5,6.0,5.1,5.6,5.4
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Female",7.7,6.7,3.8,3.8,"*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Male",4.8,3.9,3.8,7.2,"*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",9.3,10.4,11.0,4.2,10.2
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",6.2,7.0,8.8,3.7,9.3
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Female",6.8,8.2,3.5,5.8,3.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Male",7.9,8.6,5.3,6.7,4.4
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Female","*","*","*","*",0.0
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Male","*","*","*","*",4.1
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Female",3.3,5.1,18.8,"*",13.7
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Male",4.2,5.8,10.9,"*",14.2
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",11.1,8.7,7.8,8.6,7.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",9.2,8.0,8.2,11.5,10.6
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Male","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Female",8.8,5.3,6.5,8.8,"*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Male",9.3,7.1,8.1,5.7,"*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female","N/A",12.2,11.8,10.1,14.3
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male","N/A",16.4,8.9,11.4,14.6
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Female",9.0,"N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Male",6.4,"N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Female","N/A",8.0,3.7,4.3,5.9
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Male","N/A",6.6,4.8,9.9,13.8
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Male","*","*","*","*","*"
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","Male","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Female","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Male","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Female","*",4.3,5.9,5.9,"*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Male","*",3.5,5.7,5.9,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female","*","*",5.3,6.4,"*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male","*","*",3.7,4.3,"*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Female","N/A","N/A","N/A",38.9,23.1
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Male","N/A","N/A","N/A",25.0,18.0
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Female","*",5.9,7.7,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Male","*",11.2,7.0,"*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",11.2,11.2,16.2,13.4,13.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",8.8,10.6,12.7,14.0,8.4
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Female","N/A","N/A","N/A","*",80.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Male","N/A","N/A","N/A","*",70.0
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","Female","N/A","N/A","N/A","N/A","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Female",6.5,5.5,5.9,8.4,5.7
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Male",8.8,8.3,7.6,8.1,8.7
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Female","*",4.6,3.6,"*",4.9
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Male","*",6.1,4.7,"*",3.4
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Female",4.0,4.3,4.6,"*",5.1
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Male",4.4,5.3,4.8,"*",6.0
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Female",4.9,4.9,5.8,5.1,10.9
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Male",5.5,6.6,8.0,6.4,8.5
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Female","N/A","N/A","*",8.8,"*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Male","N/A","N/A","*",13.0,"*"
