"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2007-08"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",235,238,74,547
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*",333,"*",347
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",287,436,37,760
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",249,287,60,596
"Ansonia School District","=""0020011""","Mead School","=""0020311""",234,312,53,599
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",326,386,64,776
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",0,19
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",25,61,13,99
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",86,78,12,176
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",194,485,73,752
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",41,122,11,174
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",87,32,6,125
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",50,"*","*",92
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",37,19,0,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",103,437,65,605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",50,429,21,500
"Avon School District","=""0040011""","Avon High School","=""0046111""",7,1017,12,1036
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",572,"*",582
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",593,"*",618
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",12,757,7,776
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",15,565,10,590
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","*",311,"*",328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,30,0,30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",34,1006,23,1063
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",35,718,25,778
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",26,535,16,577
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",24,556,9,589
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*",254,"*",263
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",6,553,10,569
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",26,391,8,425
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",36,959,39,1034
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",40,674,29,743
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",18,460,10,488
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",29,398,27,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",151,410,64,625
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",120,190,38,348
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",93,200,49,342
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",78,200,37,315
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",86,154,28,268
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",87,133,18,238
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",25,43,11,79
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",26,559,12,597
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",263,"*",275
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",22,228,14,264
"Branford School District","=""0140011""","Branford High School","=""0146111""",69,1025,52,1146
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",94,936,52,1082
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","*",53,"*",58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",29,294,22,345
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",35,386,9,430
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",53,325,38,416
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",50,24,11,85
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","*",0,"*",279
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1223,16,46,1285
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",590,"*","*",607
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",261,"*","*",272
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1080,46,51,1177
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",54,0,0,54
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","*",0,"*",413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2054,86,199,2339
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1127,9,26,1162
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",348,9,18,375
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",754,0,9,763
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",378,8,20,406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",560,10,22,592
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",343,0,20,363
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",389,"*","*",408
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""","*",0,"*",278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*",0,"*",196
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",328,"*","*",344
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",296,8,18,322
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1649,14,59,1722
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",361,73,10,444
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",402,20,28,450
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",322,"*","*",329
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",462,"*","*",475
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",830,0,16,846
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",547,"*","*",562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","*",0,"*",37
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","*",0,"*",187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",435,15,25,475
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",14,0,0,14
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*",0,"*",30
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",424,42,35,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",847,14,43,904
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",708,"*","*",727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",219,0,0,219
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*",0,"*",46
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",432,9,15,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",642,36,80,758
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*",13,"*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",278,1060,127,1465
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",209,1042,82,1333
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",278,567,84,929
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",210,106,39,355
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",85,151,17,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",99,237,20,356
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",121,310,59,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",100,268,28,396
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",94,275,33,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",55,303,16,374
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",142,337,63,542
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",62,269,38,369
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",89,427,42,558
"Bristol School District","=""0170011""","South Side School","=""0171111""",146,388,46,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",121,324,52,497
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",10,1001,9,1020
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",359,"*",374
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*",590,"*",604
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",14,925,12,951
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",67,478,35,580
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",39,342,25,406
