"District","District Code","School","School Code","Gender","Count","%"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Female","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Male","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Female","*","*"
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Male","*","*"
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Female",137,14.5
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Male",310,29.9
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Female",57,13.6
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Male",157,32.6
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Female","*","*"
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Male","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Female","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Male","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Female","*","*"
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Male","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Female","*","*"
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Male","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Female","*","*"
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Male","*","*"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Female","N/A","N/A"
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Male",6,6.8
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Female",10,6.8
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Male",40,21.4
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Female",10,3.6
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Male",45,14.5
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Female","*","*"
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Male","*","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Female","N/A","N/A"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Male","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Female",68,23.1
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Male",146,37.5
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Female",101,38.1
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Male",167,58.2
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Female",22,7.8
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Male",29,10.2
"Hartford School District","=""0640011""","Burr School","=""0642311""","Female",44,15.4
"Hartford School District","=""0640011""","Burr School","=""0642311""","Male",79,24.5
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Female",19,12.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Male",37,29.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Female",31,15.7
"Hartford School District","=""0640011""","Clark School","=""0642411""","Male",86,36.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Female",76,19.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Male",71,23.2
"Hartford School District","=""0640011""","Comm Based PreK","=""0648741""","Female","N/A","N/A"
"Hartford School District","=""0640011""","Comm Based PreK","=""0648741""","Male","N/A","N/A"
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Female",54,37.0
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Male",70,47.3
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Female",11,3.1
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Male",33,9.3
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Female",104,44.4
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Male",123,52.8
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Female",18,10.1
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Male",48,26.1
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Female",6,3.5
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Male",29,17.1
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Female",49,15.6
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Male",63,19.6
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Female",38,18.4
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Male",83,35.9
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Female",16,16.5
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Male",82,28.4
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Female",68,22.7
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Male",32,33.3
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","Female",30,15.2
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","Male",45,20.7
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Female",81,40.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Male",80,47.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Female",19,6.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Male",74,25.6
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Female","N/A","*"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Male",16,53.3
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""","Female",6,"*"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""","Male",63,77.8
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Female",50,47.2
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Male",66,64.7
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""","Female",31,17.5
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""","Male",68,36.4
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Female",49,53.3
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Male",59,62.1
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Female",54,13.0
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Male",95,25.5
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Female",34,8.6
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Male",100,25.1
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Female",53,22.5
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Male",103,37.5
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Female",11,6.7
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Male",26,13.0
