"Student Counts by School and Gender"
"All Districts, All Schools"
"2012-13"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",385,439,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",442,462,904
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",140,174,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",309,322,631
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",218,245,463
"Ansonia School District","=""0020011""","Mead School","=""0020311""",312,307,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",322,377,699
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",7,29,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",19,128,147
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",338,384,722
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",45,104,149
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",32,82,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",20,69,89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",10,35,45
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",333,297,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",211,228,439
"Avon School District","=""0040011""","Avon High School","=""0046111""",549,534,1083
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",295,316,611
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",286,309,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",280,289,569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",290,258,548
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",141,187,328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",10,11,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",466,496,962
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",327,385,712
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",221,280,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",271,296,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",103,129,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",223,250,473
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",193,199,392
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",459,500,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",323,361,684
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",242,255,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",216,227,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",264,277,541
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",107,113,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",128,133,261
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",103,79,182
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",147,188,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",117,120,237
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",162,160,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",267,266,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",177,182,359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",124,117,241
"Branford School District","=""0140011""","Branford High School","=""0146111""",552,497,1049
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",474,515,989
