"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","School","2010-11","2011-12","2012-13","2013-14","2014-15"
"Groton School District","Robert E. Fitch High School",81.5,83.2,83.4,85.4,89.0
"Guilford School District","Guilford High School",95.5,98.2,93.9,93.3,96.7
"Hamden School District","Hamden High School",84.6,85.8,87.1,91.9,91.5
"Hartford School District","Bulkeley High School Upper School",75.9,63.3,71.6,73.3,72.4
"Hartford School District","Capital Community College Magnet Academy","N/A","N/A","N/A","N/A",68.4
"Hartford School District","Capital Preparatory Magnet School",87.1,97.0,100.0,96.3,95.1
"Hartford School District","Classical Magnet School",93.3,98.8,94.4,95.2,90.5
"Hartford School District","Culinary Arts Academy",57.3,65.2,56.2,59.8,69.2
"Hartford School District","Great Path Academy High School at MCC","N/A","N/A",94.1,92.3,"N/A"
"Hartford School District","Great Path Academy at MCC","N/A","N/A","N/A","N/A",90.3
"Hartford School District","HPHS Academy of Engineering and Green Technology",71.3,60.8,63.4,61.6,71.2
"Hartford School District","HPHS Academy of Nursing and Health Science",71.1,68.0,68.3,66.4,73.0
"Hartford School District","HPHS Law and Government Academy",52.4,47.4,71.7,71.9,64.2
"Hartford School District","Hartford Magnet Trinity College Academy","N/A","N/A","N/A","N/A",96.1
"Hartford School District","High School Inc.","N/A","N/A",70.8,63.2,75.0
"Hartford School District","Journalism and Media Academy Magnet School","N/A","N/A",66.7,75.3,71.7
"Hartford School District","OPPortunity High School",30.2,47.8,58.4,33.3,"N/A"
"Hartford School District","Pathways Academy of Technology and Design",83.5,93.0,92.9,90.3,89.7
"Hartford School District","Sports and Medical Sciences Academy",90.6,90.6,93.2,91.3,91.8
"Hartford School District","University High School of Science and Engineering","N/A","N/A","N/A","N/A",96.8
"Hartford School District","University High of Science and Engineering",95.9,89.5,96.8,92.5,"N/A"
"Hartford School District","Weaver High School",68.7,"N/A","N/A","N/A","N/A"
"Killingly School District","Killingly High School",71.4,78.2,76.6,83.8,83.2
"Learn","Connecticut River Academy","N/A","N/A",89.7,92.8,92.9
"Learn","Marine Science Magnet High School of Southeastern Connecticut","N/A","N/A","*",91.7,86.7
"Learn","Three Rivers Middle College Magnet School","N/A","N/A","*",90.6,92.9
"Lebanon School District","Lyman Memorial High School",93.7,89.8,93.2,94.2,96.7
"Ledyard School District","Ledyard High School",90.8,92.3,92.4,94.5,95.2
"Lisbon School District","Community Connection - The Big Picture High School","*","*","*","N/A","N/A"
"Litchfield School District","Litchfield High School",94.6,98.0,98.8,95.5,100.0
"Madison School District","Daniel Hand High School",96.8,98.2,99.1,97.5,99.0
"Manchester School District","Manchester High School",74.0,76.9,78.7,87.2,86.4
"Meriden School District","Francis T. Maloney High School",71.7,70.3,73.9,73.5,75.5
"Meriden School District","Orville H. Platt High School",69.7,69.6,69.3,80.5,76.7
"Middletown School District","Middletown High School",78.1,78.7,83.4,89.5,95.2
"Milford School District","Jonathan Law High School",84.8,81.2,80.5,89.3,91.1
"Milford School District","Joseph A. Foran High School",90.9,91.1,90.5,96.3,96.5
"Monroe School District","Masuk High School",97.5,98.8,97.7,98.0,100.0
"Montville School District","Montville High School",86.7,89.0,88.1,89.1,95.9
