"Student Counts by School and Grade"
"All Districts, All Schools"
"2011-12"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",28,35,43,45,41,50,33,39,0,0,0,0,0,0,314
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",103,0,0,0,0,0,0,0,187,182,0,0,0,0,472
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,80,95,88,89,83,93,82,0,0,0,0,0,0,610
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,94,117,106,100,105,111,105,0,0,0,0,0,0,738
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,188,157,174,176,695
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",6,7,7,11,17,19,19,25,16,17,0,"*","*","*",148
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",12,23,24,27,15,26,19,0,0,0,0,160
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,60,66,72,75,75,75,75,73,69,0,0,0,0,640
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,"*","*",9,"*","*","*","*","*",31
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,250,241,230,0,0,0,0,721
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*","*",19,20,66,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,18,24,20,32,94
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*","*",8,33,47
"Ashford School District","=""0030011""","Ashford School","=""0030111""",48,56,49,39,52,33,51,51,52,50,0,0,0,0,481
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",45,89,100,123,129,145,0,0,0,0,0,0,0,0,631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,77,110,134,133,136,0,0,0,0,0,0,0,0,590
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,286,308,0,0,0,0,0,0,594
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,288,284,0,0,0,0,572
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,281,284,265,282,1112
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",19,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,42,50,44,59,35,55,53,0,0,0,0,0,0,338
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",38,45,75,77,86,77,94,0,0,0,0,0,0,0,492
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,80,106,96,108,91,96,0,0,0,0,0,0,0,577
