"Student Counts by School and Year"
"All Districts, All Schools"
"2010-11"

"District","District Code","School","School Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",610
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",812
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",727
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",458
"Ansonia School District","=""0020011""","Mead School","=""0020311""",642
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",787
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",19
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",720
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",153
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",53
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",646
"Ashford School District","=""0030011""","Ashford School","=""0030111""",476
"Avon School District","=""0040011""","Avon High School","=""0046111""",1088
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",631
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",651
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",594
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",343
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",30
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1017
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",719
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",535
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",585
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",261
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",512
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",384
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",683
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",460
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",452
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",593
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",305
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",265
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",351
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",281
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",89
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",312
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",568
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",330
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",233
"Branford School District","=""0140011""","Branford High School","=""0146111""",1098
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",1040
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",53
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",368
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",426
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",431
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",409
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",632
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1171
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",370
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",283
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",50
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",439
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2303
