"District","District Code","School","School Code","English Learner Status","Count","%"
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""","English Learner Status","N/A","N/A"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","English Learner Status",25,46.3
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""","English Learner Status","*","*"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","English Learner Status","*","*"
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""","English Learner Status",32,43.8
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","English Learner Status","*","*"
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","English Learner Status","*","*"
"Middletown School District","=""0830011""","Moody School","=""0831211""","English Learner Status","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","Spencer School","=""0830111""","English Learner Status","*","*"
"Middletown School District","=""0830011""","Wesley School","=""0831411""","English Learner Status","N/A","*"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","English Learner Status",9,12.2
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Clarence Rogers School","=""0930511""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","English Learner Status",6,3.9
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","English Learner Status",23,8.1
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","English Learner Status",8,5.2
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","English Learner Status",34,39.5
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","English Learner Status",13,9.8
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Katherine Brennan School","=""0930411""","English Learner Status","N/A","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","English Learner Status","N/A","*"
