"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2016-17"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1066,0,0,1066
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",686,289,82,1057
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",32,184,9,225
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",337,211,68,616
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",239,158,44,441
"Ansonia School District","=""0020011""","Mead School","=""0020311""",383,150,47,580
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",25,"*","*",31
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",0,7
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",373,218,74,665
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",19,"*",40
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",152,16,0,168
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",395,270,67,732
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",109,9,0,118
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",107,8,0,115
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",87,15,0,102
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*",0,41
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",237,325,69,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",105,288,13,406
"Avon School District","=""0040011""","Avon High School","=""0046111""",40,971,13,1024
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","*",532,"*",558
