"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2010-11"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",311,42,353
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",195,48,243
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",423,29,452
"Greenwich School District","=""0570011""","North Street School","=""0570811""",441,10,451
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",383,27,410
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",286,6,292
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",484,30,514
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",464,29,493
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",710,16,726
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",709,0,709
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","*","*",570
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*","*",359
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""",443,35,478
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","*","*",384
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",380,8,388
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""","*","*",411
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""",353,0,353
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","*","*",428
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","*","*",302
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",1250,21,1271
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","*","*",347
"Groton School District","=""0590011""","West Side Middle School","=""0595211""",238,10,248
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","*","*",587
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""",307,9,316
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""",325,10,335
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","*","*",572
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","*","*",1113
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","*","*",409
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","*","*",346
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""",87,0,87
"Hamden School District","=""0620011""","Bear Path School","=""0621211""",454,12,466
"Hamden School District","=""0620011""","Church Street School","=""0620211""",356,51,407
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""",295,14,309
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",1908,26,1934
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""",873,27,900
"Hamden School District","=""0620011""","Helen Street School","=""0620411""",264,18,282
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""",318,23,341
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""",293,49,342
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""",362,15,377
"Hamden School District","=""0620011""","West Woods School","=""0621411""",511,24,535
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""",140,0,140
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""",225,115,340
"Hartford School District","=""0640011""","Batchelder School","=""0640411""",533,57,590
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""",220,91,311
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","*","*",142
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""",342,9,351
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",402,87,489
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""",490,180,670
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""",396,268,664
"Hartford School District","=""0640011""","Burr School","=""0642311""",505,201,706
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",324,12,336
"Hartford School District","=""0640011""","Clark School","=""0642411""",333,48,381
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",688,22,710
"Hartford School District","=""0640011""","Culinary Arts Academy at Weaver High School","=""0646011""",215,30,245
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""",196,97,293
"Hartford School District","=""0640011""","Environmental Sciences Magnet at Hooker School","=""0640911""",238,37,275
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""",502,175,677
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""",354,18,372
"Hartford School District","=""0640011""","HPHS Engineering and Green Technology Academy","=""0647211""",267,127,394
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""",227,91,318
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",305,73,378
"Hartford School District","=""0640011""","HPHS Nursing and Health Sciences Academy","=""0647511""",289,94,383
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""",568,43,611
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","*","*",32
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",207,49,256
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",208,21,229
"Hartford School District","=""0640011""","Kennelly School","=""0641011""",599,182,781
"Hartford School District","=""0640011""","Kinsella Magnet School of Performing Arts","=""0641111""",606,56,662
"Hartford School District","=""0640011""","M. D. Fox School","=""0640811""",589,257,846
"Hartford School District","=""0640011""","M. L. King, Jr. School","=""0641611""",459,9,468
"Hartford School District","=""0640011""","McDonough Middle School","=""0641211""",292,127,419
"Hartford School District","=""0640011""","Milner School","=""0641911""",307,105,412
"Hartford School District","=""0640011""","Montessori Magnet at Fisher School","=""0643711""","*","*",198
"Hartford School District","=""0640011""","Naylor/CCSU Leadership Academy","=""0641411""",563,136,699
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",106,17,123
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""",407,108,515
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",331,24,355
"Hartford School District","=""0640011""","Rawson School","=""0641711""","*","*",463
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""",57,0,57
"Hartford School District","=""0640011""","SAND School","=""0640111""",364,99,463
"Hartford School District","=""0640011""","STEM Magnet at Fisher School","=""0642511""","*","*",328
"Hartford School District","=""0640011""","Sanchez School","=""0643011""",280,212,492
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""",182,6,188
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""",350,11,361
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",621,51,672
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",397,10,407
"Hartford School District","=""0640011""","Weaver High School","=""0646311""","*","*",154
"Hartford School District","=""0640011""","Webster Micro Society Magnet School","=""0642011""",569,23,592
"Hartford School District","=""0640011""","West Middle School","=""0642111""",482,206,688
"Hartford School District","=""0640011""","Wish Museum School","=""0642211""",349,94,443
"Hartland School District","=""0650011""","Hartland School","=""0650111""","*","*",222
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","*","*",470
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""",666,0,666
"Highville Charter School District","=""2860013""","Highville Charter School","=""2860113""",300,0,300
"Integrated Day Charter School District","=""2640013""","Integrated Day Charter School","=""2640113""",317,14,331
"Interdistrict School for Arts and Comm District","=""2650013""","Interdistrict School For Arts And Communication","=""2655113""",172,10,182
"Jumoke Academy District","=""2610013""","Jumoke Academy","=""2610113""","*","*",432
"Kent School District","=""0680011""","Kent Center School","=""0680111""","*","*",287
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""","*","*",107
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""",487,11,498
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",776,12,788
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""",810,13,823
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""",451,18,469
"Learn","=""2450014""","Connecticut River Academy","=""2456014""",146,0,146
"Learn","=""2450014""","Dual Language & Arts Magnet Middle School","=""2455014""",66,16,82
"Learn","=""2450014""","Learn Special Education","=""2459014""",30,0,30
"Learn","=""2450014""","Regional Multicultural Magnet School","=""2450114""",446,99,545
"Learn","=""2450014""","The Friendship School","=""2450214""",485,7,492
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","*","*",484
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""",398,0,398
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",521,0,521
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","*","*",207
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""",335,10,345
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","*","*",285
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","*","*",416
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",920,8,928
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""",430,6,436
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",32,0,32
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""",502,0,502
"Litchfield School District","=""0740011""","Center School","=""0740211""",341,0,341
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","*","*",560
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","*","*",268
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","*","*",1290
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""",588,0,588
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","*","*",302
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","*","*",492
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","*","*",275
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""",43,0,43
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","*","*",616
"Manchester School District","=""0770011""","Nathan Hale School","=""0770911""",210,24,234
"Manchester School District","=""0770011""","Bowers School","=""0770111""",390,19,409
"Manchester School District","=""0770011""","Buckley School","=""0770311""",375,13,388
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""",435,19,454
"Manchester School District","=""0770011""","Highland Park School","=""0770411""",265,8,273
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""",868,33,901
"Manchester School District","=""0770011""","Keeney School","=""0770611""",370,17,387
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",1823,57,1880
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","*","*",185
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","*","*",99
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","*",0,"*"
"Manchester School District","=""0770011""","Martin School","=""0771611""",209,12,221
"Manchester School District","=""0770011""","Robertson School","=""0771011""",341,36,377
"Manchester School District","=""0770011""","Verplanck School","=""0771211""",302,38,340
"Manchester School District","=""0770011""","Waddell School","=""0771311""",312,36,348
"Manchester School District","=""0770011""","Washington School","=""0771411""",279,28,307
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""",267,7,274
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""",195,7,202
"Mansfield School District","=""0780011""","Mansfield Middle School","=""0785111""",576,9,585
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""",251,15,266
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""","*","*",675
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""",554,67,621
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""",440,26,466
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""",629,77,706
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",1111,124,1235
"Meriden School District","=""0800011""","Hanover School","=""0800311""",433,97,530
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""",495,66,561
"Meriden School District","=""0800011""","John Barry School","=""0800511""",453,56,509
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""",631,80,711
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",1039,63,1102
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""",458,66,524
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""",301,145,446
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""",814,74,888
"Middletown School District","=""0830011""","Bielefield School","=""0830211""",357,9,366
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""",355,16,371
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""",360,12,372
"Middletown School District","=""0830011""","Lawrence School","=""0831311""",358,19,377
"Middletown School District","=""0830011""","MacDonough School","=""0830911""",238,10,248
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",1330,27,1357
"Middletown School District","=""0830011""","Moody School","=""0831211""",355,6,361
"Middletown School District","=""0830011""","Snow School","=""0831111""",347,9,356
"Middletown School District","=""0830011""","Spencer School","=""0830111""",328,13,341
"Middletown School District","=""0830011""","Wesley School","=""0831411""",304,7,311
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""",717,16,733
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","*","*",330
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","*","*",532
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","*","*",611
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""",394,27,421
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",986,11,997
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","*","*",1009
"Milford School District","=""0840011""","Live Oaks School","=""0841611""",327,10,337
"Milford School District","=""0840011""","Mathewson School","=""0841711""",424,31,455
"Milford School District","=""0840011""","Meadowside School","=""0840711""",455,10,465
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","*","*",436
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","*","*",378
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""",411,7,418
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""",566,7,573
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""","*","*",277
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""",609,6,615
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","*","*",634
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","*","*",1309
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","*","*",409
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""",502,9,511
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","*","*",383
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""",628,14,642
"Montville School District","=""0860011""","Mohegan School","=""0860111""",363,56,419
"Montville School District","=""0860011""","Montville High School","=""0866111""",745,22,767
"Montville School District","=""0860011""","Oakdale School","=""0860511""",426,7,433
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",19,0,19
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""",187,15,202
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""",31,0,31
"Naugatuck School District","=""0880011""","Central Avenue School","=""0880111""",240,12,252
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",752,19,771
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",317,13,330
"Naugatuck School District","=""0880011""","Head Start","=""0888111""",104,0,104
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",373,17,390
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""",311,24,335
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",360,16,376
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",1323,38,1361
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",213,18,231
"Naugatuck School District","=""0880011""","Western School","=""0880711""",271,6,277
"New Beginnings Inc Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",360,0,360
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""","*","*",12
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",426,29,455
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",453,444,897
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",483,35,518
"New Britain School District","=""0890011""","Holmes School","=""0890611""",392,30,422
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",156,0,156
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",318,97,415
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",473,226,699
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",2186,433,2619
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","*","*",32
"New Britain School District","=""0890011""","Northend School","=""0890911""",290,17,307
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",418,174,592
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""",388,41,429
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",637,79,716
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",632,41,673
"New Britain School District","=""0890011""","Smith School","=""0891311""",591,40,631
"New Britain School District","=""0890011""","Vance School","=""0891511""",522,22,544
"New Canaan School District","=""0900011""","East School","=""0900411""",509,7,516
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","*","*",1343
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",1210,8,1218
"New Canaan School District","=""0900011""","South School","=""0900211""",553,8,561
"New Canaan School District","=""0900011""","West School","=""0900311""","*","*",493
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",595,7,602
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",603,7,610
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","*","*",974
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","*","*",732
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",359,0,359
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",120,0,120
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","*","*",129
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","*","*",455
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",523,32,555
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",447,68,515
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",526,23,549
"New Haven School District","=""0930011""","Beecher School","=""0930311""",454,14,468
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",488,39,527
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",432,12,444
"New Haven School District","=""0930011""","Bishop Woods Architecture and Design Magnet School","=""0934311""",443,46,489
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",351,10,361
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",453,14,467
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",383,165,548
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",269,204,473
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",547,61,608
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",613,10,623
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",206,6,212
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",450,10,460
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","*","*",44
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""",39,0,39
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",115,0,115
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",381,54,435
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",226,0,226
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",322,317,639
"New Haven School District","=""0930011""","Headstart","=""0938011""",402,0,402
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",272,0,272
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",286,21,307
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",235,167,402
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",631,38,669
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",874,95,969
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",413,114,527
"New Haven School District","=""0930011""","John S. Martinez Sea and Sky STEM School","=""0930811""",350,186,536
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",550,7,557
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","*","*",313
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",515,51,566
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",276,20,296
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",258,9,267
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",15,7,22
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",146,16,162
"New Haven School District","=""0930011""","Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",462,74,536
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",469,52,521
"New Haven School District","=""0930011""","Sound School","=""0936711""",310,10,320
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",272,45,317
"New Haven School District","=""0930011""","Truman School","=""0932911""",342,190,532
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",233,13,246
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","*","*",375
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",1073,214,1287
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",406,38,444
"New London School District","=""0950011""","Jennings School","=""0950311""",284,270,554
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",480,110,590
"New London School District","=""0950011""","Harbor School","=""0950211""",283,18,301
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",255,29,284
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""","*","*",28
"New London School District","=""0950011""","New London High School","=""0956111""",789,194,983
"New London School District","=""0950011""","Shoreline Academy","=""0950511""",97,11,108
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",197,27,224
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",418,38,456
"New Milford School District","=""0960011""","John Pettibone School","=""0960711""",425,33,458
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",9,0,9
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",1495,15,1510
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",542,6,548
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",1000,24,1024
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",736,12,748
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",417,24,441
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",297,6,303
"Newington School District","=""0940011""","John Paterson School","=""0940811""",458,18,476
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",681,25,706
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",603,19,622
"Newington School District","=""0940011""","Newington High School","=""0946111""",1456,29,1485
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",369,23,392
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""","*","*",416
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""","*","*",369
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",480,0,480
"Newtown School District","=""0970011""","Newtown High School","=""0976111""","*","*",1731
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",897,0,897
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",88,0,88
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""","*","*",895
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",575,0,575
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",133,0,133
"Norfolk School District","=""0980011""","Bridges II","=""0989211""","*",0,"*"
"Norfolk School District","=""0980011""","IEP Program","=""0989011""","*",0,"*"
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",468,7,475
"North Branford School District","=""0990011""","North Branford High School","=""0996111""","*","*",688
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",601,8,609
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""","*","*",518
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",308,10,318
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",388,12,400
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""","*","*",371
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",376,10,386
"North Haven School District","=""1010011""","North Haven High School","=""1016111""","*","*",1173
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""","*","*",832
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",407,17,424
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",371,0,371
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",224,0,224
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","*","*",201
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",1556,139,1695
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",395,113,508
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",310,16,326
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",442,44,486
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",424,42,466
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",437,124,561
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",396,112,508
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",385,100,485
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",400,63,463
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",591,41,632
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",1380,116,1496
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","*","*",118
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",608,59,667
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",372,37,409
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",435,38,473
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",232,123,355
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",308,86,394
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",611,59,670
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",301,45,346
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",2284,97,2381
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",16,0,16
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""","*","*",37
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","*","*",14
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",320,79,399
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",557,62,619
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",421,86,507
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",358,26,384
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",469,70,539
