"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2010-11"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",10
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*","*",511
"Bridgeport School District","=""0150011""","Read School","=""0152511""",757,65,822
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",387,75,462
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",246,0,246
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",475,62,537
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",678,41,719
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",27
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1285,25,1310
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1327,25,1352
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",856,25,881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",327,16,343
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",16,0,16
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",374,22,396
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",501,19,520
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",336,18,354
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",410,10,420
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",358,8,366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",493,22,515
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",369,11,380
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",542,21,563
"Bristol School District","=""0170011""","South Side School","=""0171111""",592,18,610
"Bristol School District","=""0170011""","Stafford School","=""0171211""",523,21,544
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*",996
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",389,11,400
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*","*",583
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",883,7,890
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",562,0,562
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*",385
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",86,0,86
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",318
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",206,0,206
"Canton School District","=""0230011""","Canton High School","=""0236111""",515,0,515
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",397,8,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*","*",266
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*","*",591
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",203,11,214
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","*","*",179
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,20
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",21,0,21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*","*",262
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*","*",284
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",366,6,372
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",231,13,244
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",46
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",9,0,9
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*",711
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",311,26,337
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","*","*",293
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","*","*",255
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",52,0,52
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",151,0,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",103,0,103
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",638,20,658
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",421,9,430
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",187,0,187
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""","*","*",225
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",300
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1509,7,1516
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",331,12,343
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*",786
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","*","*",517
"Cheshire School District","=""0250011""","Highland School","=""0250411""",819,8,827
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*",22
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",487
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*","*",275
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",298,6,304
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","*","*",492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",664,19,683
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",551,6,557
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",981,6,987
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",698
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*",688
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",697,8,705
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",112,0,112
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",539,0,539
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",157,6,163
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",685,41,726
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",842,30,872
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",549,47,596
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",483,56,539
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",559,24,583
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",528,7,535
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","*","*",794
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*",558
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",621,19,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",644,14,658
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",646
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",709,0,709
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","*","*",869
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",599
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*",745
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",557,17,574
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",82,0,82
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",53,0,53
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",12,0,12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",53,0,53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",452,0,452
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",135,0,135
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",115,0,115
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",462,0,462
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",13,0,13
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",391,0,391
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*",558
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",411,0,411
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*",588
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*",475
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",451,38,489
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",458,7,465
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*","*",80
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1039,75,1114
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2476,422,2898
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",262,134,396
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",218,81,299
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",299,89,388
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",323,51,374
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",290,125,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",134,0,134
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",318,84,402
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",200,142,342
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",231,194,425
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",284,59,343
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",921,173,1094
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",303,106,409
"Danbury School District","=""0340011""","South Street School","=""0341011""",255,133,388
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",358,94,452
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",372,14,386
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*",1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*","*",594
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*","*",439
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1159,0,1159
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",472
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",419,0,419
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*","*",444
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",337,14,351
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",333,34,367
"Derby School District","=""0370011""","Derby High School","=""0376111""",375,10,385
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",298,21,319
"Derby School District","=""0370011""","Irving School","=""0370411""",358,38,396
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*","*",255
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",275,0,275
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",150,0,150
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",412
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",387,0,387
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",540,0,540
"East Hampton School District","=""0420011""","Center School","=""0420311""",288,0,288
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",552
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",607,8,615
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",7,0,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",247,44,291
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",180
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",344,64,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",319,50,369
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",314,24,338
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1627,107,1734
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",950,71,1021
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",335,47,382
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",280,37,317
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",371,19,390
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",317,71,388
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",284,24,308
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""","*","*",152
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",331,15,346
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",287,0,287
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*",188
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",290
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",233,40,273
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",315,33,348
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",228,18,246
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",918,25,943
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",177,27,204
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",655,25,680
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",164,17,181
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",206,20,226
"East Haven School District","=""0440011""","Pathways","=""0449011""",34,0,34
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*",1208
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",850
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",349,16,365
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",44,0,44
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",359,6,365
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",222,7,229
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",534,24,558
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*",378
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",387,6,393
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",112,0,112
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",67,0,67
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",105,0,105
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",180,0,180
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",396,0,396
