"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",502
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",490
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",682
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",858
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",537
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",466
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",15
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",509
"Bridgeport School District","=""0150011""","Read School","=""0152511""",923
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",587
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",220
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",490
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",678
"Bristol School District","=""0170011""","ACCESS","=""0170211""","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",21
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1147
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",86
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1138
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",46
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",751
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",12
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",12
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",328
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",415
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",8
