"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2014-15"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",954,0,0,954
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",677,184,123,984
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*",238,"*",275
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",277,234,73,584
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",285,149,64,498
"Ansonia School District","=""0020011""","Mead School","=""0020311""",365,184,48,597
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",29,"*","*",40
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",387,214,79,680
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",26,"*",39
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",121,27,12,160
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",363,283,67,713
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",57,83,11,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",77,"*","*",113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",68,"*","*",90
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",35,"*","*",42
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",227,333,71,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",116,281,18,415
"Avon School District","=""0040011""","Avon High School","=""0046111""",44,986,21,1051
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",24,516,8,548
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","*","*",0,48
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",543,"*",576
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",515,"*",546
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","*",525,"*",552
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",18,267,10,295
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","*","*",0,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",122,780,16,918
