"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","ELA","Non-ELL","*","65.4%","85.8%"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510211""","Burr Elementary School","Math","Non-ELL","*","59.8%","84.5%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","ELA","Non-ELL",104,"68.3%","88.1%"
"=""0510011""","Fairfield School District","=""0510111""","Dwight Elementary School","Math","Non-ELL",104,"58.7%","84.9%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","ELA","Non-ELL","*","45.9%","64.5%"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515211""","Fairfield Woods Middle School","Math","Non-ELL","*","47.0%","64.7%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELA","ELL",6,"*","*"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","ELA","Non-ELL",118,"65.3%","86.8%"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Math","ELL",6,"*","*"
"=""0510011""","Fairfield School District","=""0510411""","Holland Hill School","Math","Non-ELL",117,"52.1%","76.6%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","ELA","Non-ELL","*","54.0%","77.4%"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511711""","Jennings School","Math","Non-ELL","*","56.5%","86.4%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELA","ELL",11,"*","*"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","ELA","Non-ELL",125,"33.6%","57.5%"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Math","ELL",12,"*","*"
"=""0510011""","Fairfield School District","=""0510611""","McKinley School","Math","Non-ELL",126,"58.7%","87.8%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","ELA","Non-ELL","*","52.7%","76.0%"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0510711""","Mill Hill School","Math","Non-ELL","*","50.7%","73.3%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","ELA","Non-ELL","*","49.4%","71.4%"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511611""","North Stratfield School","Math","Non-ELL","*","44.2%","69.3%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","ELA","Non-ELL","*","61.7%","80.7%"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511811""","Osborn Hill School","Math","Non-ELL","*","46.9%","76.8%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","ELA","Non-ELL",140,"67.9%","90.8%"
"=""0510011""","Fairfield School District","=""0511211""","Riverfield School","Math","Non-ELL",140,"61.4%","90.4%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","ELA","Non-ELL","*","43.5%","60.3%"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0515311""","Roger Ludlowe Middle School","Math","Non-ELL","*","52.8%","71.3%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","ELA","Non-ELL","*","59.6%","79.6%"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511311""","Sherman School","Math","Non-ELL","*","58.9%","82.5%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELA","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","ELA","Non-ELL","*","46.0%","71.4%"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Math","ELL","*","*","*"
"=""0510011""","Fairfield School District","=""0511411""","Stratfield School","Math","Non-ELL","*","47.2%","73.7%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELA","ELL",23,"47.8%","71.8%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","ELA","Non-ELL",618,"51.1%","68.9%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Math","ELL",23,"26.1%","42.7%"
"=""0510011""","Fairfield School District","=""0515111""","Tomlinson Middle School","Math","Non-ELL",613,"37.5%","55.8%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELA","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","ELA","Non-ELL","*","79.8%","96.8%"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Math","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520411""","East Farms School","Math","Non-ELL","*","75.8%","93.7%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELA","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","ELA","Non-ELL","*","49.1%","65.5%"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Math","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0525111""","Irving A. Robbins Middle School","Math","Non-ELL","*","66.9%","82.6%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELA","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","ELA","Non-ELL","*","61.6%","82.5%"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Math","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520211""","Noah Wallace School","Math","Non-ELL","*","53.4%","85.4%"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELA","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","ELA","Non-ELL","*","55.7%","76.1%"
"=""0520011""","Farmington School District","=""0520111""","Union School","Math","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520111""","Union School","Math","Non-ELL","*","65.7%","89.0%"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELA","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","ELA","Non-ELL","*","59.4%","77.9%"
"=""0520011""","Farmington School District","=""0520311""","West District School","Math","ELL","*","*","*"
"=""0520011""","Farmington School District","=""0520311""","West District School","Math","Non-ELL","*","60.9%","88.3%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELA","ELL",6,"*","*"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","ELA","Non-ELL",612,"52.5%","72.0%"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Math","ELL",6,"*","*"
"=""0520011""","Farmington School District","=""0520511""","West Woods Upper Elementary School","Math","Non-ELL",612,"62.9%","83.4%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","ELA","Non-ELL",88,"35.2%","53.3%"
"=""0530011""","Franklin School District","=""0530111""","Franklin Elementary School","Math","Non-ELL",88,"27.3%","47.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELA","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","ELA","Non-ELL","*","51.7%","74.6%"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Math","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540211""","Buttonball Lane School","Math","Non-ELL","*","59.3%","86.1%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","ELA","Non-ELL",87,"59.8%","81.6%"
"=""0540011""","Glastonbury School District","=""0540311""","Eastbury School","Math","Non-ELL",87,"67.8%","89.0%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","ELA","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","ELA","Non-ELL","*","59.9%","75.7%"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Math","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540811""","Gideon Welles School","Math","Non-ELL","*","62.3%","80.8%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","ELA","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","ELA","Non-ELL","*","58.4%","76.7%"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Math","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540411""","Hebron Avenue School","Math","Non-ELL","*","53.3%","72.6%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","ELA","Non-ELL",133,"57.9%","80.1%"
"=""0540011""","Glastonbury School District","=""0540611""","Hopewell School","Math","Non-ELL",133,"66.2%","87.7%"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","ELA","Non-ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540111""","LINKS Academy","Math","Non-ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","ELA","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","ELA","Non-ELL","*","35.7%","61.3%"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Math","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0540711""","Naubuc School","Math","Non-ELL","*","39.5%","69.5%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","ELA","Non-ELL",175,"64.0%","82.9%"
"=""0540011""","Glastonbury School District","=""0540911""","Nayaug Elementary School","Math","Non-ELL",174,"66.7%","88.5%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","ELA","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","ELA","Non-ELL","*","43.5%","58.7%"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Math","ELL","*","*","*"
"=""0540011""","Glastonbury School District","=""0545211""","Smith Middle School","Math","Non-ELL","*","55.2%","73.1%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","ELA","Non-ELL",293,"51.2%","68.8%"
"=""0560011""","Granby School District","=""0565111""","Granby Memorial Middle School","Math","Non-ELL",292,"40.8%","57.8%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","ELA","Non-ELL",202,"58.9%","78.4%"
"=""0560011""","Granby School District","=""0560411""","Kelly Lane Primary School","Math","Non-ELL",202,"54.0%","80.3%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","ELA","ELL","*","*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","ELA","Non-ELL","*","69.6%","87.6%"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Math","ELL","*","*","*"
"=""0560011""","Granby School District","=""0560311""","Wells Road Intermediate School","Math","Non-ELL","*","64.9%","87.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","ELA","ELL",28,"50.0%","64.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","ELA","Non-ELL",178,"38.8%","59.2%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Math","ELL",28,"57.1%","75.7%"
"=""2940013""","Great Oaks Charter School District","=""2940113""","Great Oaks Charter School","Math","Non-ELL",175,"42.9%","60.7%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","ELA","ELL",10,"*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","ELA","Non-ELL",503,"41.0%","57.9%"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Math","ELL",11,"*","*"
"=""0570011""","Greenwich School District","=""0575111""","Central Middle School","Math","Non-ELL",505,"39.0%","53.7%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","ELA","ELL",8,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","ELA","Non-ELL",126,"48.4%","70.8%"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Math","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570211""","Cos Cob School","Math","Non-ELL",126,"54.0%","79.3%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","ELA","Non-ELL","*","56.6%","72.0%"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Math","ELL",10,"*","*"
"=""0570011""","Greenwich School District","=""0575211""","Eastern Middle School","Math","Non-ELL",764,"67.8%","82.0%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","ELA","Non-ELL","*","55.8%","79.1%"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Math","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570411""","Glenville School","Math","Non-ELL","*","51.8%","73.4%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","ELA","Non-ELL","*","37.0%","61.3%"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Math","ELL",8,"*","*"
"=""0570011""","Greenwich School District","=""0570511""","Hamilton Avenue School","Math","Non-ELL",100,"36.0%","68.9%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","ELA","Non-ELL",123,"71.5%","87.9%"
"=""0570011""","Greenwich School District","=""0571311""","International School At Dundee","Math","Non-ELL",123,"65.0%","83.3%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","ELA","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","ELA","Non-ELL",101,"55.4%","78.6%"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Math","ELL",12,"*","*"
"=""0570011""","Greenwich School District","=""0570311""","Julian Curtiss School","Math","Non-ELL",101,"44.6%","71.2%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","ELA","ELL",14,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","ELA","Non-ELL",58,"51.7%","68.7%"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Math","ELL",14,"*","*"
"=""0570011""","Greenwich School District","=""0570611""","New Lebanon School","Math","Non-ELL",58,"50.0%","73.4%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","ELA","Non-ELL","*","62.6%","79.7%"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Math","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570711""","North Mianus School","Math","Non-ELL","*","61.9%","83.5%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","ELA","Non-ELL","*","59.4%","77.7%"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Math","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570811""","North Street School","Math","Non-ELL","*","50.0%","68.7%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","ELA","Non-ELL",118,"60.2%","82.0%"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Math","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0570911""","Old Greenwich School","Math","Non-ELL","*","66.9%","87.4%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","ELA","Non-ELL",56,"57.1%","73.7%"
"=""0570011""","Greenwich School District","=""0571111""","Parkway School","Math","Non-ELL",56,"55.4%","76.2%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","ELA","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","ELA","Non-ELL","*","71.4%","86.7%"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Math","ELL","*","*","*"
"=""0570011""","Greenwich School District","=""0571011""","Riverside School","Math","Non-ELL","*","59.3%","77.9%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","ELA","ELL",22,"45.5%","55.0%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","ELA","Non-ELL",468,"55.8%","72.6%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Math","ELL",26,"42.3%","59.7%"
"=""0570011""","Greenwich School District","=""0575311""","Western Middle School","Math","Non-ELL",468,"56.4%","74.2%"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","ELA","Non-ELL","*","*","*"
"=""0580011""","Griswold School District","=""0580111""","Griswold Alternative School","Math","Non-ELL","*","*","*"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","ELA","Non-ELL",132,"40.2%","65.9%"
"=""0580011""","Griswold School District","=""0580311""","Griswold Elementary School","Math","Non-ELL",132,"32.6%","59.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","ELA","ELL","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","ELA","Non-ELL","*","42.8%","63.2%"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Math","ELL","*","*","*"
"=""0580011""","Griswold School District","=""0585111""","Griswold Middle School","Math","Non-ELL","*","54.8%","73.4%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","ELA","ELL","*","*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","ELA","Non-ELL","*","41.8%","59.3%"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Math","ELL","*","*","*"
"=""0590011""","Groton School District","=""0595311""","Carl C. Cutler Middle School","Math","Non-ELL","*","50.3%","66.6%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","ELA","ELL",6,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","ELA","Non-ELL",91,"41.8%","63.5%"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Math","ELL",7,"*","*"
"=""0590011""","Groton School District","=""0592011""","Catherine Kolnaski Magnet School","Math","Non-ELL",91,"41.8%","72.0%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","ELA","Non-ELL",58,"48.3%","74.1%"
"=""0590011""","Groton School District","=""0591811""","Charles Barnum School","Math","Non-ELL",57,"59.6%","81.5%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","ELA","ELL","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","ELA","Non-ELL","*","35.4%","56.3%"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Math","ELL","*","*","*"
"=""0590011""","Groton School District","=""0590311""","Claude Chester School","Math","Non-ELL","*","40.6%","67.7%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","ELA","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","ELA","Non-ELL","*","42.0%","71.8%"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Math","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591711""","Mary Morrisson School","Math","Non-ELL","*","55.1%","82.8%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","ELA","Non-ELL",116,"58.6%","83.2%"
"=""0590011""","Groton School District","=""0591911""","Northeast Academy Elementary School","Math","Non-ELL",116,"70.7%","92.8%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","ELA","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","ELA","Non-ELL","*","54.3%","76.7%"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Math","ELL","*","*","*"
"=""0590011""","Groton School District","=""0591211""","Pleasant Valley School","Math","Non-ELL","*","61.4%","80.6%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","ELA","Non-ELL",74,"52.7%","76.5%"
"=""0590011""","Groton School District","=""0590111""","S. B. Butler School","Math","Non-ELL",74,"56.8%","84.2%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","ELA","ELL",13,"*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","ELA","Non-ELL",358,"30.4%","47.3%"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Math","ELL",16,"*","*"
"=""0590011""","Groton School District","=""0595211""","West Side Middle School","Math","Non-ELL",360,"25.8%","42.3%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","ELA","ELL",6,"*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","ELA","Non-ELL",521,"50.5%","69.0%"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Math","ELL",7,"*","*"
"=""0600011""","Guilford School District","=""0600711""","A. Baldwin Middle School","Math","Non-ELL",521,"55.7%","78.4%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","ELA","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","ELA","Non-ELL","*","57.9%","78.6%"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Math","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600611""","A. W. Cox School","Math","Non-ELL","*","44.6%","70.3%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","ELA","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","ELA","Non-ELL","*","61.0%","82.5%"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Math","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0600411""","Calvin Leete School","Math","Non-ELL","*","39.0%","61.5%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","ELA","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","ELA","Non-ELL","*","55.9%","71.6%"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Math","ELL","*","*","*"
"=""0600011""","Guilford School District","=""0605111""","E. C. Adams Middle School","Math","Non-ELL","*","65.7%","82.7%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","ELA","Non-ELL",65,"64.6%","86.5%"
"=""0600011""","Guilford School District","=""0600211""","Guilford Lakes School","Math","Non-ELL",65,"66.2%","88.6%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","ELA","Non-ELL",65,"50.8%","75.1%"
"=""0600011""","Guilford School District","=""0600311""","Melissa Jones School","Math","Non-ELL",65,"38.5%","52.2%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","ELA","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","ELA","Non-ELL","*","39.8%","60.9%"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Math","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621211""","Bear Path School","Math","Non-ELL","*","36.5%","60.1%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","ELA","ELL",12,"*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","ELA","Non-ELL",98,"32.7%","59.8%"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Math","ELL",12,"*","*"
"=""0620011""","Hamden School District","=""0620211""","Church Street School","Math","Non-ELL",98,"29.6%","54.4%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","ELA","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","ELA","Non-ELL","*","43.9%","67.1%"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Math","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0620311""","Dunbar Hill School","Math","Non-ELL","*","29.6%","50.6%"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","ELA","Non-ELL",7,"*","*"
"=""0620011""","Hamden School District","=""0620511""","Hamden Collaborative Learning Center","Math","Non-ELL",6,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","ELA","ELL",15,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","ELA","Non-ELL",705,"29.2%","46.0%"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Math","ELL",17,"*","*"
"=""0620011""","Hamden School District","=""0625211""","Hamden Middle School","Math","Non-ELL",698,"33.0%","47.3%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","ELA","ELL",8,"*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","ELA","Non-ELL",119,"42.9%","62.6%"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Math","ELL",10,"*","*"
"=""0620011""","Hamden School District","=""0620411""","Helen Street School","Math","Non-ELL",120,"36.7%","66.7%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","ELA","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","ELA","Non-ELL","*","42.3%","60.3%"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Math","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621111""","Ridge Hill School","Math","Non-ELL","*","29.1%","53.7%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","ELA","ELL",7,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","ELA","Non-ELL",113,"36.3%","67.8%"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Math","ELL",8,"*","*"
"=""0620011""","Hamden School District","=""0620111""","Shepherd Glen School","Math","Non-ELL",113,"47.8%","69.3%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","ELA","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","ELA","Non-ELL","*","53.9%","70.8%"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Math","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621011""","Spring Glen School","Math","Non-ELL","*","40.4%","66.7%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","ELA","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","ELA","Non-ELL","*","50.6%","70.4%"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Math","ELL","*","*","*"
"=""0620011""","Hamden School District","=""0621411""","West Woods School","Math","Non-ELL","*","46.4%","70.5%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","ELA","Non-ELL",28,"53.6%","78.8%"
"=""0630011""","Hampton School District","=""0630111""","Hampton Elementary School","Math","Non-ELL",27,"55.6%","79.5%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","ELA","ELL",54,"20.4%","46.0%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","ELA","Non-ELL",171,"21.6%","45.8%"
"=""0640011""","Hartford School District","=""0640711""","Asian Studies Academy","Math","ELL",55,"23.6%","40.0%"
