"Student Counts by School and Grade"
"All Districts, All Schools"
"2008-09"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",32,42,46,35,42,42,50,45,0,0,0,0,0,0,334
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",99,224,233,203,0,0,0,0,0,0,0,0,0,0,759
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,0,0,0,216,216,184,0,0,0,0,0,0,0,616
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",0,0,0,0,0,0,0,180,191,211,0,0,0,0,582
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",0,0,0,0,0,0,0,0,0,"*",9,18,9,"*",39
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,233,175,152,157,717
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",0,0,0,0,0,0,0,0,0,0,0,0,12
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",7,"*",16,17,22,20,18,15,19,17,8,"*","*","*",176
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",11,13,30,32,30,16,28,0,0,0,0,170
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,60,69,67,66,73,72,68,61,69,0,0,0,0,605
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,242,255,251,0,0,0,0,748
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,0,0,0,0,0,0,0,21,20,22,20,18,9,110
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*","*",19,20,75,128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,24,25,23,21,93
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,7,9,8,32,56
"Ashford School District","=""0030011""","Ashford School","=""0030111""",34,48,35,41,54,52,50,54,57,60,0,0,0,0,485
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",31,84,122,113,129,131,0,0,0,0,0,0,0,0,610
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,132,134,161,165,158,0,0,0,0,0,0,0,0,750
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,278,279,0,0,0,0,0,0,557
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,316,273,0,0,0,0,589
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,276,249,277,250,1052
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,57,38,51,57,58,46,34,0,0,0,0,0,0,341
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",51,87,80,88,94,110,91,0,0,0,0,0,0,0,601
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","*","*",40,43,59,37,47,0,0,0,0,0,0,0,264
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,110,88,97,94,83,112,0,0,0,0,0,0,0,584
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,238,249,255,0,0,0,0,742
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,255,261,238,273,1027
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",15,71,76,78,68,83,74,84,0,0,0,0,0,0,549
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",56,105,98,116,105,0,0,0,0,0,0,0,0,0,480
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,108,99,115,101,0,0,0,0,0,0,0,0,0,423
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,219,235,0,0,0,0,0,0,0,454
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,217,252,237,0,0,0,0,706
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,248,261,260,241,1010
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",27,48,47,71,56,67,0,0,0,0,0,0,0,0,316
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,46,41,53,73,52,0,0,0,0,0,0,0,0,265
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,37,53,43,47,52,0,0,0,0,0,0,0,0,232
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,"*",0,"*",0,0,156,144,0,0,0,0,302
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,0,0,0,0,154,159,0,0,0,0,0,0,313
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,187,181,160,118,646
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,0,0,0,0,0,0,0,0,35,21,13,14,83
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",23,22,21,23,25,26,20,27,38,31,0,0,0,0,256
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",77,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,63,70,57,77,96,0,0,0,0,0,0,0,0,363
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",0,75,86,88,94,93,0,0,0,0,0,0,0,0,436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",0,80,90,90,66,83,0,0,0,0,0,0,0,0,409
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,255,251,304,273,0,0,0,0,1083
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,245,282,307,277,1111
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",31,76,85,62,69,67,52,53,60,45,0,0,0,0,600
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",56,45,65,46,49,56,41,34,0,0,0,0,0,0,392
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",34,109,94,80,102,86,92,116,190,156,0,0,0,0,1059
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",42,77,79,39,66,44,40,53,0,0,0,0,0,0,440
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",36,107,111,120,115,140,137,78,119,130,0,0,0,0,1093
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",35,80,91,81,91,49,60,60,54,28,0,0,0,0,629
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",32,31,46,52,41,44,41,30,0,0,0,0,0,0,317
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",17,105,101,90,97,77,74,71,80,59,0,0,0,0,771
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",18,46,56,43,43,52,56,40,0,0,0,0,0,0,354
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",48,64,61,62,50,50,73,42,93,53,0,0,0,0,596
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",17,48,54,45,52,30,35,27,50,55,0,0,0,0,413
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",33,76,86,84,85,80,91,71,119,129,0,0,0,0,854
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",32,57,55,59,50,50,50,50,50,48,0,0,0,0,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",35,99,94,93,109,90,88,104,97,110,0,0,0,0,919
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",18,71,80,56,47,46,34,68,66,64,0,0,0,0,550
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",162,48,0,0,0,0,0,0,0,0,0,0,0,0,210
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",33,59,70,61,57,60,60,55,59,47,0,0,0,0,561
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,49,45,31,38,21,29,21,0,0,0,0,0,0,234
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,"*","*","*","*",7,11,"*","*","*","*",7,0,"*",57
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,46,48,54,52,55,47,41,0,0,0,0,0,0,343
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,36,49,35,39,28,36,20,59,71,0,0,0,0,373
