"Student Counts by School and Gender"
"All Districts, All Schools"
"2009-10"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",199,241,440
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",378,366,744
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",143,193,336
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",383,394,777
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",226,251,477
"Ansonia School District","=""0020011""","Mead School","=""0020311""",311,349,660
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",382,429,811
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",47,63,110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",21,127,148
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",361,372,733
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",49,127,176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",26,97,123
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",22,78,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",14,42,56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",331,299,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",219,256,475
"Avon School District","=""0040011""","Avon High School","=""0046111""",529,550,1079
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",321,280,601
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",313,342,655
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",351,331,682
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",265,303,568
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",143,202,345
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",8,14,22
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",513,509,1022
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",340,393,733
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",252,336,588
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",272,292,564
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",111,141,252
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",239,276,515
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",190,230,420
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",506,481,987
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",341,362,703
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",235,262,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",215,220,435
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",290,339,629
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",137,157,294
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",160,154,314
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",116,138,254
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",121,143,264
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",78,104,182
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",52,36,88
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",120,134,254
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",296,287,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",164,133,297
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",137,119,256
"Branford School District","=""0140011""","Branford High School","=""0146111""",582,527,1109
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",532,581,1113
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",22,36,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",185,176,361
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",215,213,428
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",217,216,433
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",125,113,238
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",303,328,631
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",525,628,1153
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",183,192,375
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",139,118,257
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",503,566,1069
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",9,44,53
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",193,208,401
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1110,1107,2217
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",515,546,1061
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",178,150,328
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",354,328,682
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",178,202,380
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",278,301,579
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",178,146,324
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",132,134,266
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",386,453,839
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",118,159,277
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",149,191,340
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",774,771,1545
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",237,195,432
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",198,263,461
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",306,314,620
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",208,214,422
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",439,428,867
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",240,322,562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",23,31,54
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",250,201,451
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",22,24,46
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,"*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",17
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",254,258,512
"Bridgeport School District","=""0150011""","Read School","=""0152511""",395,468,863
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",242,284,526
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",109,134,243
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*","*",28
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",251,271,522
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",361,363,724
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",660,704,1364
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",656,649,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",442,468,910
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",173,202,375
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",107,129,236
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",13
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",171,184,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",250,261,511
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",174,188,362
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",168,191,359
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",164,177,341
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",269,275,544
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",171,196,367
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",270,315,585
"Bristol School District","=""0170011""","South Side School","=""0171111""",252,314,566
"Bristol School District","=""0170011""","Stafford School","=""0171211""",240,240,480
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",509,507,1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",192,227,419
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",279,267,546
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",444,473,917
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",296,280,576
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",188,198,386
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",53,42,95
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",143,186,329
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",105,117,222
"Canton School District","=""0230011""","Canton High School","=""0236111""",240,274,514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",193,195,388
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",139,152,291
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",288,281,569
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",66,102,168
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",9,16,25
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",125,136,261
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",138,96,234
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",180,94,274
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*",9
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",82,100,182
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",17,36,53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,"*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",373,340,713
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",167,169,336
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",72,144,216
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",77,94,171
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",11,41,52
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",24,128,152
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",53,36,89
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",277,315,592
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",197,221,418
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",83,90,173
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",104,81,185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",171,154,325
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",735,814,1549
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",191,204,395
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",416,399,815
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",247,269,516
"Cheshire School District","=""0250011""","Highland School","=""0250411""",400,440,840
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",7,10,17
"Cheshire School District","=""0250011""","Norton School","=""0250511""",252,240,492
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",163,136,299
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",167,133,300
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",242,253,495
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",317,354,671
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",281,277,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",509,494,1003
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",337,397,734
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",342,364,706
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",389,372,761
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",60,59,119
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",271,283,554
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",82,78,160
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",370,313,683
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",460,426,886
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",200,344,544
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",246,265,511
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",254,337,591
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",150,364,514
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",300,481,781
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",147,419,566
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",207,464,671
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",109,514,623
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",174,383,557
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",251,510,761
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",289,591,880
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",176,431,607
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",300,437,737
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",201,356,557
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",28,48,76
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",14,44,58
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*",10
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",31,22,53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",221,218,439
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",23,119,142
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",60,62,122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",228,253,481
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",209,205,414
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",279,284,563
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",205,235,440
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",314,291,605
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",222,243,465
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",221,256,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",238,263,501
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",50,38,88
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",553,555,1108
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1411,1443,2854
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",190,205,395
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",147,160,307
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",202,237,439
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",148,159,307
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",144,156,300
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",168,184,352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",147,149,296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",184,185,369
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",208,200,408
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",153,172,325
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",486,550,1036
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",201,195,396
"Danbury School District","=""0340011""","South Street School","=""0341011""",172,172,344
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",238,229,467
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",179,204,383
"Darien School District","=""0350011""","Darien High School","=""0356111""",637,627,1264
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",271,275,546
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",223,261,484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",549,607,1156
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",227,251,478
