"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",38,38,100.0,38,0,0.0,0,0.0,"*","*",19,50.0,"*","*","*","*",289
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",254,254,100.0,254,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",246,243,98.8,243,"*","*","*","*",17,7.0,127,52.3,90,37.0,217,89.3,286
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"Y",29,29,100.0,29,9,31.0,"*","*",7,24.1,"*","*",0,0.0,"*","*",219
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"N",261,260,99.6,259,"*","*","*","*",49,18.9,"*","*","*","*","*","*",295
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"Y",25,24,96.0,24,"*","*","*","*",9,37.5,"*","*","*","*","*","*",232
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N",38,36,94.7,36,0,0.0,"*","*","*","*","*","*","*","*","*","*",281
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N",46,46,100.0,46,0,0.0,"*","*","*","*","*","*","*","*","*","*",273
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N",76,76,100.0,76,"*","*","*","*","*","*","*","*","*","*","*","*",282
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N",100,100,100.0,100,"*","*","*","*","*","*","*","*","*","*","*","*",270
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
