"Chronic Absenteeism, Trend"
"All Districts, All Schools, Special Education Status"

"",,,,,"% Chronically Absent",,,,
"District","District Code","School","School Code","Special Education Status","2011-12","2012-13","2013-14","2014-15","2015-16"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Non-Special Education",7.3,"*",5.4,9.3,9.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Special Education",18.5,"*",13.0,22.0,19.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Non-Special Education","*","*",3.1,4.1,4.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Special Education","*","*",10.9,23.3,25.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Non-Special Education","*","*","*","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Special Education","*","*",0.0,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Non-Special Education",10.6,18.3,13.2,20.4,15.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Special Education",20.5,27.9,31.3,28.9,14.7
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Non-Special Education",15.7,13.4,12.5,15.1,14.1
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Special Education",20.0,26.1,21.3,26.1,15.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Non-Special Education",11.3,11.5,8.4,13.9,14.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Special Education",24.7,18.1,11.2,17.6,19.1
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Non-Special Education","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Special Education","N/A","N/A","N/A","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Non-Special Education",9.7,10.2,8.4,9.2,8.5
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Special Education",14.6,16.3,6.9,10.0,11.6
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","Special Education",17.6,"*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Non-Special Education","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","Special Education","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Non-Special Education",10.7,10.5,12.6,12.1,9.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","Special Education",12.3,21.3,20.0,22.9,16.9
