"CT School Day SAT, 2015-16"
"All Districts, All Subjects, Gender"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","ELA","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","Female",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Math","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","ELA","Female",48,"*","*",16,33.3,19,39.6,"*","*","*","*",480
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","ELA","Male",82,"*","*",22,26.8,40,48.8,"*","*","*","*",477
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Math","Female",48,13,27.1,26,54.2,"*","*","*","*",9,18.8,472
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Math","Male",82,14,17.1,48,58.5,"*","*","*","*",20,24.4,490
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELA","Female",58,32,55.2,"*","*","*","*",0,0.0,"*","*",409
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","ELA","Male",61,40,65.6,17,27.9,"*","*","*","*","*","*",395
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Math","Female",58,36,62.1,"*","*","*","*",0,0.0,"*","*",392
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Math","Male",61,43,70.5,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELA","Female",97,"*","*",31,32.0,37,38.1,"*","*","*","*",465
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","ELA","Male",37,17,45.9,"*","*",9,24.3,"*","*","*","*",448
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Math","Female",97,33,34.0,56,57.7,"*","*","*","*","*","*",442
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Math","Male",37,16,43.2,16,43.2,"*","*","*","*","*","*",438
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","ELA","Female",33,21,63.6,"*","*","*","*",0,0.0,"*","*",406
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","ELA","Male",57,25,43.9,"*","*","*","*",0,0.0,"*","*",440
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Math","Female",33,27,81.8,6,18.2,0,0.0,0,0.0,0,0.0,379
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Math","Male",57,40,70.2,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELA","Female",123,42,34.1,"*","*",44,35.8,"*","*","*","*",454
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","ELA","Male",113,64,56.6,"*","*",26,23.0,"*","*","*","*",420
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math","Female",123,46,37.4,61,49.6,16,13.0,0,0.0,16,13.0,436
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Math","Male",111,63,56.8,36,32.4,12,10.8,0,0.0,12,10.8,413
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA","Female",97,67,69.1,24,24.7,6,6.2,0,0.0,6,6.2,389
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","ELA","Male",78,52,66.7,17,21.8,"*","*","*","*",9,11.5,400
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math","Female",97,78,80.4,"*","*","*","*",0,0.0,"*","*",369
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Math","Male",78,57,73.1,"*","*","*","*",0,0.0,"*","*",384
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA","Female",45,16,35.6,"*","*",14,31.1,"*","*","*","*",460
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","ELA","Male",87,"*","*",23,26.4,36,41.4,"*","*","*","*",482
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math","Female",45,16,35.6,26,57.8,"*","*","*","*","*","*",444
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Math","Male",87,29,33.3,36,41.4,"*","*","*","*","*","*",460
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","ELA","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","ELA","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Math","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Math","Male","*","*","*","*","*","*","*","*","*","*","*","*"
