"District","reportingsdistrictcode","School","School Code","Count","%"
"Madison School District",".","Kathleen H. Ryerson Elementary School","=""0760311""","N/A","N/A"
"Madison School District",".","Town Campus Learning Center","=""0769011""","N/A","N/A"
"Madison School District",".","Walter C. Polson Upper Middle School","=""0765211""",10,1.8
"Manchester School District",".","Bentley Alternative Education Program","=""0770211""",32,48.5
"Manchester School District",".","Bowers School","=""0770111""","N/A","N/A"
"Manchester School District",".","Buckley School","=""0770311""","N/A","N/A"
"Manchester School District",".","Elementary Site 2","=""0771111""","N/A","*"
"Manchester School District",".","Elisabeth M. Bennet Academy","=""0771711""",38,8.8
"Manchester School District",".","Highland Park School","=""0770411""",8,3.0
"Manchester School District",".","Illing Middle School","=""0775311""",100,12.7
"Manchester School District",".","Keeney School","=""0770611""","*","*"
"Manchester School District",".","Manchester High School","=""0776111""",241,15.6
"Manchester School District",".","Manchester Preschool - Site 2","=""0770811""","N/A","N/A"
"Manchester School District",".","Manchester Preschool Center","=""0778011""","N/A","N/A"
"Manchester School District",".","Manchester Regional Academy","=""0779011""",68,78.2
"Manchester School District",".","Manchester Transition Center","=""0779111""","N/A","*"
"Manchester School District",".","Martin School","=""0771611""",10,3.6
"Manchester School District",".","New Horizons","=""0770711""","*","*"
"Manchester School District",".","Robertson School","=""0771011""",7,2.0
"Manchester School District",".","Verplanck School","=""0771211""",7,1.8
"Manchester School District",".","Waddell School","=""0771311""",17,4.7
"Manchester School District",".","Washington School","=""0771411""",41,11.1
"Darien School District",".","Darien High School","=""0356111""",28,2.1
"Darien School District",".","Hindley Elementary School","=""0350211""","N/A","N/A"
"Darien School District",".","Holmes Elementary School","=""0350711""","N/A","N/A"
"Darien School District",".","Middlesex Middle School","=""0355111""","*","*"
"Darien School District",".","Ox Ridge Elementary School","=""0351311""",6,1.3
"Darien School District",".","Royle Elementary School","=""0350511""","N/A","N/A"
"Darien School District",".","Tokeneke Elementary School","=""0350611""","N/A","N/A"
"Deep River School District",".","Deep River Elementary School","=""0360111""",9,2.9
"Derby School District",".","Bradley School","=""0370611""",12,3.5
"Derby School District",".","Derby Alternative Education Center","=""0370511""","N/A","*"
"Derby School District",".","Derby High School","=""0376111""",54,15.2
"Derby School District",".","Derby Middle School","=""0375011""",67,20.8
"Derby School District",".","Irving School","=""0370411""",19,5.7
"Derby School District",".","Little Raiders University","=""0370111""","N/A","N/A"
"East Granby School District",".","Allgrove School","=""0400111""","N/A","N/A"
"East Granby School District",".","East Granby High School","=""0406111""",42,15.8
"East Granby School District",".","East Granby Middle School","=""0405111""",11,5.5
