"Student Counts by School and Grade"
"All Districts, All Schools"
"2013-14"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",26,29,27,37,43,49,41,46,0,0,0,0,0,0,298
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",104,0,0,0,0,0,0,0,202,187,0,0,0,0,493
"Ansonia School District","=""0020011""","Mead School","=""0020311""",0,67,74,85,83,82,84,91,0,0,0,0,0,0,566
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",0,98,119,84,94,85,92,89,0,0,0,0,0,0,661
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",0,0,0,0,0,0,0,0,0,0,183,145,139,135,602
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*",6,10,14,18,13,20,26,18,19,0,"*",0,"*",151
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",0,"*","*",10,19,21,30,23,16,23,0,0,0,0,151
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",0,60,66,73,75,75,75,75,68,64,0,0,0,0,631
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,0,0,0,0,"*","*",7,10,"*","*",6,36
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",0,0,0,0,0,0,0,238,236,237,0,0,0,0,711
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,0,0,0,0,0,0,0,0,"*",16,16,"*",67,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,0,0,0,0,0,0,0,0,0,26,13,25,36,100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,0,0,0,0,0,0,0,0,"*",7,"*",27,39
"Ashford School District","=""0030011""","Ashford School","=""0030111""",42,42,32,49,43,38,49,33,47,48,0,0,0,0,423
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",35,83,105,106,133,132,0,0,0,0,0,0,0,0,594
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",0,103,108,98,126,138,0,0,0,0,0,0,0,0,573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",0,0,0,0,0,0,275,288,0,0,0,0,0,0,563
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",0,0,0,0,0,0,0,0,270,314,0,0,0,0,584
"Avon School District","=""0040011""","Avon High School","=""0046111""",0,0,0,0,0,0,0,0,0,0,270,253,257,277,1057
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,22,36,45,44,43,62,36,0,0,0,0,0,0,288
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",52,75,74,59,79,83,92,0,0,0,0,0,0,0,514
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",0,70,85,88,111,96,112,0,0,0,0,0,0,0,562
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,48,32,38,54,35,44,0,0,0,0,0,0,0,251
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,214,238,239,0,0,0,0,691
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,234,246,212,241,933
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",13,45,61,46,57,60,72,82,0,0,0,0,0,0,436
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",127,117,122,92,98,0,0,0,0,0,0,0,0,0,556
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,100,117,95,99,0,0,0,0,0,0,0,0,0,411
