"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2013-14"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*","*",0,870
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",705,145,87,937
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*",255,"*",298
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",280,244,78,602
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",262,164,67,493
"Ansonia School District","=""0020011""","Mead School","=""0020311""",344,162,60,566
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",371,208,82,661
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""","*",24,"*",36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",115,23,13,151
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",334,300,77,711
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",51,89,11,151
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",85,"*","*",114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",82,"*","*",100
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",32,"*","*",39
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",205,359,67,631
"Ashford School District","=""0030011""","Ashford School","=""0030111""",107,297,19,423
"Avon School District","=""0040011""","Avon High School","=""0046111""",50,985,22,1057
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",17,556,11,584
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","*",559,"*",594
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","*",543,"*",573
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",32,524,7,563
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",12,265,11,288
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",0,18,0,18
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",117,795,21,933
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",91,584,16,691
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",60,441,13,514
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*",508,"*",562
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",36,204,11,251
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",15,415,6,436
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",68,319,24,411
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",130,749,54,933
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",101,534,37,672
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",47,490,19,556
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",59,342,16,417
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",249,248,58,555
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",99,92,25,216
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",111,78,24,213
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",72,126,22,220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",163,128,27,318
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*",6,"*",13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",101,101,29,231
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",78,231,12,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",64,455,9,528
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","*",290,"*",334
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",51,177,15,243
"Branford School District","=""0140011""","Branford High School","=""0146111""",171,826,53,1050
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",180,705,57,942
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,36,0,36
