"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2015-16"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",1011,52,1063
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",930,106,1036
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","*","*",250
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",585,12,597
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",446
"Ansonia School District","=""0020011""","Mead School","=""0020311""",573,22,595
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*",35
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",662,26,688
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",38,0,38
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",167,0,167
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",678,48,726
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",135,0,135
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",113,0,113
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",95,0,95
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","*","*",42
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","*","*",632
"Ashford School District","=""0030011""","Ashford School","=""0030111""","*","*",397
"Avon School District","=""0040011""","Avon High School","=""0046111""",1030,8,1038
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",537,8,545
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","*","*",45
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",537,62,599
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",482,15,497
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",541,9,550
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",255,0,255
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","*",0,"*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",28,0,28
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*","*",953
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",666,6,672
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",477,26,503
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",486,11,497
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",222,16,238
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","*","*",383
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",386,34,420
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",884,13,897
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",644,14,658
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",530,31,561
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",410,16,426
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","*","*",516
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","*","*",193
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*",218
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",326,9,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,0,10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",246,8,254
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",322,0,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","*","*",507
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",307,0,307
