"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2010-11"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",205,325,53,583
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",97,404,34,535
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",183,548,63,794
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",92,425,41,558
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",163,417,60,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",166,439,53,658
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",118,484,44,646
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",94,589,26,709
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",193,611,65,869
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",97,466,36,599
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",222,453,70,745
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",130,406,38,574
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*",51,"*",82
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*",29,"*",53
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,12,0,12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",15,18,20,53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",85,313,54,452
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",48,81,6,135
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",13,102,0,115
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",73,373,16,462
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",0,13
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",53,329,9,391
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",66,479,13,558
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",72,330,9,411
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",63,509,16,588
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",55,404,16,475
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",51,420,18,489
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",63,387,15,465
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*",50,"*",80
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",358,655,101,1114
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",869,1786,243,2898
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",207,132,57,396
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",95,180,24,299
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",182,153,53,388
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",125,218,31,374
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",117,275,23,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""","*",125,"*",134
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",101,260,41,402
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",210,83,49,342
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",246,130,49,425
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",96,211,36,343
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",494,485,115,1094
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",147,208,54,409
"Danbury School District","=""0340011""","South Street School","=""0341011""",208,131,49,388
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",139,271,42,452
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",33,332,21,386
"Darien School District","=""0350011""","Darien High School","=""0356111""",8,1295,12,1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,594,0,594
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*","*",0,439
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",11,1141,7,1159
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,472,0,472
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",408,"*",419
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*",439,"*",444
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",40,298,13,351
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",111,230,26,367
"Derby School District","=""0370011""","Derby High School","=""0376111""",125,222,38,385
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",156,133,30,319
"Derby School District","=""0370011""","Irving School","=""0370411""",228,142,26,396
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",11,244,0,255
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",0,275
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",10,201,0,211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",6,144,0,150
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",20,372,20,412
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",18,347,22,387
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",61,460,19,540
"East Hampton School District","=""0420011""","Center School","=""0420311""",23,254,11,288
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",47,495,10,552
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",47,442,19,508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",50,548,17,615
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",0,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",187,75,29,291
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*",143,"*",180
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",269,104,35,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",230,117,22,369
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",110,200,28,338
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",754,811,169,1734
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",545,364,112,1021
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",141,208,33,382
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",184,108,25,317
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",156,200,34,390
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",244,115,29,388
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",224,62,22,308
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",76,68,8,152
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",173,143,30,346
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",145,136,6,287
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",95,85,8,188
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",48,224,18,290
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",92,155,26,273
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",92,223,33,348
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",79,131,36,246
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",251,586,106,943
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",86,88,30,204
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",243,352,85,680
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",92,67,22,181
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",73,131,22,226
"East Haven School District","=""0440011""","Pathways","=""0449011""",19,"*","*",34
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",66,1121,21,1208
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",76,751,23,850
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",20,339,6,365
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","*","*",0,44
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",32,316,17,365
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",25,192,12,229
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",162,372,24,558
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",95,252,31,378
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",120,249,24,393
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",99,"*",112
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",34,"*","*",67
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",25,69,11,105
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",17,163,0,180
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",390,"*",396
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",695,"*",705
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",0,183,0,183
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",0,34,0,34
"Ellington School District","=""0480011""","Center School","=""0480111""",33,393,6,432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",198,"*",217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",46,735,10,791
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",28,373,9,410
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",25,398,13,436
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*",399,"*",439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",323,155,107,585
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",32,284,9,325
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",111,286,21,418
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",176,580,53,809
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",126,194,27,347
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",0,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",143,867,92,1102
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",51,173,10,234
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",53,296,17,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",125,250,22,397
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",196,588,64,848
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",33,202,12,247
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",55,297,27,379
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",210,72,19,301
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",24,556,13,593
"Explorations District","=""2720013""","Explorations","=""2726113""",36,44,0,80
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",8,412,0,420
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",307,"*",314
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",6,112,0,118
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",91,1385,27,1503
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",137,1148,43,1328
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","*",638,"*",668
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",31,283,19,333
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",25,314,8,347
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",135,314,41,490
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",20,447,7,474
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",14,459,10,483
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",528,"*",538
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",14,430,7,451
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",101,850,34,985
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",11,425,6,442
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*",487,"*",504
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",47,719,18,784
"Farmington School District","=""0520011""","East Farms School","=""0520411""",11,452,6,469
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","*",72,"*",76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",74,1211,24,1309
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",48,627,13,688
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*",321,"*",346
"Farmington School District","=""0520011""","Union School","=""0520111""",34,258,8,300
"Farmington School District","=""0520011""","West District School","=""0520311""",19,312,7,338
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",33,557,13,603
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",23,193,6,222
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",26,481,11,518
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",0,303
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",23,474,9,506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",107,2042,52,2201
