"Student Counts by School and Year"
"All Districts, All Schools"
"2008-09"

"District","District Code","School","School Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",261
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",641
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",334
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",717
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",582
"Ansonia School District","=""0020011""","Mead School","=""0020311""",616
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",759
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",12
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",110
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",170
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",748
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",176
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",128
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",93
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",56
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",605
"Ashford School District","=""0030011""","Ashford School","=""0030111""",485
"Avon School District","=""0040011""","Avon High School","=""0046111""",1052
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",589
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",610
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",750
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",557
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",341
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",1027
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",742
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",601
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",584
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",264
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",549
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",423
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",1010
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",706
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",480
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",646
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",313
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",302
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",316
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",265
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",232
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",83
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",278
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",256
"Branford School District","=""0140011""","Branford High School","=""0146111""",1111
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",1083
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",77
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",363
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",436
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",409
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",160
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",600
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1257
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",392
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",234
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1059
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",57
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",440
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2287
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1093
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",343
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",629
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",373
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",562
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",397
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",317
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",771
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",273
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",354
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1652
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",441
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",470
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",596
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",413
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",854
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",531
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",42
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",445
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",38
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",34
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",919
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",550
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",210
"Bridgeport School District","=""0150011""","The University School","=""0159111""",24
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",561
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1417
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1318
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",372
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",242
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",359
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",492
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",367
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",382
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",543
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",391
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",566
"Bristol School District","=""0170011""","South Side School","=""0171111""",575
"Bristol School District","=""0170011""","Stafford School","=""0171211""",517
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",406
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",609
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",581
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",400
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",85
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",357
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",242
"Canton School District","=""0230011""","Canton High School","=""0236111""",522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",394
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",279
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",553
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",78
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",251
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",164
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",147
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",18
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",124
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",68
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",683
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",332
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",105
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",149
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",53
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",149
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",98
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",589
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",412
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",178
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",136
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",329
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1579
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",385
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",818
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",532
"Cheshire School District","=""0250011""","Highland School","=""0250411""",869
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",24
"Cheshire School District","=""0250011""","Norton School","=""0250511""",470
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",319
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",313
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",689
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",590
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",968
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",739
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",710
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",763
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",116
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",573
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",155
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",615
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",875
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",491
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",524
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",618
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",520
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",727
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",568
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",578
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",597
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",225
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",473
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",741
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",884
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",583
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",716
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",522
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",270
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",430
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",514
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",14
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",410
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",553
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",461
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",573
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",462
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",488
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",494
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",86
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1105
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2839
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",351
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",301
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",406
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",334
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",346
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",400
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1020
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",375
"Danbury School District","=""0340011""","South Street School","=""0341011""",335
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",470
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",371
"Darien School District","=""0350011""","Darien High School","=""0356111""",1236
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",518
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",475
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1132
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",495
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",440
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",425
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",353
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",383
"Derby School District","=""0370011""","Derby High School","=""0376111""",641
"Derby School District","=""0370011""","Irving School","=""0370411""",438
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",288
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",252
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",142
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",433
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",418
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",572
"East Hampton School District","=""0420011""","Center School","=""0420311""",350
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",595
