district_code,district_name,school_code,school,subject,school_level,mean,n,state_mean,state_n,year
0010011,Andover School District,0010111,Andover Elementary School,1,Elementary,15,2,20,5150.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,2,Elementary,13,3,21,5089.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,3,Elementary,18,2,21,4804.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,4,Elementary,16,2,21,5070.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,5,Elementary,15,3,21,5597.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,6,Elementary,21,2,21,7941.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,KG,Elementary,12,2,19,4651.0,2014-15
0010011,Andover School District,0010111,Andover Elementary School,PK,Elementary,29,1,16,1262.0,2014-15
0020011,Ansonia School District,0020311,Mead School,1,Elementary,21,4,20,5150.0,2014-15
0020011,Ansonia School District,0020311,Mead School,2,Elementary,22,4,21,5089.0,2014-15
0020011,Ansonia School District,0020311,Mead School,3,Elementary,24,4,21,4804.0,2014-15
0020011,Ansonia School District,0020311,Mead School,4,Elementary,27,4,21,5070.0,2014-15
0020011,Ansonia School District,0020311,Mead School,5,Elementary,24,4,21,5597.0,2014-15
0020011,Ansonia School District,0020311,Mead School,6,Elementary,25,4,21,7941.0,2014-15
0020011,Ansonia School District,0020311,Mead School,KG,Elementary,24,4,19,4651.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,1,Elementary,21,6,20,5150.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,2,Elementary,26,4,21,5089.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,3,Elementary,24,4,21,4804.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,4,Elementary,24,4,21,5070.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,5,Elementary,24,4,21,5597.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,6,Elementary,23,4,21,7941.0,2014-15
0020011,Ansonia School District,0020811,Prendergast School,KG,Elementary,22,6,19,4651.0,2014-15
0020011,Ansonia School District,0025111,Ansonia Middle School,7,Elementary,21,35,20,7910.0,2014-15
0020011,Ansonia School District,0025111,Ansonia Middle School,8,Elementary,22,39,20,7959.0,2014-15
0020011,Ansonia School District,0025111,Ansonia Middle School,PK,Elementary,14,2,16,1262.0,2014-15
0030011,Ashford School District,0030111,Ashford School,1,Elementary,14,3,20,5150.0,2014-15
0030011,Ashford School District,0030111,Ashford School,2,Elementary,16,2,21,5089.0,2014-15
0030011,Ashford School District,0030111,Ashford School,3,Elementary,15,2,21,4804.0,2014-15
0030011,Ashford School District,0030111,Ashford School,4,Elementary,14,3,21,5070.0,2014-15
0030011,Ashford School District,0030111,Ashford School,5,Elementary,13,3,21,5597.0,2014-15
0030011,Ashford School District,0030111,Ashford School,6,Elementary,16,3,21,7941.0,2014-15
0030011,Ashford School District,0030111,Ashford School,7,Elementary,15,8,20,7910.0,2014-15
0030011,Ashford School District,0030111,Ashford School,8,Elementary,15,17,20,7959.0,2014-15
0030011,Ashford School District,0030111,Ashford School,KG,Elementary,12,3,19,4651.0,2014-15
0030011,Ashford School District,0030111,Ashford School,PK,Elementary,13,4,16,1262.0,2014-15
0040011,Avon School District,0040111,Avon Public Schools Pre-K,PK,Elementary,12,5,16,1262.0,2014-15
0040011,Avon School District,0040311,Roaring Brook School,1,Elementary,21,5,20,5150.0,2014-15
0040011,Avon School District,0040311,Roaring Brook School,2,Elementary,21,5,21,5089.0,2014-15
0040011,Avon School District,0040311,Roaring Brook School,3,Elementary,21,5,21,4804.0,2014-15
0040011,Avon School District,0040311,Roaring Brook School,4,Elementary,21,6,21,5070.0,2014-15
0040011,Avon School District,0040311,Roaring Brook School,KG,Elementary,19,4,19,4651.0,2014-15
0040011,Avon School District,0040411,Pine Grove School,1,Elementary,21,3,20,5150.0,2014-15
