district_code,district_name,school_code,school,subject,school_level,mean,n,state_mean,state_n,year
0040011,Avon School District,0040411,Pine Grove School,2,Elementary,24,5,21,5089.0,2014-15
0040011,Avon School District,0040411,Pine Grove School,3,Elementary,23,5,21,4804.0,2014-15
0040011,Avon School District,0040411,Pine Grove School,4,Elementary,25,6,21,5070.0,2014-15
0040011,Avon School District,0040411,Pine Grove School,KG,Elementary,22,6,19,4651.0,2014-15
0040011,Avon School District,0040511,Thompson Brook School,5,Elementary,23,12,21,5597.0,2014-15
0040011,Avon School District,0040511,Thompson Brook School,6,Elementary,23,48,21,7941.0,2014-15
0040011,Avon School District,0045111,Avon Middle School,7,Elementary,21,47,20,7910.0,2014-15
0040011,Avon School District,0045111,Avon Middle School,8,Elementary,22,45,20,7959.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,1,Elementary,15,10,20,5150.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,2,Elementary,16,10,21,5089.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,3,Elementary,16,15,21,4804.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,4,Elementary,16,15,21,5070.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,5,Elementary,16,15,21,5597.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,6,Elementary,20,15,21,7941.0,2014-15
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,KG,Elementary,17,10,19,4651.0,2014-15
0050011,Barkhamsted School District,0058011,Shared Services Integrated Preschool,PK,Elementary,29,1,16,1262.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,1,Elementary,16,6,20,5150.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,2,Elementary,15,4,21,5089.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,3,Elementary,20,4,21,4804.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,4,Elementary,18,6,21,5070.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,5,Elementary,18,4,21,5597.0,2014-15
0070011,Berlin School District,0070111,Richard D. Hubbard School,KG,Elementary,18,2,19,4651.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,1,Elementary,21,8,20,5150.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,2,Elementary,19,8,21,5089.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,3,Elementary,20,6,21,4804.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,4,Elementary,20,8,21,5070.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,5,Elementary,22,8,21,5597.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,KG,Elementary,19,6,19,4651.0,2014-15
0070011,Berlin School District,0070411,Emma Hart Willard School,PK,Elementary,12,10,16,1262.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,1,Elementary,18,8,20,5150.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,2,Elementary,17,10,21,5089.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,3,Elementary,22,8,21,4804.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,4,Elementary,22,10,21,5070.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,5,Elementary,20,10,21,5597.0,2014-15
0070011,Berlin School District,0070511,Mary E. Griswold School,KG,Elementary,18,10,19,4651.0,2014-15
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,6,Elementary,20,123,21,7941.0,2014-15
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,7,Elementary,22,94,20,7910.0,2014-15
0070011,Berlin School District,0075111,Catherine M. McGee Middle School,8,Elementary,21,116,20,7959.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,1,Elementary,17,9,20,5150.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,2,Elementary,15,20,21,5089.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,3,Elementary,17,9,21,4804.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,4,Elementary,20,9,21,5070.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,5,Elementary,21,6,21,5597.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,6,Elementary,17,20,21,7941.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,KG,Elementary,16,6,19,4651.0,2014-15
0080011,Bethany School District,0080111,Bethany Community School,PK,Elementary,9,2,16,1262.0,2014-15
0090011,Bethel School District,0090111,Frank A. Berry School,1,Elementary,20,6,20,5150.0,2014-15
0090011,Bethel School District,0090111,Frank A. Berry School,2,Elementary,21,6,21,5089.0,2014-15
0090011,Bethel School District,0090111,Frank A. Berry School,3,Elementary,25,4,21,4804.0,2014-15
0090011,Bethel School District,0090111,Frank A. Berry School,KG,Elementary,19,5,19,4651.0,2014-15
0090011,Bethel School District,0090111,Frank A. Berry School,PK,Elementary,12,10,16,1262.0,2014-15
0090011,Bethel School District,0090411,Anna H. Rockwell School,1,Elementary,20,5,20,5150.0,2014-15
0090011,Bethel School District,0090411,Anna H. Rockwell School,2,Elementary,21,6,21,5089.0,2014-15
0090011,Bethel School District,0090411,Anna H. Rockwell School,3,Elementary,25,4,21,4804.0,2014-15
0090011,Bethel School District,0090411,Anna H. Rockwell School,KG,Elementary,19,5,19,4651.0,2014-15
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,4,Elementary,23,9,21,5070.0,2014-15
0090011,Bethel School District,0090511,Ralph M. T. Johnson School,5,Elementary,23,8,21,5597.0,2014-15
0090011,Bethel School District,0095111,Bethel Middle School,6,Elementary,23,51,21,7941.0,2014-15
0090011,Bethel School District,0095111,Bethel Middle School,7,Elementary,21,44,20,7910.0,2014-15
0090011,Bethel School District,0095111,Bethel Middle School,8,Elementary,24,49,20,7959.0,2014-15
0110011,Bloomfield School District,0110511,Metacomet School,3,Elementary,16,7,21,4804.0,2014-15
0110011,Bloomfield School District,0110511,Metacomet School,4,Elementary,17,8,21,5070.0,2014-15
0110011,Bloomfield School District,0110611,Laurel School,1,Elementary,14,8,20,5150.0,2014-15
0110011,Bloomfield School District,0110611,Laurel School,2,Elementary,17,9,21,5089.0,2014-15
0110011,Bloomfield School District,0110611,Laurel School,KG,Elementary,16,7,19,4651.0,2014-15
0110011,Bloomfield School District,0110711,Carmen Arace Intermediate School,5,Elementary,13,37,21,5597.0,2014-15
0110011,Bloomfield School District,0110711,Carmen Arace Intermediate School,6,Elementary,15,28,21,7941.0,2014-15
0110011,Bloomfield School District,0110811,Wintonbury Early Childhood Magnet School,KG,Elementary,17,3,19,4651.0,2014-15
0110011,Bloomfield School District,0110811,Wintonbury Early Childhood Magnet School,PK,Elementary,17,18,16,1262.0,2014-15
0110011,Bloomfield School District,0115211,Carmen Arace Middle School,7,Elementary,11,36,20,7910.0,2014-15
0110011,Bloomfield School District,0115211,Carmen Arace Middle School,8,Elementary,11,42,20,7959.0,2014-15
0110011,Bloomfield School District,0116311,Global Experience Magnet School,6,Elementary,16,6,21,7941.0,2014-15
0110011,Bloomfield School District,0116311,Global Experience Magnet School,7,Elementary,17,6,20,7910.0,2014-15
0110011,Bloomfield School District,0116311,Global Experience Magnet School,8,Elementary,17,6,20,7959.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,1,Elementary,55,1,20,5150.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,2,Elementary,56,1,21,5089.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,3,Elementary,59,1,21,4804.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,4,Elementary,66,1,21,5070.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,5,Elementary,20,11,21,5597.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,6,Elementary,16,16,21,7941.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,7,Elementary,16,13,20,7910.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,8,Elementary,15,15,20,7959.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,KG,Elementary,40,1,19,4651.0,2014-15
0120011,Bolton School District,0120111,Bolton Center School,PK,Elementary,9,1,16,1262.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,1,Elementary,11,14,20,5150.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,2,Elementary,11,14,21,5089.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,3,Elementary,22,7,21,4804.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,4,Elementary,16,14,21,5070.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,5,Elementary,10,12,21,5597.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,6,Elementary,16,6,21,7941.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,7,Elementary,21,6,20,7910.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,8,Elementary,20,6,20,7959.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,KG,Elementary,14,1,19,4651.0,2014-15
0130011,Bozrah School District,0130111,Fields Memorial School,PK,Elementary,9,2,16,1262.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,1,Elementary,17,4,20,5150.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,2,Elementary,16,5,21,5089.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,3,Elementary,17,5,21,4804.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,4,Elementary,18,3,21,5070.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,KG,Elementary,15,5,19,4651.0,2014-15
0140011,Branford School District,0141411,Mary T. Murphy School,PK,Elementary,30,1,16,1262.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,1,Elementary,18,4,20,5150.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,2,Elementary,19,4,21,5089.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,3,Elementary,18,4,21,4804.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,4,Elementary,18,5,21,5070.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,KG,Elementary,16,4,19,4651.0,2014-15
0140011,Branford School District,0141511,Mary R. Tisko School,PK,Elementary,16,1,16,1262.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,1,Elementary,17,4,20,5150.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,2,Elementary,18,4,21,5089.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,3,Elementary,15,4,21,4804.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,4,Elementary,18,4,21,5070.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,KG,Elementary,18,3,19,4651.0,2014-15
0140011,Branford School District,0141611,John B. Sliney School,PK,Elementary,25,1,16,1262.0,2014-15
0140011,Branford School District,0145111,Francis Walsh Intermediate School,5,Elementary,17,48,21,5597.0,2014-15
0140011,Branford School District,0145111,Francis Walsh Intermediate School,6,Elementary,18,48,21,7941.0,2014-15
0140011,Branford School District,0145111,Francis Walsh Intermediate School,7,Elementary,22,42,20,7910.0,2014-15
0140011,Branford School District,0145111,Francis Walsh Intermediate School,8,Elementary,21,43,20,7959.0,2014-15
0140011,Branford School District,0148011,Indian Neck School,PK,Elementary,10,3,16,1262.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,1,Elementary,22,24,20,5150.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,2,Elementary,21,18,21,5089.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,3,Elementary,21,15,21,4804.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,4,Elementary,26,15,21,5070.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,5,Elementary,29,5,21,5597.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,6,Elementary,24,12,21,7941.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,7,Elementary,27,6,20,7910.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,8,Elementary,22,6,20,7959.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,KG,Elementary,23,21,19,4651.0,2014-15
0150011,Bridgeport School District,0150111,Barnum School,PK,Elementary,18,1,16,1262.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,1,Elementary,19,18,20,5150.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,2,Elementary,23,12,21,5089.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,3,Elementary,29,10,21,4804.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,4,Elementary,20,10,21,5070.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,5,Elementary,20,5,21,5597.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,6,Elementary,17,12,21,7941.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,KG,Elementary,23,10,19,4651.0,2014-15
0150011,Bridgeport School District,0150211,Beardsley School,PK,Elementary,18,1,16,1262.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,1,Elementary,18,19,20,5150.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,2,Elementary,25,13,21,5089.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,3,Elementary,24,11,21,4804.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,4,Elementary,21,11,21,5070.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,5,Elementary,14,10,21,5597.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,6,Elementary,17,12,21,7941.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,7,Elementary,23,8,20,7910.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,8,Elementary,28,4,20,7959.0,2014-15
0150011,Bridgeport School District,0150311,Black Rock School,KG,Elementary,18,16,19,4651.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,1,Elementary,24,6,20,5150.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,2,Elementary,21,12,21,5089.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,3,Elementary,19,16,21,4804.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,4,Elementary,26,11,21,5070.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,5,Elementary,19,11,21,5597.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,6,Elementary,20,13,21,7941.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,KG,Elementary,24,10,19,4651.0,2014-15
0150011,Bridgeport School District,0150411,Bryant School,PK,Elementary,17,1,16,1262.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,1,Elementary,33,26,20,5150.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,2,Elementary,34,26,21,5089.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,3,Elementary,23,21,21,4804.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,4,Elementary,21,21,21,5070.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,5,Elementary,24,16,21,5597.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,6,Elementary,27,13,21,7941.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,7,Elementary,26,9,20,7910.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,8,Elementary,28,9,20,7959.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,KG,Elementary,39,16,19,4651.0,2014-15
0150011,Bridgeport School District,0150511,Columbus School,PK,Elementary,18,3,16,1262.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,1,Elementary,23,12,20,5150.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,2,Elementary,21,12,21,5089.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,3,Elementary,17,10,21,4804.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,4,Elementary,20,10,21,5070.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,5,Elementary,22,5,21,5597.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,6,Elementary,24,6,21,7941.0,2014-15
0150011,Bridgeport School District,0150711,Edison School,KG,Elementary,21,10,19,4651.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,1,Elementary,22,18,20,5150.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,2,Elementary,21,24,21,5089.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,3,Elementary,24,16,21,4804.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,4,Elementary,23,21,21,5070.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,5,Elementary,24,16,21,5597.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,6,Elementary,18,20,21,7941.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,7,Elementary,15,11,20,7910.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,8,Elementary,25,14,20,7959.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,KG,Elementary,22,21,19,4651.0,2014-15
0150011,Bridgeport School District,0151011,Luis Munoz Marin School,PK,Elementary,18,1,16,1262.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,1,Elementary,22,12,20,5150.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,2,Elementary,17,12,21,5089.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,3,Elementary,23,10,21,4804.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,4,Elementary,16,10,21,5070.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,5,Elementary,18,10,21,5597.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,6,Elementary,9,12,21,7941.0,2014-15
0150011,Bridgeport School District,0151111,Hall School,KG,Elementary,22,10,19,4651.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,1,Elementary,24,12,20,5150.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,2,Elementary,25,12,21,5089.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,3,Elementary,26,10,21,4804.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,4,Elementary,18,10,21,5070.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,5,Elementary,16,10,21,5597.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,6,Elementary,18,12,21,7941.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,KG,Elementary,19,10,19,4651.0,2014-15
0150011,Bridgeport School District,0151211,Hallen School,PK,Elementary,18,1,16,1262.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,1,Elementary,19,12,20,5150.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,2,Elementary,21,12,21,5089.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,3,Elementary,26,10,21,4804.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,4,Elementary,24,10,21,5070.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,5,Elementary,15,10,21,5597.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,6,Elementary,18,6,21,7941.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,7,Elementary,25,10,20,7910.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,8,Elementary,24,10,20,7959.0,2014-15
0150011,Bridgeport School District,0151311,Hooker School,KG,Elementary,23,5,19,4651.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,1,Elementary,21,32,20,5150.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,2,Elementary,24,32,21,5089.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,3,Elementary,26,27,21,4804.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,4,Elementary,24,30,21,5070.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,5,Elementary,23,30,21,5597.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,6,Elementary,24,33,21,7941.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,7,Elementary,26,24,20,7910.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,8,Elementary,27,28,20,7959.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,KG,Elementary,21,32,19,4651.0,2014-15
0150011,Bridgeport School District,0151411,Cesar Batalla School,PK,Elementary,18,1,16,1262.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,1,Elementary,17,18,20,5150.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,2,Elementary,18,18,21,5089.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,3,Elementary,18,15,21,4804.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,4,Elementary,19,15,21,5070.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,5,Elementary,17,15,21,5597.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,6,Elementary,21,12,21,7941.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,7,Elementary,21,8,20,7910.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,8,Elementary,24,8,20,7959.0,2014-15
0150011,Bridgeport School District,0151711,Park City Magnet School,KG,Elementary,19,15,19,4651.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,1,Elementary,22,19,20,5150.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,2,Elementary,22,18,21,5089.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,3,Elementary,26,16,21,4804.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,4,Elementary,22,20,21,5070.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,5,Elementary,22,15,21,5597.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,6,Elementary,17,18,21,7941.0,2014-15
0150011,Bridgeport School District,0152011,Madison School,KG,Elementary,21,20,19,4651.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,1,Elementary,21,6,20,5150.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,2,Elementary,22,12,21,5089.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,3,Elementary,24,10,21,4804.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,4,Elementary,22,10,21,5070.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,5,Elementary,23,5,21,5597.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,6,Elementary,21,12,21,7941.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,7,Elementary,19,10,20,7910.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,8,Elementary,15,5,20,7959.0,2014-15
0150011,Bridgeport School District,0152111,Classical Studies Academy,KG,Elementary,20,10,19,4651.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,1,Elementary,23,17,20,5150.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,2,Elementary,20,18,21,5089.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,3,Elementary,26,10,21,4804.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,4,Elementary,27,10,21,5070.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,5,Elementary,21,15,21,5597.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,6,Elementary,26,12,21,7941.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,7,Elementary,20,20,20,7910.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,8,Elementary,22,20,20,7959.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,KG,Elementary,24,15,19,4651.0,2014-15
0150011,Bridgeport School District,0152211,Jettie S. Tisdale School,PK,Elementary,18,2,16,1262.0,2014-15
