district,district_code,school,school_code,subject,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year,drg
Berlin School District,0070011,Catherine M. McGee Middle School,0075111,Math,700,699,99.9,699,139,19.9,241,34.5,180,25.8,139,19.9,319,45.6,2014-15,D
Berlin School District,0070011,Emma Hart Willard School,0070411,ELA,228,228,100.0,228,28,12.3,44,19.3,83,36.4,73,32.0,156,68.4,2014-15,D
Berlin School District,0070011,Emma Hart Willard School,0070411,Math,228,228,100.0,228,35,15.4,55,24.1,82,36.0,56,24.6,138,60.5,2014-15,D
Berlin School District,0070011,Mary E. Griswold School,0070511,ELA,298,298,100.0,296,38,12.8,59,19.9,116,39.2,83,28.0,199,67.2,2014-15,D
Berlin School District,0070011,Mary E. Griswold School,0070511,Math,298,298,100.0,296,44,14.9,95,32.1,107,36.1,50,16.9,157,53.0,2014-15,D
Berlin School District,0070011,Richard D. Hubbard School,0070111,ELA,130,130,100.0,130,22,16.9,27,20.8,46,35.4,35,26.9,81,62.3,2014-15,D
Berlin School District,0070011,Richard D. Hubbard School,0070111,Math,130,130,100.0,130,25,19.2,54,41.5,31,23.8,20,15.4,51,39.2,2014-15,D
Bethany School District,0080011,Bethany Community School,0080111,ELA,240,234,97.5,233,29,12.4,46,19.7,73,31.3,85,36.5,158,67.8,2014-15,C
Bethany School District,0080011,Bethany Community School,0080111,Math,240,234,97.5,234,31,13.2,64,27.4,76,32.5,63,26.9,139,59.4,2014-15,C
Bethel School District,0090011,Anna H. Rockwell School,0090411,ELA,101,101,100.0,101,13,12.9,28,27.7,32,31.7,28,27.7,60,59.4,2014-15,D
Bethel School District,0090011,Anna H. Rockwell School,0090411,Math,101,101,100.0,101,25,24.8,44,43.6,25,24.8,7,6.9,32,31.7,2014-15,D
Bethel School District,0090011,Bethel High School,0096111,ELA,246,240,97.6,239,38,15.9,63,26.4,87,36.4,51,21.3,138,57.7,2014-15,D
Bethel School District,0090011,Bethel High School,0096111,Math,246,239,97.2,239,92,38.5,61,25.5,62,25.9,24,10.0,86,36.0,2014-15,D
Bethel School District,0090011,Bethel Middle School,0095111,ELA,693,685,98.8,685,64,9.3,149,21.8,286,41.8,186,27.2,472,68.9,2014-15,D
Bethel School District,0090011,Bethel Middle School,0095111,Math,693,687,99.1,687,177,25.8,243,35.4,150,21.8,117,17.0,267,38.9,2014-15,D
Bethel School District,0090011,Frank A. Berry School,0090111,ELA,96,95,99.0,95,8,8.4,16,16.8,26,27.4,45,47.4,71,74.7,2014-15,D
Bethel School District,0090011,Frank A. Berry School,0090111,Math,96,96,100.0,96,8,8.3,38,39.6,36,37.5,14,14.6,50,52.1,2014-15,D
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,ELA,387,385,99.5,385,40,10.4,63,16.4,134,34.8,148,38.4,282,73.2,2014-15,D
Bethel School District,0090011,Ralph M. T. Johnson School,0090511,Math,387,386,99.7,385,57,14.8,138,35.8,122,31.7,68,17.7,190,49.4,2014-15,D
Bloomfield School District,0110011,Bloomfield High School,0116111,ELA,111,109,98.2,109,7,6.4,29,26.6,48,44.0,25,22.9,73,67.0,2014-15,G
Bloomfield School District,0110011,Bloomfield High School,0116111,Math,110,107,97.3,107,45,42.1,31,29.0,24,22.4,7,6.5,31,29.0,2014-15,G
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,ELA,205,203,99.0,203,43,21.2,57,28.1,77,37.9,26,12.8,103,50.7,2014-15,G
Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,Math,204,204,100.0,204,90,44.1,68,33.3,38,18.6,8,3.9,46,22.5,2014-15,G
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,ELA,209,204,97.6,204,45,22.1,86,42.2,65,31.9,8,3.9,73,35.8,2014-15,G
Bloomfield School District,0110011,Carmen Arace Middle School,0115211,Math,208,206,99.0,206,94,45.6,81,39.3,*,*,*,*,31,15.0,2014-15,G
Bloomfield School District,0110011,Global Experience Magnet School,0116311,ELA,128,118,92.2,118,30,25.4,34,28.8,41,34.7,13,11.0,54,45.8,2014-15,G
Bloomfield School District,0110011,Global Experience Magnet School,0116311,Math,128,118,92.2,118,58,49.2,39,33.1,*,*,*,*,21,17.8,2014-15,G
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,ELA,8,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bloomfield School District,0110011,Learning Academy at Bloomfield,0116411,Math,9,0,*,0,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bloomfield School District,0110011,Metacomet School,0110511,ELA,244,242,99.2,242,63,26.0,62,25.6,72,29.8,45,18.6,117,48.3,2014-15,G
Bloomfield School District,0110011,Metacomet School,0110511,Math,245,244,99.6,244,98,40.2,92,37.7,46,18.9,8,3.3,54,22.1,2014-15,G
Bolton School District,0120011,Bolton Center School,0120111,ELA,359,356,99.2,356,40,11.2,59,16.6,132,37.1,125,35.1,257,72.2,2014-15,C
Bolton School District,0120011,Bolton Center School,0120111,Math,359,357,99.4,357,56,15.7,97,27.2,100,28.0,104,29.1,204,57.1,2014-15,C
Bolton School District,0120011,Bolton High School,0126111,ELA,85,83,97.6,83,*,*,*,*,33,39.8,37,44.6,70,84.3,2014-15,C
Bolton School District,0120011,Bolton High School,0126111,Math,85,83,97.6,83,22,26.5,26,31.3,18,21.7,17,20.5,35,42.2,2014-15,C
Bozrah School District,0130011,Fields Memorial School,0130111,ELA,129,129,100.0,129,32,24.8,33,25.6,42,32.6,22,17.1,64,49.6,2014-15,E
Bozrah School District,0130011,Fields Memorial School,0130111,Math,129,129,100.0,129,46,35.7,33,25.6,37,28.7,13,10.1,50,38.8,2014-15,E
Branford School District,0140011,Branford High School,0146111,ELA,241,226,93.8,226,73,32.3,70,31.0,59,26.1,24,10.6,83,36.7,2014-15,D
Branford School District,0140011,Branford High School,0146111,Math,241,224,92.9,224,145,64.7,32,14.3,34,15.2,13,5.8,47,21.0,2014-15,D
Branford School District,0140011,Branford High School Horizons Program,0140211,ELA,14,13,*,13,*,*,*,*,*,*,*,*,*,*,2014-15,D
Branford School District,0140011,Branford High School Horizons Program,0140211,Math,14,12,*,12,*,*,*,*,*,*,*,*,*,*,2014-15,D
Branford School District,0140011,Francis Walsh Intermediate School,0145111,ELA,904,883,97.7,883,138,15.6,187,21.2,373,42.2,185,21.0,558,63.2,2014-15,D
Branford School District,0140011,Francis Walsh Intermediate School,0145111,Math,904,883,97.7,882,241,27.3,264,29.9,198,22.4,179,20.3,377,42.7,2014-15,D
Branford School District,0140011,John B. Sliney School,0141611,ELA,133,132,99.2,132,16,12.1,32,24.2,42,31.8,42,31.8,84,63.6,2014-15,D
Branford School District,0140011,John B. Sliney School,0141611,Math,133,133,100.0,133,15,11.3,28,21.1,56,42.1,34,25.6,90,67.7,2014-15,D
Branford School District,0140011,Mary R. Tisko School,0141511,ELA,161,161,100.0,161,14,8.7,33,20.5,42,26.1,72,44.7,114,70.8,2014-15,D
Branford School District,0140011,Mary R. Tisko School,0141511,Math,161,161,100.0,161,16,9.9,43,26.7,58,36.0,44,27.3,102,63.4,2014-15,D
Branford School District,0140011,Mary T. Murphy School,0141411,ELA,155,153,98.7,153,24,15.7,40,26.1,39,25.5,50,32.7,89,58.2,2014-15,D
Branford School District,0140011,Mary T. Murphy School,0141411,Math,155,153,98.7,152,29,19.1,32,21.1,54,35.5,37,24.3,91,59.9,2014-15,D
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,ELA,564,564,100.0,564,196,34.8,164,29.1,131,23.2,73,12.9,204,36.2,2014-15,
Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,Math,564,562,99.6,562,255,45.4,152,27.0,108,19.2,47,8.4,155,27.6,2014-15,
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,ELA,63,47,74.6,42,23,54.8,*,*,9,21.4,*,*,*,*,2014-15,I
Bridgeport School District,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",0150811,Math,63,39,61.9,39,23,59.0,7,17.9,*,*,*,*,9,23.1,2014-15,I
Bridgeport School District,0150011,Barnum School,0150111,ELA,351,347,98.9,347,202,58.2,88,25.4,*,*,*,*,57,16.4,2014-15,I
Bridgeport School District,0150011,Barnum School,0150111,Math,352,350,99.4,350,253,72.3,78,22.3,*,*,*,*,19,5.4,2014-15,I
Bridgeport School District,0150011,Bassick High School,0156111,ELA,239,222,92.9,222,125,56.3,63,28.4,*,*,*,*,34,15.3,2014-15,I
Bridgeport School District,0150011,Bassick High School,0156111,Math,240,221,92.1,221,201,91.0,18,8.1,*,*,*,*,*,*,2014-15,I
Bridgeport School District,0150011,Beardsley School,0150211,ELA,170,169,99.4,169,88,52.1,43,25.4,27,16.0,11,6.5,38,22.5,2014-15,I
Bridgeport School District,0150011,Beardsley School,0150211,Math,168,167,99.4,167,119,71.3,37,22.2,*,*,*,*,11,6.6,2014-15,I
Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,ELA,75,22,29.3,17,*,*,*,*,*,*,*,*,*,*,2014-15,I
Bridgeport School District,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",0150611,Math,75,15,20.0,15,*,*,*,*,*,*,*,*,*,*,2014-15,I
Bridgeport School District,0150011,Black Rock School,0150311,ELA,231,229,99.1,229,75,32.8,71,31.0,61,26.6,22,9.6,83,36.2,2014-15,I
Bridgeport School District,0150011,Black Rock School,0150311,Math,231,231,100.0,231,129,55.8,69,29.9,30,13.0,*,*,*,*,2014-15,I
Bridgeport School District,0150011,Blackham School,0154011,ELA,732,702,95.9,702,363,51.7,206,29.3,112,16.0,21,3.0,133,18.9,2014-15,I
Bridgeport School District,0150011,Blackham School,0154011,Math,730,724,99.2,724,538,74.3,151,20.9,29,4.0,6,0.8,35,4.8,2014-15,I
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,ELA,37,36,97.3,35,31,88.6,*,*,*,*,0,0.0,*,*,2014-15,I
Bridgeport School District,0150011,Bridgeport Learning Center,0159011,Math,37,35,94.6,34,*,*,*,*,0,0.0,0,0.0,0,0.0,2014-15,I
Bridgeport School District,0150011,Bryant School,0150411,ELA,195,191,97.9,191,119,62.3,54,28.3,11,5.8,7,3.7,18,9.4,2014-15,I
Bridgeport School District,0150011,Bryant School,0150411,Math,195,192,98.5,192,146,76.0,34,17.7,*,*,*,*,12,6.3,2014-15,I
Bridgeport School District,0150011,Central High School,0156211,ELA,425,359,84.5,352,110,31.3,109,31.0,106,30.1,27,7.7,133,37.8,2014-15,I
Bridgeport School District,0150011,Central High School,0156211,Math,424,362,85.4,361,259,71.7,71,19.7,*,*,*,*,31,8.6,2014-15,I
Bridgeport School District,0150011,Cesar Batalla School,0151411,ELA,802,723,90.1,721,487,67.5,153,21.2,65,9.0,16,2.2,81,11.2,2014-15,I
Bridgeport School District,0150011,Cesar Batalla School,0151411,Math,802,797,99.4,797,659,82.7,114,14.3,18,2.3,6,0.8,24,3.0,2014-15,I
Bridgeport School District,0150011,Classical Studies Academy,0152111,ELA,230,229,99.6,229,50,21.8,75,32.8,85,37.1,19,8.3,104,45.4,2014-15,I
Bridgeport School District,0150011,Classical Studies Academy,0152111,Math,230,229,99.6,229,109,47.6,84,36.7,*,*,*,*,36,15.7,2014-15,I
Bridgeport School District,0150011,Columbus School,0150511,ELA,421,416,98.8,416,272,65.4,98,23.6,*,*,*,*,46,11.1,2014-15,I
Bridgeport School District,0150011,Columbus School,0150511,Math,421,421,100.0,421,350,83.1,58,13.8,*,*,*,*,13,3.1,2014-15,I
Bridgeport School District,0150011,Cross School,0153911,ELA,232,232,100.0,232,132,56.9,64,27.6,*,*,*,*,36,15.5,2014-15,I
Bridgeport School District,0150011,Cross School,0153911,Math,232,232,100.0,231,179,77.5,42,18.2,10,4.3,0,0.0,10,4.3,2014-15,I
Bridgeport School District,0150011,Curiale School,0154211,ELA,513,509,99.2,508,305,60.0,112,22.0,82,16.1,9,1.8,91,17.9,2014-15,I
Bridgeport School District,0150011,Curiale School,0154211,Math,514,509,99.0,509,368,72.3,110,21.6,*,*,*,*,31,6.1,2014-15,I
Bridgeport School District,0150011,Dunbar School,0154111,ELA,210,210,100.0,210,121,57.6,57,27.1,*,*,*,*,32,15.2,2014-15,I
Bridgeport School District,0150011,Dunbar School,0154111,Math,210,210,100.0,210,154,73.3,44,21.0,*,*,*,*,12,5.7,2014-15,I
Bridgeport School District,0150011,Edison School,0150711,ELA,136,136,100.0,133,63,47.4,40,30.1,*,*,*,*,30,22.6,2014-15,I
Bridgeport School District,0150011,Edison School,0150711,Math,136,136,100.0,134,93,69.4,34,25.4,*,*,*,*,7,5.2,2014-15,I
Bridgeport School District,0150011,Geraldine Johnson School,0153211,ELA,483,471,97.5,471,227,48.2,151,32.1,78,16.6,15,3.2,93,19.7,2014-15,I
Bridgeport School District,0150011,Geraldine Johnson School,0153211,Math,483,480,99.4,480,334,69.6,115,24.0,*,*,*,*,31,6.5,2014-15,I
Bridgeport School District,0150011,Hall School,0151111,ELA,128,127,99.2,127,59,46.5,48,37.8,20,15.7,0,0.0,20,15.7,2014-15,I
Bridgeport School District,0150011,Hall School,0151111,Math,128,128,100.0,128,73,57.0,43,33.6,12,9.4,0,0.0,12,9.4,2014-15,I
Bridgeport School District,0150011,Hallen School,0151211,ELA,152,151,99.3,150,68,45.3,47,31.3,*,*,*,*,35,23.3,2014-15,I
Bridgeport School District,0150011,Hallen School,0151211,Math,152,150,98.7,150,88,58.7,47,31.3,*,*,*,*,15,10.0,2014-15,I
Bridgeport School District,0150011,Harding High School,0156311,ELA,305,234,76.7,230,130,56.5,62,27.0,31,13.5,7,3.0,38,16.5,2014-15,I
Bridgeport School District,0150011,Harding High School,0156311,Math,303,223,73.6,222,203,91.4,13,5.9,6,2.7,0,0.0,6,2.7,2014-15,I
Bridgeport School District,0150011,High Horizons Magnet School,0154511,ELA,276,276,100.0,276,47,17.0,78,28.3,109,39.5,42,15.2,151,54.7,2014-15,I
Bridgeport School District,0150011,High Horizons Magnet School,0154511,Math,276,276,100.0,276,100,36.2,117,42.4,47,17.0,12,4.3,59,21.4,2014-15,I
Bridgeport School District,0150011,Hooker School,0151311,ELA,260,248,95.4,248,102,41.1,81,32.7,48,19.4,17,6.9,65,26.2,2014-15,I
Bridgeport School District,0150011,Hooker School,0151311,Math,261,251,96.2,251,168,66.9,64,25.5,*,*,*,*,19,7.6,2014-15,I
Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,ELA,71,48,67.6,47,24,51.1,*,*,11,23.4,*,*,*,*,2014-15,I
Bridgeport School District,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,0151511,Math,71,46,64.8,46,34,73.9,6,13.0,*,*,*,*,6,13.0,2014-15,I
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,ELA,279,272,97.5,272,61,22.4,80,29.4,85,31.3,46,16.9,131,48.2,2014-15,I
Bridgeport School District,0150011,Interdistrict Discovery Magnet School,0153711,Math,279,272,97.5,272,101,37.1,117,43.0,32,11.8,22,8.1,54,19.9,2014-15,I
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,ELA,404,403,99.8,402,211,52.5,115,28.6,70,17.4,6,1.5,76,18.9,2014-15,I
Bridgeport School District,0150011,Jettie S. Tisdale School,0152211,Math,404,403,99.8,402,261,64.9,101,25.1,*,*,*,*,40,10.0,2014-15,I
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,ELA,612,550,89.9,548,448,81.8,81,14.8,19,3.5,0,0.0,19,3.5,2014-15,I
Bridgeport School District,0150011,Luis Munoz Marin School,0151011,Math,615,614,99.8,614,562,91.5,*,*,*,*,0,0.0,*,*,2014-15,I
Bridgeport School District,0150011,Madison School,0152011,ELA,292,290,99.3,290,117,40.3,88,30.3,60,20.7,25,8.6,85,29.3,2014-15,I
Bridgeport School District,0150011,Madison School,0152011,Math,292,290,99.3,290,153,52.8,91,31.4,40,13.8,6,2.1,46,15.9,2014-15,I
Bridgeport School District,0150011,Multicultural Magnet School,0154611,ELA,291,281,96.6,281,16,5.7,59,21.0,139,49.5,67,23.8,206,73.3,2014-15,I
Bridgeport School District,0150011,Multicultural Magnet School,0154611,Math,291,281,96.6,281,56,19.9,116,41.3,73,26.0,36,12.8,109,38.8,2014-15,I
Bridgeport School District,0150011,Park City Magnet School,0151711,ELA,268,268,100.0,268,34,12.7,98,36.6,99,36.9,37,13.8,136,50.7,2014-15,I
Bridgeport School District,0150011,Park City Magnet School,0151711,Math,268,268,100.0,268,96,35.8,106,39.6,48,17.9,18,6.7,66,24.6,2014-15,I
Bridgeport School District,0150011,Read School,0152511,ELA,520,514,98.8,514,273,53.1,142,27.6,82,16.0,17,3.3,99,19.3,2014-15,I
Bridgeport School District,0150011,Read School,0152511,Math,521,517,99.2,517,352,68.1,135,26.1,24,4.6,6,1.2,30,5.8,2014-15,I
Bridgeport School District,0150011,Roosevelt School,0152611,ELA,305,298,97.7,296,213,72.0,56,18.9,*,*,*,*,27,9.1,2014-15,I
Bridgeport School District,0150011,Roosevelt School,0152611,Math,304,304,100.0,304,265,87.2,34,11.2,*,*,*,*,*,*,2014-15,I
Bridgeport School District,0150011,Waltersville School,0153011,ELA,278,275,98.9,274,132,48.2,95,34.7,*,*,*,*,47,17.2,2014-15,I
Bridgeport School District,0150011,Waltersville School,0153011,Math,278,278,100.0,278,201,72.3,59,21.2,*,*,*,*,18,6.5,2014-15,I
Bridgeport School District,0150011,Winthrop School,0153611,ELA,441,440,99.8,440,112,25.5,149,33.9,131,29.8,48,10.9,179,40.7,2014-15,I
Bridgeport School District,0150011,Winthrop School,0153611,Math,442,442,100.0,442,175,39.6,174,39.4,77,17.4,16,3.6,93,21.0,2014-15,I
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,ELA,17,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,Alternative Special Education Program (ASEP),0179011,Math,17,16,*,16,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,Bristol Central High School,0176111,ELA,279,272,97.5,272,66,24.3,77,28.3,93,34.2,36,13.2,129,47.4,2014-15,G
Bristol School District,0170011,Bristol Central High School,0176111,Math,281,274,97.5,274,155,56.6,67,24.5,43,15.7,9,3.3,52,19.0,2014-15,G
Bristol School District,0170011,Bristol Eastern High School,0176211,ELA,308,302,98.1,301,55,18.3,88,29.2,106,35.2,52,17.3,158,52.5,2014-15,G
Bristol School District,0170011,Bristol Eastern High School,0176211,Math,309,300,97.1,300,181,60.3,65,21.7,42,14.0,12,4.0,54,18.0,2014-15,G
Bristol School District,0170011,Bristol Preparatory Academy,0173311,ELA,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,Bristol Preparatory Academy,0173311,Math,10,9,*,9,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,CHMS GOAL,0173411,ELA,7,6,*,6,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,CHMS GOAL,0173411,Math,7,*,*,*,*,*,*,*,*,*,*,*,*,*,2014-15,G
Bristol School District,0170011,Chippens Hill Middle School,0175111,ELA,745,737,98.9,736,154,20.9,211,28.7,263,35.7,108,14.7,371,50.4,2014-15,G
Bristol School District,0170011,Chippens Hill Middle School,0175111,Math,744,741,99.6,740,268,36.2,220,29.7,166,22.4,86,11.6,252,34.1,2014-15,G
Bristol School District,0170011,Edgewood School,0170311,ELA,173,172,99.4,172,42,24.4,35,20.3,50,29.1,45,26.2,95,55.2,2014-15,G
Bristol School District,0170011,Edgewood School,0170311,Math,173,172,99.4,172,50,29.1,55,32.0,43,25.0,24,14.0,67,39.0,2014-15,G
Bristol School District,0170011,Ellen P. Hubbell School,0171411,ELA,191,188,98.4,187,31,16.6,52,27.8,62,33.2,42,22.5,104,55.6,2014-15,G
