district,school,assignment_category,educator_type,dist_code,check_dist_col,district_code,school_code,check_sch_col,drg,year,count,total,pct
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Administrators  Coordinators and Department Chairs - School Level,Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,19.0,172.6,0.110081112399
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Counselors  Social Workers  and School Psychologists,Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,2.0,172.6,0.0115874855156
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Paraprofessional Instructional Assistants,Non-Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,18.0,172.6,0.104287369641
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,General Education - Teachers and Instructors,Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,80.4,172.6,0.465816917729
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Library/Media - Support Staff,Non-Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,0.0,172.6,0.0
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,42.6,172.6,0.246813441483
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,School Nurses,Non-Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,1.0,172.6,0.00579374275782
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,0.0,172.6,0.0
Achievement First Hartford Academy Inc. District,Achievement First Hartford Academy Inc.,Special Education - Teachers and Instructors,Certified,2880013,Achievement First Hartford Academy Inc. District,2880013,2880113,Achievement First Hartford Academy Inc.,,2015-16,9.6,172.6,0.0556199304751
Amistad Academy District,Amistad Academy,Administrators  Coordinators and Department Chairs - School Level,Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,13.4,171.7,0.0780430984275
Amistad Academy District,Amistad Academy,Counselors  Social Workers  and School Psychologists,Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,3.0,171.7,0.0174723354688
Amistad Academy District,Amistad Academy,General Education - Paraprofessional Instructional Assistants,Non-Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,10.0,171.7,0.0582411182295
Amistad Academy District,Amistad Academy,General Education - Teachers and Instructors,Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,90.3,171.7,0.525917297612
Amistad Academy District,Amistad Academy,Library/Media - Support Staff,Non-Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,0.5,171.7,0.00291205591147
Amistad Academy District,Amistad Academy,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,46.0,171.7,0.267909143856
Amistad Academy District,Amistad Academy,School Nurses,Non-Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,4.5,171.7,0.0262085032033
Amistad Academy District,Amistad Academy,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,0.0,171.7,0.0
Amistad Academy District,Amistad Academy,Special Education - Teachers and Instructors,Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,4.0,171.7,0.0232964472918
Amistad Academy District,Amistad Academy,Instructional Specialists Who Support Teachers,Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,,171.7,
Amistad Academy District,Amistad Academy,Library/Media - Specialists (Certified),Certified,2790013,Amistad Academy District,2790013,2795113,Amistad Academy,,2015-16,,171.7,
Andover School District,Andover Elementary School,Administrators  Coordinators and Department Chairs - School Level,Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,,51.7,
Andover School District,Andover Elementary School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,1.0,51.7,0.0193423597679
Andover School District,Andover Elementary School,General Education - Teachers and Instructors,Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,22.8,51.7,0.441005802708
Andover School District,Andover Elementary School,Library/Media - Support Staff,Non-Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,0.0,51.7,0.0
Andover School District,Andover Elementary School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,15.4,51.7,0.297872340426
Andover School District,Andover Elementary School,School Nurses,Non-Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,1.0,51.7,0.0193423597679
Andover School District,Andover Elementary School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,6.0,51.7,0.116054158607
Andover School District,Andover Elementary School,Special Education - Teachers and Instructors,Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,3.0,51.7,0.0580270793037
Andover School District,Andover Elementary School,Instructional Specialists Who Support Teachers,Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,1.5,51.7,0.0290135396518
Andover School District,Andover Elementary School,Library/Media - Specialists (Certified),Certified,0010011,Andover School District,0010011,0010111,Andover Elementary School,C,2015-16,1.0,51.7,0.0193423597679
Ansonia School District,Ansonia High School,Administrators  Coordinators and Department Chairs - School Level,Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,1.3,89.1,0.0145903479237
Ansonia School District,Ansonia High School,Counselors  Social Workers  and School Psychologists,Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,5.0,89.1,0.0561167227834
Ansonia School District,Ansonia High School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,3.5,89.1,0.0392817059484
Ansonia School District,Ansonia High School,General Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,41.0,89.1,0.460157126824
Ansonia School District,Ansonia High School,Library/Media - Support Staff,Non-Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,1.0,89.1,0.0112233445567
Ansonia School District,Ansonia High School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,21.0,89.1,0.23569023569
Ansonia School District,Ansonia High School,School Nurses,Non-Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,1.0,89.1,0.0112233445567
Ansonia School District,Ansonia High School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,6.3,89.1,0.0707070707071
Ansonia School District,Ansonia High School,Special Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,5.0,89.1,0.0561167227834
Ansonia School District,Ansonia High School,Instructional Specialists Who Support Teachers,Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,3.0,89.1,0.03367003367
Ansonia School District,Ansonia High School,Library/Media - Specialists (Certified),Certified,0020011,Ansonia School District,0020011,0026111,Ansonia High School,H,2015-16,1.0,89.1,0.0112233445567
Ansonia School District,Ansonia Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,3.1,60.9,0.0509031198686
Ansonia School District,Ansonia Middle School,Counselors  Social Workers  and School Psychologists,Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,3.0,60.9,0.0492610837438
Ansonia School District,Ansonia Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,10.0,60.9,0.164203612479
Ansonia School District,Ansonia Middle School,General Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,26.2,60.9,0.430213464696
Ansonia School District,Ansonia Middle School,Library/Media - Support Staff,Non-Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,1.0,60.9,0.0164203612479
Ansonia School District,Ansonia Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,7.1,60.9,0.11658456486
Ansonia School District,Ansonia Middle School,School Nurses,Non-Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,1.0,60.9,0.0164203612479
Ansonia School District,Ansonia Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,3.0,60.9,0.0492610837438
Ansonia School District,Ansonia Middle School,Special Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,5.5,60.9,0.0903119868637
Ansonia School District,Ansonia Middle School,Instructional Specialists Who Support Teachers,Certified,0020011,Ansonia School District,0020011,0025111,Ansonia Middle School,H,2015-16,1.0,60.9,0.0164203612479
Ansonia School District,Mead School,Administrators  Coordinators and Department Chairs - School Level,Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,2.0,72.5,0.0275862068966
Ansonia School District,Mead School,Counselors  Social Workers  and School Psychologists,Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,2.5,72.5,0.0344827586207
Ansonia School District,Mead School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,10.5,72.5,0.144827586207
Ansonia School District,Mead School,General Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,35.5,72.5,0.489655172414
Ansonia School District,Mead School,Library/Media - Support Staff,Non-Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,0.0,72.5,0.0
Ansonia School District,Mead School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,9.0,72.5,0.124137931034
Ansonia School District,Mead School,School Nurses,Non-Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,1.0,72.5,0.0137931034483
Ansonia School District,Mead School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,4.0,72.5,0.0551724137931
Ansonia School District,Mead School,Special Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,7.0,72.5,0.0965517241379
Ansonia School District,Mead School,Instructional Specialists Who Support Teachers,Certified,0020011,Ansonia School District,0020011,0020311,Mead School,H,2015-16,1.0,72.5,0.0137931034483
Ansonia School District,Prendergast School,Administrators  Coordinators and Department Chairs - School Level,Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,2.0,74.5,0.0268456375839
Ansonia School District,Prendergast School,Counselors  Social Workers  and School Psychologists,Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,2.5,74.5,0.0335570469799
Ansonia School District,Prendergast School,General Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,8.5,74.5,0.114093959732
Ansonia School District,Prendergast School,General Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,39.5,74.5,0.530201342282
Ansonia School District,Prendergast School,Library/Media - Support Staff,Non-Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,0.0,74.5,0.0
Ansonia School District,Prendergast School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,9.0,74.5,0.120805369128
Ansonia School District,Prendergast School,School Nurses,Non-Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,1.0,74.5,0.0134228187919
Ansonia School District,Prendergast School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,5.0,74.5,0.0671140939597
Ansonia School District,Prendergast School,Special Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,6.0,74.5,0.0805369127517
Ansonia School District,Prendergast School,Instructional Specialists Who Support Teachers,Certified,0020011,Ansonia School District,0020011,0020811,Prendergast School,H,2015-16,1.0,74.5,0.0134228187919
Ansonia School District,P.A.C.E. (Positive And Creative Education),Counselors  Social Workers  and School Psychologists,Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,1.0,5.1,0.196078431373
Ansonia School District,P.A.C.E. (Positive And Creative Education),General Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,0.0,5.1,0.0
Ansonia School District,P.A.C.E. (Positive And Creative Education),General Education - Teachers and Instructors,Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,4.0,5.1,0.78431372549
