district,school,assignment_category,educator_type,dist_code,check_dist_col,district_code,school_code,check_sch_col,drg,year,count,total,pct
Ansonia School District,P.A.C.E. (Positive And Creative Education),Library/Media - Support Staff,Non-Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,0.0,5.1,0.0
Ansonia School District,P.A.C.E. (Positive And Creative Education),Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,0.0,5.1,0.0
Ansonia School District,P.A.C.E. (Positive And Creative Education),School Nurses,Non-Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,0.1,5.1,0.0196078431373
Ansonia School District,P.A.C.E. (Positive And Creative Education),Special Education - Paraprofessional Instructional Assistants,Non-Certified,0020011,Ansonia School District,0020011,0020111,P.A.C.E. (Positive And Creative Education),H,2015-16,0.0,5.1,0.0
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,1.0,80.0,0.0125
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,1.0,80.0,0.0125
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,0.0,80.0,0.0
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,0.0,80.0,0.0
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,29.0,80.0,0.3625
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,1.0,80.0,0.0125
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,43.0,80.0,0.5375
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,4.0,80.0,0.05
Area Cooperative Educational Services,Center for Autism Spectrum and Development Disorders,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2449614,Center for Autism Spectrum and Development Disorders,,2015-16,1.0,80.0,0.0125
Area Cooperative Educational Services,Mill Road School,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,2.0,89.1,0.0224466891134
Area Cooperative Educational Services,Mill Road School,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,6.0,89.1,0.0673400673401
Area Cooperative Educational Services,Mill Road School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,0.0,89.1,0.0
Area Cooperative Educational Services,Mill Road School,General Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,7.8,89.1,0.0875420875421
Area Cooperative Educational Services,Mill Road School,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,0.0,89.1,0.0
Area Cooperative Educational Services,Mill Road School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,18.8,89.1,0.210998877666
Area Cooperative Educational Services,Mill Road School,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,2.0,89.1,0.0224466891134
Area Cooperative Educational Services,Mill Road School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,30.5,89.1,0.342312008979
Area Cooperative Educational Services,Mill Road School,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,20.0,89.1,0.224466891134
Area Cooperative Educational Services,Mill Road School,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,1.0,89.1,0.0112233445567
Area Cooperative Educational Services,Mill Road School,Library/Media - Specialists (Certified),Certified,2440014,Area Cooperative Educational Services,2440014,2449414,Mill Road School,,2015-16,1.0,89.1,0.0112233445567
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,3.0,82.8,0.036231884058
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,5.0,82.8,0.06038647343
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,5.7,82.8,0.0688405797101
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,General Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,52.6,82.8,0.635265700483
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,0.0,82.8,0.0
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,5.0,82.8,0.06038647343
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,2.0,82.8,0.024154589372
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,2.0,82.8,0.024154589372
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,6.0,82.8,0.0724637681159
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,0.5,82.8,0.006038647343
Area Cooperative Educational Services,Thomas Edison Magnet Middle School,Library/Media - Specialists (Certified),Certified,2440014,Area Cooperative Educational Services,2440014,2445114,Thomas Edison Magnet Middle School,,2015-16,1.0,82.8,0.012077294686
Area Cooperative Educational Services,Village School,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,2.0,145.8,0.0137174211248
Area Cooperative Educational Services,Village School,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,2.0,145.8,0.0137174211248
Area Cooperative Educational Services,Village School,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,0.0,145.8,0.0
Area Cooperative Educational Services,Village School,General Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,3.0,145.8,0.0205761316872
Area Cooperative Educational Services,Village School,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,0.0,145.8,0.0
Area Cooperative Educational Services,Village School,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,19.6,145.8,0.134430727023
Area Cooperative Educational Services,Village School,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,2.0,145.8,0.0137174211248
Area Cooperative Educational Services,Village School,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,93.2,145.8,0.639231824417
Area Cooperative Educational Services,Village School,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,19.0,145.8,0.130315500686
Area Cooperative Educational Services,Village School,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2449514,Village School,,2015-16,5.0,145.8,0.0342935528121
Area Cooperative Educational Services,Whitney High School East,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,1.0,88.5,0.0112994350282
Area Cooperative Educational Services,Whitney High School East,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,4.0,88.5,0.045197740113
Area Cooperative Educational Services,Whitney High School East,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,0.0,88.5,0.0
Area Cooperative Educational Services,Whitney High School East,General Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,1.5,88.5,0.0169491525424
Area Cooperative Educational Services,Whitney High School East,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,0.0,88.5,0.0
Area Cooperative Educational Services,Whitney High School East,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,11.0,88.5,0.124293785311
Area Cooperative Educational Services,Whitney High School East,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,1.0,88.5,0.0112994350282
Area Cooperative Educational Services,Whitney High School East,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,52.2,88.5,0.589830508475
Area Cooperative Educational Services,Whitney High School East,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,15.0,88.5,0.169491525424
Area Cooperative Educational Services,Whitney High School East,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2449214,Whitney High School East,,2015-16,2.8,88.5,0.0316384180791
Area Cooperative Educational Services,Whitney High School North,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,1.0,52.5,0.0190476190476
Area Cooperative Educational Services,Whitney High School North,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,4.0,52.5,0.0761904761905
Area Cooperative Educational Services,Whitney High School North,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,0.0,52.5,0.0
Area Cooperative Educational Services,Whitney High School North,General Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,5.0,52.5,0.0952380952381
Area Cooperative Educational Services,Whitney High School North,Library/Media - Support Staff,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,0.0,52.5,0.0
Area Cooperative Educational Services,Whitney High School North,Other Staff Providing Non-Instructional Services/Support,Certified/Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,10.7,52.5,0.20380952381
Area Cooperative Educational Services,Whitney High School North,School Nurses,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,1.0,52.5,0.0190476190476
Area Cooperative Educational Services,Whitney High School North,Special Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,19.4,52.5,0.369523809524
Area Cooperative Educational Services,Whitney High School North,Special Education - Teachers and Instructors,Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,11.0,52.5,0.209523809524
Area Cooperative Educational Services,Whitney High School North,Instructional Specialists Who Support Teachers,Certified,2440014,Area Cooperative Educational Services,2440014,2449114,Whitney High School North,,2015-16,0.4,52.5,0.00761904761905
Area Cooperative Educational Services,Whitney High School West,Administrators  Coordinators and Department Chairs - School Level,Certified,2440014,Area Cooperative Educational Services,2440014,2449314,Whitney High School West,,2015-16,1.0,26.9,0.0371747211896
Area Cooperative Educational Services,Whitney High School West,Counselors  Social Workers  and School Psychologists,Certified,2440014,Area Cooperative Educational Services,2440014,2449314,Whitney High School West,,2015-16,1.0,26.9,0.0371747211896
Area Cooperative Educational Services,Whitney High School West,General Education - Paraprofessional Instructional Assistants,Non-Certified,2440014,Area Cooperative Educational Services,2440014,2449314,Whitney High School West,,2015-16,0.0,26.9,0.0
