drg,race_ethnicity,four_y_percent
A,All,96.5
A,Asian,95.1
A,White,96.6
B,All,93.5
B,Asian,96.0
B,Black or African American,91.3
B,Hispanic or Latino,90.4
B,White,94.4
C,All,92.15
C,Asian,95.2
C,White,92.4
D,All,90.85
D,Asian,100.0
D,Black or African American,81.3
D,Hispanic or Latino,85.0
D,White,91.15
E,All,88.9
E,Asian,95.2
E,White,89.1
F,All,85.9
F,White,86.95
G,All,86.45
G,Asian,91.25
G,Black or African American,81.725
G,Hispanic or Latino,80.9
G,Native Hawaiian or Other Pacific Islander,85.7
G,Two or More Races,82.1
G,White,87.8
H,All,86.55
H,Asian,93.325
H,Black or African American,81.6
H,Hispanic or Latino,82.9
H,White,90.6
I,All,77.1
I,American Indian or Alaska Native,86.25
I,Black or African American,75.9
I,Hispanic or Latino,72.1
I,White,87.5
