district,subject,total_numberwith_scored_tests,level_1not_met_count,level_1not_met_pct,level_2approaching_count,level_2approaching_pct,level_3met_count,level_3met_pct,level_4exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_count,level_3_4met_or_exceeded_pct,level_3_4met_or_exceeded_averagescore,level,year,average_score
State of Connecticut,ELA,37853,6685,17.7,6556,17.3,18085,47.8,6527,17.2,24612,65.0,520,Statewide,2015-16,520
State of Connecticut,Math,37816,8755,23.2,14190,37.5,10664,28.2,4207,11.1,14871,39.3,502,Statewide,2015-16,502
