2009_10_entrance_pct,2009_10_persistence_pct,2010_11_entrance_pct,2010_11_persistence_pct,2011_12_entrance_pct,2011_12_persistence_pct,2012_13_entrance_pct,2012_13_persistence_pct,2013_14_entrance_pct,2013_14_persistence_pct,district,district_code,drg,four_y_percent,group,race_ethnicity,school,school_code
76.8,89.9,78.5,94.3,81.6,90.5,81.2,95.4,71.3,93.7,Wallingford School District,1480011,D,78.5,race,White,Mark T. Sheehan High School,1486211
,80.6,52.7,66.7,63.5,76.6,60.8,77.1,57.8,78.8,Waterbury School District,1510011,I,59.3,race,Black or African American,Crosby High School,1516211
45.1,69.6,47.0,72.3,46.6,80.5,45.7,72.1,56.3,66.7,Waterbury School District,1510011,I,46.6,race,Hispanic or Latino,Crosby High School,1516211
64.3,94.4,64.3,93.3,46.4,92.3,54.5,76.7,65.2,74.4,Waterbury School District,1510011,I,64.3,race,White,Crosby High School,1516211
,*,55.6,77.1,55.1,77.8,51.7,71.0,49.1,81.5,Waterbury School District,1510011,I,53.4,race,Black or African American,John F. Kennedy High School,1516411
48.4,75.0,61.5,81.3,55.7,69.5,52.3,69.6,53.8,75.4,Waterbury School District,1510011,I,53.8,race,Hispanic or Latino,John F. Kennedy High School,1516411
68.1,89.1,70.6,90.9,65.5,87.3,75.9,85.9,59.1,87.3,Waterbury School District,1510011,I,68.1,race,White,John F. Kennedy High School,1516411
,*,76.2,*,77.8,76.2,59.1,*,66.7,86.4,Waterbury School District,1510011,I,71.45,race,Black or African American,Waterbury Arts Magnet School (High),1516011
,*,51.9,*,,*,70.4,*,65.2,*,Waterbury School District,1510011,I,65.2,race,Hispanic or Latino,Waterbury Arts Magnet School (High),1516011
66.2,86.0,82.7,93.0,90.3,87.5,77.4,83.3,86.2,88.0,Waterbury School District,1510011,I,82.7,race,White,Waterbury Arts Magnet School (High),1516011
44.0,75.0,46.7,72.1,44.3,68.1,53.6,76.9,50.5,64.6,Waterbury School District,1510011,I,46.7,race,Black or African American,Wilby High School,1516311
49.5,72.5,47.5,66.7,40.0,68.2,39.7,67.2,54.5,62.7,Waterbury School District,1510011,I,47.5,race,Hispanic or Latino,Wilby High School,1516311
