district_code,district,grand_total
0570011,Greenwich School District,86721.74316
1030011,Norwalk School District,85443.38986
1170011,Redding School District,84491.21951
1610011,Wilton School District,84140.54542
0850011,Monroe School District,81538.09005
1570011,Weston School District,81453.70061
0040011,Avon School District,80123.66197
2090012,Regional School District 09,79759.33333
0900011,New Canaan School District,79662.70323
,Unified School District #1,79165.64356
1350011,Stamford School District,79046.31554
0890011,New Britain School District,78534.54162
1580011,Westport School District,78447.42282
1180011,Ridgefield School District,77510.11429
1520011,Waterford School District,77381.42553
0350011,Darien School District,75990.29619
1670011,Woodbridge School District,75495.27586
1440011,Trumbull School District,75175.23721
0170011,Bristol School District,74802.1797
0940011,Newington School District,74488.7037
0510011,Fairfield School District,74114.72881
0250011,Cheshire School District,74066.59574
1590011,Wethersfield School District,73884.67391
0420011,East Hampton School District,73364.48361
1280011,Simsbury School District,73349.74426
1380011,Stratford School District,73331.08257
1320011,South Windsor School District,73244.37716
1480011,Wallingford School District,72921.49537
1260011,Shelton School District,72747.67327
1190011,Rocky Hill School District,72742.14706
2180012,Regional School District 18,72322.20183
0880011,Naugatuck School District,72157.2332
0540011,Glastonbury School District,71979.74142
1620011,Winchester School District,71777.475
0520011,Farmington School District,71772.56028
9000016,Connecticut Technical High School System,71335.55659
0460011,Easton School District,71318.29851
0800011,Meriden School District,71296.19959
0490011,Enfield School District,71287.61619
0590011,Groton School District,71112.13239
0790011,Marlborough School District,71057.62162
0180011,Brookfield School District,70815.98361
0340011,Danbury School District,70813.56312
0400011,East Granby School District,70669.37879
1650011,Windsor Locks School District,70614.06107
0430011,East Hartford School District,70578.3952
0300011,Columbia School District,70022.05263
2120012,Regional School District 12,69843.93421
1270011,Sherman School District,69835.6
0780011,Mansfield School District,69773.87619
0910011,New Fairfield School District,69740.69231
0720011,Ledyard School District,69611.45509
0970011,Newtown School District,69311.96542
0680011,Kent School District,69270.48
0920011,New Hartford School District,69268.0
0830011,Middletown School District,69145.65287
2050012,Regional School District 05,69116.89326
2130012,Regional School District 13,69073.12752
0070011,Berlin School District,69066.94686
2010012,Regional School District 01,68831.57143
,State,68786.73711
0860011,Montville School District,68504.65294
0140011,Branford School District,68425.67068
0620011,Hamden School District,68266.90274
,The Gilbert School,68198.09756
0190011,Brooklyn School District,68185.50847
0280011,Colchester School District,68130.85484
2190012,Regional School District 19,67892.45263
0270011,Clinton School District,67522.38621
1390011,Suffield School District,67390.95758
,Norwich Free Academy,67373.05556
0050011,Barkhamsted School District,67363.52174
2440014,Area Cooperative Educational Services,67315.08403
1140011,Preston School District,67288.06452
0840011,Milford School District,67159.11038
1550011,West Hartford School District,67146.79586
1220011,Salisbury School District,67013.0
1530011,Watertown School District,66908.0
0650011,Hartland School District,66829.31579
0470011,East Windsor School District,66805.16842
2140012,Regional School District 14,66751.52899
0760011,Madison School District,66689.53112
0640011,Hartford School District,66508.12261
0600011,Guilford School District,66503.48
0410011,East Haddam School District,66419.84783
1010011,North Haven School District,66302.68908
1240011,Seymour School District,66213.95035
0480011,Ellington School District,66160.30675
0990011,North Branford School District,66123.04317
1660011,Wolcott School District,65810.44509
0530011,Franklin School District,65782.0
1070011,Orange School District,65695.25556
1310011,Southington School District,65570.81163
2410014,Capitol Region Education Council,65441.36952
0130011,Bozrah School District,65408.36842
1420011,Tolland School District,65187.61326
0090011,Bethel School District,65158.45771
0730011,Lisbon School District,65148.88889
2700013,Side By Side Charter School District,65121.3125
0740011,Litchfield School District,65068.06818
2170012,Regional School District 17,64934.06471
2070012,Regional School District 07,64801.43038
1430011,Torrington School District,64659.69474
1000011,North Canaan School District,64637.17241
1640011,Windsor School District,64324.89377
2040012,Regional School District 04,64309.08333
1460011,Vernon School District,64288.85714
1080011,Oxford School District,64280.00813
0330011,Cromwell School District,64253.00746
2160012,Regional School District 16,64238.51497
0230011,Canton School District,64232.82569
0710011,Lebanon School District,64158.16667
0960011,New Milford School District,64147.0
1040011,Norwich School District,64139.12737
1020011,North Stonington School District,64137.6875
0120011,Bolton School District,64111.9375
0150011,Bridgeport School District,64103.01487
0560011,Granby School District,64021.1194
0240011,Chaplin School District,63901.88235
0110011,Bloomfield School District,63843.14595
0220011,Canterbury School District,63730.12821
0440011,East Haven School District,63697.30918
1100011,Plainville School District,63686.00568
1370011,Stonington School District,63537.27389
1560011,West Haven School District,63507.60892
1210011,Salem School District,63500.48485
1540011,Westbrook School District,63492.38554
1250011,Sharon School District,63389.26087
0770011,Manchester School District,63381.96739
,Woodstock Academy,63370.8125
1690011,Woodstock School District,63287.52542
0670011,Hebron School District,63256.96721
2690013,The Bridge Academy District,63253.76471
1110011,Plymouth School District,63188.13043
0360011,Deep River School District,63081.31034
1600011,Willington School District,63078.11905
1290011,Somers School District,63006.20561
1340011,Stafford School District,62696.62602
1160011,Putnam School District,62525.10714
0580011,Griswold School District,62504.30252
1130011,Portland School District,62425.67742
0450011,East Lyme School District,62302.2657
0320011,Coventry School District,62161.50806
1090011,Plainfield School District,62002.58108
1060011,Old Saybrook School District,61910.82353
0950011,New London School District,61782.33333
2060012,Regional School District 06,61773.91139
0630011,Hampton School District,61584.23077
1510011,Waterbury School District,61424.28357
0390011,Eastford School District,61076.0
0310011,Cornwall School District,60831.5
2080012,Regional School District 08,60830.32308
0500011,Essex School District,60575.82051
0690011,Killingly School District,60179.96
2780013,Trailblazers Academy District,60056.0
0010011,Andover School District,59970.76923
0930011,New Haven School District,59767.05899
1400011,Thomaston School District,59718.94521
0370011,Derby School District,59297.57303
0260011,Chester School District,59282.04545
1410011,Thompson School District,58901.23171
1630011,Windham School District,58846.74888
1470011,Voluntown School District,58839.80769
2100012,Regional School District 10,58687.34066
2150012,Regional School District 15,58555.50929
1120011,Pomfret School District,57928.78378
2610013,Jumoke Academy District,57110.58065
2720013,Explorations District,57055.0
0030011,Ashford School District,56571.79487
2790013,Amistad Academy District,56243.54667
0210011,Canaan School District,56128.28571
0080011,Bethany School District,55983.76316
0020011,Ansonia School District,55331.25
1230011,Scotland School District,55306.0
2110012,Regional School District 11,54806.5
2430014,Cooperative Educational Services,53995.56863
,New Beginnings Inc. Family Academy District,53750.7037
2640013,Integrated Day Charter School District,53694.61905
2450014,Learn,53658.2807
,Stamford Academy,53302.33333
0980011,Norfolk School District,52856.0
,Achievement First Hartford Academy Inc.,52769.5
1330011,Sprague School District,52759.48
1360011,Sterling School District,52440.87879
,Park City Prep Charter School,52400.0
,Project Oceanology,50882.16667
2650013,Interdistrict School for Arts and Comm District,50551.2
,Education Connection,50295.8
,Elm City College Preparatory School,49414.05
2860013,Highville Charter School District,49309.37037
2630013,Odyssey Community School District,49296.0
,Bridgeport Achievement First,48332.93878
0290011,Colebrook School District,48025.18182
1450011,Union School District,43249.22222
2680013,Common Ground High School District,41118.31579
,Eastern Connecticut Regional Educational Service C,39018.02941
,Unified School District #2,20321.70833
