district,subject,total_numberof_students,total_numbertested,smarter_balancedparticipationrate,total_number_with_scored_tests,level_1not_met_level_1_not_met_count,level_1not_met_pct,level_2approaching_level_2_approaching_count,level_2approaching_pct,level_3met_level_3_met_count,level_3met_pct,level_4exceeded_level_4_exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_level_3_4_met_or_exceeded_count,level_3_4met_or_exceeded_pct,year
State of Connecticut,ELA,238020,234988,98.7,234884,53906,23.0,50297,21.4,71532,30.5,59149,25.2,130681,55.6,2015-16
State of Connecticut,Math,237960,234384,98.5,234284,66256,28.3,64893,27.7,54935,23.4,48200,20.6,103135,44.0,2015-16
