district,progress,proficient,academic_target_met,all_three_met,dist_code,check_dist_col,district_code,school_code,year,drg
Ansonia School District,0.8902,0.7904,Yes - Too Few ELs,Yes,0020011,Ansonia School District,0020011,0020011,2010-11,H
Bethel School District,0.8929,0.694,Yes - Too Few ELs,Yes,0090011,Bethel School District,0090011,0090011,2010-11,D
Bridgeport School District,0.7917,0.5262,No,No,0150011,Bridgeport School District,0150011,0150011,2010-11,I
Bristol School District,0.8083,0.6848,No,No,0170011,Bristol School District,0170011,0170011,2010-11,G
Cheshire School District,1,0.7143,Yes - Too Few ELs,Yes,0250011,Cheshire School District,0250011,0250011,2010-11,B
Danbury School District,0.8613,0.5541,No,No,0340011,Danbury School District,0340011,0340011,2010-11,H
Derby School District,0.8356,0.859,No,No,0370011,Derby School District,0370011,0370011,2010-11,H
East Hartford School District,0.923,0.7405,No,No,0430011,East Hartford School District,0430011,0430011,2010-11,H
East Haven School District,0.9019,0.7238,No,No,0440011,East Haven School District,0440011,0440011,2010-11,G
Enfield School District,0.8997,0.7081,Yes - Too Few ELs,Yes,0490011,Enfield School District,0490011,0490011,2010-11,F
Fairfield School District,0.8952,0.782,No,No,0510011,Fairfield School District,0510011,0510011,2010-11,B
Glastonbury School District,0.9281,0.8468,No,No,0540011,Glastonbury School District,0540011,0540011,2010-11,B
Greenwich School District,0.9003,0.8143,No,No,0570011,Greenwich School District,0570011,0570011,2010-11,B
Groton School District,0.8967,0.5094,Yes - Too Few ELs,Yes,0590011,Groton School District,0590011,0590011,2010-11,G
Hamden School District,0.9107,0.7246,No,No,0620011,Hamden School District,0620011,0620011,2010-11,G
Hartford School District,0.7991,0.4309,No,No,0640011,Hartford School District,0640011,0640011,2010-11,I
Manchester School District,0.8646,0.6739,No,No,0770011,Manchester School District,0770011,0770011,2010-11,G
Meriden School District,0.7429,0.3933,No,No,0800011,Meriden School District,0800011,0800011,2010-11,H
Middletown School District,0.9128,0.6052,No,No,0830011,Middletown School District,0830011,0830011,2010-11,G
Milford School District,0.8579,0.7005,Yes - Too Few ELs,Yes,0840011,Milford School District,0840011,0840011,2010-11,D
Montville School District,0.9146,0.6218,Yes - Too Few ELs,Yes,0860011,Montville School District,0860011,0860011,2010-11,F
Naugatuck School District,0.8071,0.6806,No,No,0880011,Naugatuck School District,0880011,0880011,2010-11,G
New Britain School District,0.7883,0.437,No,No,0890011,New Britain School District,0890011,0890011,2010-11,I
New Haven School District,0.8409,0.4612,No,No,0930011,New Haven School District,0930011,0930011,2010-11,I
Newington School District,0.908,0.7833,No,No,0940011,Newington School District,0940011,0940011,2010-11,D
New London School District,0.7881,0.5656,No,No,0950011,New London School District,0950011,0950011,2010-11,I
New Milford School District,0.9448,0.6654,No,No,0960011,New Milford School District,0960011,0960011,2010-11,D
Norwalk School District,0.8547,0.6646,No,No,1030011,Norwalk School District,1030011,1030011,2010-11,H
Norwich School District,0.8447,0.5003,No,No,1040011,Norwich School District,1040011,1040011,2010-11,H
Plainville School District,0.9556,0.7366,No,No,1100011,Plainville School District,1100011,1100011,2010-11,F
