drg,year,grad_rate
A,2011-12,98.4
A,2012-13,97.6
A,2013-14,98.2
A,2014-15,98.05
A,2015-16,97.9
B,2011-12,96.4
B,2012-13,96.2
B,2013-14,97.0
B,2014-15,97.2
B,2015-16,97.25
C,2011-12,92.0
C,2012-13,94.65
C,2013-14,95.4
C,2014-15,96.9
C,2015-16,96.1
D,2011-12,92.6
D,2012-13,91.7
D,2013-14,93.45
D,2014-15,94.75
D,2015-16,95.1
E,2011-12,92.8
E,2012-13,91.95
E,2013-14,94.55
E,2014-15,95.65
E,2015-16,96.0
F,2011-12,88.4
F,2012-13,88.05
F,2013-14,91.2
F,2014-15,90.95
F,2015-16,92.7
G,2011-12,85.25
G,2012-13,83.2
G,2013-14,86.7
G,2014-15,87.35
G,2015-16,89.4
H,2011-12,80.3
H,2012-13,80.9
H,2013-14,82.4
H,2014-15,88.5
H,2015-16,85.65
I,2011-12,68.6
I,2012-13,71.7
I,2013-14,74.0
I,2014-15,78.95
I,2015-16,87.2
