year,subject,drg,total_numberwith_scored_tests,weight,average_score
2016-17,ELA,A,1900.0,1170275.0,615.934210526
2016-17,ELA,B,5163.0,3003811.0,581.795661437
2016-17,ELA,C,2132.0,1204510.0,564.967166979
2016-17,ELA,D,3624.0,1974658.0,544.883554084
2016-17,ELA,E,774.0,423896.0,547.669250646
2016-17,ELA,F,1041.0,544595.0,523.146013449
2016-17,ELA,G,4299.0,2141413.0,498.118864852
2016-17,ELA,H,3835.0,1884301.0,491.34315515
2016-17,ELA,I,5235.0,2367730.0,452.288443171
2016-17,Math,A,1896.0,1155328.0,609.35021097
2016-17,Math,B,5157.0,2933281.0,568.79600543
2016-17,Math,C,2130.0,1174612.0,551.461032864
2016-17,Math,D,3621.0,1914140.0,528.621927644
2016-17,Math,E,773.0,407508.0,527.177231565
2016-17,Math,F,1040.0,525631.0,505.414423077
2016-17,Math,G,4287.0,2046683.0,477.416141824
2016-17,Math,H,3823.0,1800344.0,470.924404918
2016-17,Math,I,5206.0,2242609.0,430.773914714
