race_ethnicity,four_y_percent
All,87.9
American Indian or Alaska Native,86.25
Asian,95.2
Black or African American,78.8
Hispanic or Latino,79.5
Native Hawaiian or Other Pacific Islander,85.7
Two or More Races,82.1
White,90.525
