american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year,tot_check,hispanic,other,black,oth_total,oth_tot_check
0.0,0.0,23.0,0.0,0.0,Berlin School District,0070011,22.0,0.0,0.0,0.0,Catherine M. McGee Middle School,0075111,778,0.0,723.0,723.0,2007-08,10.0,22.0,0.0,0.0,10.0,0.0
0.0,0.0,39.0,0.0,0.0,Berlin School District,0070011,16.0,0.0,0.0,0.0,Emma Hart Willard School,0070411,577,0.0,511.0,511.0,2007-08,11.0,16.0,0.0,0.0,11.0,0.0
0.0,0.0,16.0,0.0,0.0,Berlin School District,0070011,21.0,0.0,0.0,0.0,Mary E. Griswold School,0070511,589,0.0,544.0,544.0,2007-08,8.0,21.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,7.0,0.0,Berlin School District,0070011,7.0,0.0,0.0,0.0,Richard D. Hubbard School,0070111,263,0.0,241.0,241.0,2007-08,8.0,7.0,0.0,7.0,8.0,0.0
0.0,0.0,37.0,16.0,0.0,Bethany School District,0080011,0.0,0.0,0.0,0.0,Bethany Community School,0080111,569,0.0,508.0,508.0,2007-08,8.0,0.0,0.0,16.0,8.0,0.0
0.0,0.0,42.0,8.0,0.0,Bethel School District,0090011,46.0,0.0,0.0,0.0,Anna H. Rockwell School,0090411,425,0.0,329.0,329.0,2007-08,0.0,46.0,0.0,8.0,0.0,0.0
0.0,0.0,68.0,0.0,0.0,Bethel School District,0090011,91.0,0.0,0.0,0.0,Bethel High School,0096111,1034,0.0,850.0,850.0,2007-08,25.0,91.0,0.0,0.0,25.0,0.0
0.0,0.0,42.0,0.0,0.0,Bethel School District,0090011,88.0,0.0,0.0,0.0,Bethel Middle School,0095111,743,0.0,598.0,598.0,2007-08,15.0,88.0,0.0,0.0,15.0,0.0
0.0,0.0,38.0,11.0,0.0,Bethel School District,0090011,47.0,0.0,0.0,0.0,Frank A. Berry School,0090111,488,0.0,392.0,392.0,2007-08,0.0,47.0,0.0,11.0,0.0,0.0
0.0,0.0,28.0,9.0,0.0,Bethel School District,0090011,49.0,0.0,0.0,0.0,Ralph M. T. Johnson School,0090511,454,0.0,368.0,368.0,2007-08,0.0,49.0,0.0,9.0,0.0,0.0
0.0,0.0,0.0,562.0,0.0,Bloomfield School District,0110011,37.0,0.0,0.0,0.0,Bloomfield High School,0116111,625,0.0,0.0,0.0,2007-08,26.0,37.0,0.0,562.0,26.0,0.0
0.0,0.0,0.0,301.0,0.0,Bloomfield School District,0110011,23.0,0.0,0.0,0.0,Carmen Arace Intermediate School,0110711,348,0.0,0.0,0.0,2007-08,24.0,23.0,0.0,301.0,24.0,0.0
0.0,0.0,0.0,300.0,0.0,Bloomfield School District,0110011,32.0,0.0,0.0,0.0,Carmen Arace Middle School,0115211,342,0.0,0.0,0.0,2007-08,10.0,32.0,0.0,300.0,10.0,0.0
0.0,0.0,0.0,262.0,0.0,Bloomfield School District,0110011,27.0,0.0,0.0,0.0,J. P. Vincent School,0110311,315,0.0,22.0,22.0,2007-08,4.0,27.0,0.0,262.0,4.0,0.0
0.0,0.0,0.0,236.0,0.0,Bloomfield School District,0110011,16.0,0.0,0.0,0.0,Laurel School,0110611,268,0.0,12.0,12.0,2007-08,4.0,16.0,0.0,236.0,4.0,0.0
0.0,0.0,0.0,208.0,0.0,Bloomfield School District,0110011,16.0,0.0,0.0,0.0,Metacomet School,0110511,238,0.0,0.0,0.0,2007-08,14.0,16.0,0.0,208.0,14.0,0.0
0.0,0.0,0.0,63.0,0.0,Bloomfield School District,0110011,0.0,0.0,0.0,0.0,The Big Picture High School,0116211,79,0.0,10.0,10.0,2007-08,6.0,0.0,0.0,63.0,6.0,0.0
0.0,0.0,13.0,25.0,0.0,Bolton School District,0120011,7.0,0.0,0.0,0.0,Bolton Center School,0120111,597,0.0,552.0,552.0,2007-08,0.0,7.0,0.0,25.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,Bolton School District,0120011,0.0,0.0,0.0,0.0,Bolton High School,0126111,275,0.0,260.0,260.0,2007-08,15.0,0.0,0.0,0.0,15.0,0.0
0.0,0.0,0.0,10.0,0.0,Bozrah School District,0130011,16.0,0.0,0.0,0.0,Fields Memorial School,0130111,264,0.0,236.0,236.0,2007-08,2.0,16.0,0.0,10.0,2.0,0.0
0.0,0.0,59.0,0.0,0.0,Branford School District,0140011,41.0,0.0,0.0,0.0,Branford High School,0146111,1146,0.0,1006.0,1006.0,2007-08,40.0,41.0,0.0,0.0,40.0,0.0
0.0,0.0,81.0,0.0,0.0,Branford School District,0140011,55.0,0.0,0.0,0.0,Francis Walsh Intermediate School,0145111,1082,0.0,917.0,917.0,2007-08,29.0,55.0,0.0,0.0,29.0,0.0
0.0,0.0,0.0,0.0,0.0,Branford School District,0140011,9.0,0.0,0.0,0.0,Indian Neck School,0148011,58,0.0,40.0,40.0,2007-08,9.0,9.0,0.0,0.0,9.0,0.0
0.0,0.0,21.0,0.0,0.0,Branford School District,0140011,22.0,0.0,0.0,0.0,John B. Sliney School,0141611,345,0.0,296.0,296.0,2007-08,6.0,22.0,0.0,0.0,6.0,0.0
0.0,0.0,20.0,0.0,0.0,Branford School District,0140011,20.0,0.0,0.0,0.0,Mary R. Tisko School,0141511,430,0.0,375.0,375.0,2007-08,15.0,20.0,0.0,0.0,15.0,0.0
0.0,0.0,41.0,0.0,0.0,Branford School District,0140011,40.0,0.0,0.0,0.0,Mary T. Murphy School,0141411,416,0.0,312.0,312.0,2007-08,23.0,40.0,0.0,0.0,23.0,0.0
0.0,0.0,0.0,50.0,0.0,Bridgeport Achievement First District,2850013,0.0,0.0,0.0,0.0,Achievement First Bridgeport Academy,2850113,85,0.0,0.0,0.0,2007-08,35.0,0.0,0.0,50.0,35.0,0.0
0.0,0.0,0.0,108.0,0.0,Bridgeport School District,0150011,166.0,0.0,0.0,0.0,Barnum School,0150111,279,0.0,0.0,0.0,2007-08,5.0,166.0,0.0,108.0,5.0,0.0
0.0,0.0,48.0,644.0,0.0,Bridgeport School District,0150011,535.0,0.0,0.0,0.0,Bassick High School,0156111,1285,0.0,58.0,58.0,2007-08,0.0,535.0,0.0,644.0,0.0,0.0
0.0,0.0,0.0,233.0,0.0,Bridgeport School District,0150011,355.0,0.0,0.0,0.0,Beardsley School,0150211,607,0.0,14.0,14.0,2007-08,5.0,355.0,0.0,233.0,5.0,0.0
0.0,0.0,0.0,68.0,0.0,Bridgeport School District,0150011,156.0,0.0,0.0,0.0,Black Rock School,0150311,272,0.0,39.0,39.0,2007-08,9.0,156.0,0.0,68.0,9.0,0.0
0.0,0.0,0.0,392.0,0.0,Bridgeport School District,0150011,495.0,0.0,0.0,0.0,Blackham School,0154011,1177,0.0,235.0,235.0,2007-08,55.0,495.0,0.0,392.0,55.0,0.0
