school_code,district,drg,school,grad_rate,year
2880113,Achievement First Hartford Academy Inc. District,,Achievement First Hartford Academy Inc.,,2011-12
2795113,Amistad Academy District,,Amistad Academy,71.4,2011-12
0026111,Ansonia School District,H,Ansonia High School,76.5,2011-12
0046111,Avon School District,B,Avon High School,96.5,2011-12
0076111,Berlin School District,D,Berlin High School,95.4,2011-12
0096111,Bethel School District,D,Bethel High School,94.9,2011-12
0116111,Bloomfield School District,G,Bloomfield High School,83.3,2011-12
0116311,Bloomfield School District,G,Global Experience Magnet School,,2011-12
0116411,Bloomfield School District,G,Learning Academy at Bloomfield,,2011-12
0116211,Bloomfield School District,G,The Big Picture High School,,2011-12
0126111,Bolton School District,C,Bolton High School,90.4,2011-12
0146111,Branford School District,D,Branford High School,95.2,2011-12
2850113,Bridgeport Achievement First District,,Achievement First Bridgeport Academy,,2011-12
0150811,Bridgeport School District,I,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,2011-12
0156111,Bridgeport School District,I,Bassick High School,47.7,2011-12
0150611,Bridgeport School District,I,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,2011-12
0156211,Bridgeport School District,I,Central High School,78.4,2011-12
0156311,Bridgeport School District,I,Harding High School,66.1,2011-12
0151511,Bridgeport School District,I,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,2011-12
0176111,Bristol School District,G,Bristol Central High School,86.1,2011-12
0176211,Bristol School District,G,Bristol Eastern High School,86.2,2011-12
0186111,Brookfield School District,B,Brookfield High School,97.2,2011-12
0236111,Canton School District,C,Canton High School,97.5,2011-12
2970113,Capital Preparatory Harbor School Inc. District,,Capital Preparatory Harbor School Inc.,,2011-12
2415114,Capitol Region Education Council,,Academy of Aerospace and Engineering,,2011-12
2416514,Capitol Region Education Council,,Academy of Science and Innovation,,2011-12
2416314,Capitol Region Education Council,,Great Path Academy at MCC,81.0,2011-12
2416414,Capitol Region Education Council,,Greater Hartford Academy of  the Arts High School - Full Time,87.9,2011-12
,Capitol Region Education Council,,Medical Professions and Teacher Preparation Academy,,2011-12
2416114,Capitol Region Education Council,,Metropolitan Learning Center for Global and International Studies,93.4,2011-12
2415214,Capitol Region Education Council,,Public Safety Academy,,2011-12
2416714,Capitol Region Education Council,,Two Rivers Magnet High School,,2011-12
0256111,Cheshire School District,B,Cheshire High School,98.5,2011-12
0276111,Clinton School District,D,The Morgan School,92.6,2011-12
0286111,Colchester School District,D,Bacon Academy,94.7,2011-12
2686113,Common Ground High School District,,Common Ground High School,90.3,2011-12
9001516,Connecticut Technical High School System,,A. I. Prince Technical High School,92.9,2011-12
9001116,Connecticut Technical High School System,,Bullard-Havens Technical High School,94.7,2011-12
9001916,Connecticut Technical High School System,,E. C. Goodwin Technical High School,93.0,2011-12
9001416,Connecticut Technical High School System,,Eli Whitney Technical High School,92.0,2011-12
9002716,Connecticut Technical High School System,,Ella T. Grasso Southeastern Technical High School,94.2,2011-12
9002516,Connecticut Technical High School System,,Emmett O'Brien Technical High School,97.0,2011-12
9001716,Connecticut Technical High School System,,H. C. Wilcox Technical High School,97.1,2011-12
9001316,Connecticut Technical High School System,,H. H. Ellis Technical High School,96.2,2011-12
9001216,Connecticut Technical High School System,,Henry Abbott Technical High School,96.9,2011-12
9001616,Connecticut Technical High School System,,Howell Cheney Technical High School,97.2,2011-12
9002016,Connecticut Technical High School System,,Norwich Technical High School,96.7,2011-12
9002216,Connecticut Technical High School System,,Oliver Wolcott Technical High School,97.5,2011-12
9002616,Connecticut Technical High School System,,Platt Technical High School,97.2,2011-12
9001816,Connecticut Technical High School System,,Vinal Technical High School,96.2,2011-12
9002316,Connecticut Technical High School System,,W. F. Kaynor Technical High School,98.3,2011-12
9002416,Connecticut Technical High School System,,Windham Technical High School,97.1,2011-12
0326111,Coventry School District,E,Coventry High School,86.8,2011-12
0336111,Cromwell School District,D,Cromwell High School,94.5,2011-12
0346211,Danbury School District,H,Alternative Center For Excellence,,2011-12
0346111,Danbury School District,H,Danbury High School,80.3,2011-12
0356111,Darien School District,A,Darien High School,97.1,2011-12
0376111,Derby School District,H,Derby High School,77.5,2011-12
0406111,East Granby School District,D,East Granby High School,,2011-12
0416111,East Haddam School District,E,Nathan Hale-Ray High School,93.9,2011-12
0426111,East Hampton School District,D,East Hampton High School,95.6,2011-12
0436311,East Hartford School District,H,Connecticut IB Academy,92.1,2011-12
0436211,East Hartford School District,H,East Hartford High School,87.1,2011-12
0436411,East Hartford School District,H,Stevens Alternate High school,,2011-12
0446111,East Haven School District,G,East Haven High School,75.1,2011-12
0456111,East Lyme School District,D,East Lyme High School,95.6,2011-12
0476111,East Windsor School District,F,East Windsor High School,88.4,2011-12
2536014,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Arts at the Capitol Theater Magnet School (ACT),88.9,2011-12
2536114,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Quinebaug Middle College,69.8,2011-12
0486111,Ellington School District,C,Ellington High School,91.0,2011-12
2890113,Elm City College Preparatory School District,,Elm City College Preparatory School,,2011-12
0496111,Enfield School District,F,Enfield High School,88.0,2011-12
0496211,Enfield School District,F,Enrico Fermi High School,87.8,2011-12
