school_code,district,school,language,ltss,eligible_for_bilingual,total_els,year
0340811,Danbury School District,Park Avenue School,Spanish,57,151.0,208.0,2016-17
0340811,Danbury School District,Park Avenue School,Portuguese,14,61.0,75.0,2016-17
0341011,Danbury School District,South Street School,Spanish,22,135.0,157.0,2016-17
0341011,Danbury School District,South Street School,Portuguese,5,26.0,31.0,2016-17
0341111,Danbury School District,Great Plain School,Spanish,3,108.0,111.0,2016-17
0341211,Danbury School District,Shelter Rock School,Spanish,5,90.0,95.0,2016-17
0341211,Danbury School District,Shelter Rock School,Portuguese,10,37.0,47.0,2016-17
0341311,Danbury School District,King Street Primary School,Spanish,11,88.0,99.0,2016-17
0341411,Danbury School District,Ellsworth Avenue School,Spanish,37,131.0,168.0,2016-17
0341411,Danbury School District,Ellsworth Avenue School,Portuguese,8,37.0,45.0,2016-17
0341511,Danbury School District,Pembroke School,Spanish,3,44.0,47.0,2016-17
0341611,Danbury School District,Stadley Rough School,Spanish,20,96.0,116.0,2016-17
0341611,Danbury School District,Stadley Rough School,Portuguese,15,29.0,44.0,2016-17
0341911,Danbury School District,Western CT Academy of International Studies Elementary Magnet School,Spanish,5,20.0,25.0,2016-17
0345111,Danbury School District,Broadview Middle School,Spanish,32,62.0,94.0,2016-17
0345211,Danbury School District,Rogers Park Middle School,Spanish,33,138.0,171.0,2016-17
0345211,Danbury School District,Rogers Park Middle School,Portuguese,5,26.0,31.0,2016-17
0346111,Danbury School District,Danbury High School,Spanish,88,227.0,315.0,2016-17
0346111,Danbury School District,Danbury High School,Portuguese,11,46.0,57.0,2016-17
District Total,,,,431,1807.0,2238.0,2016-17
0430611,East Hartford School District,Dr. Franklin H. Mayberry School,Spanish,13,38.0,51.0,2016-17
0430911,East Hartford School District,Anna E. Norris School,Spanish,17,30.0,47.0,2016-17
0431011,East Hartford School District,Dr. Thomas S. O'Connell School,Spanish,0,24.0,24.0,2016-17
0431211,East Hartford School District,Silver Lane School,Spanish,0,24.0,24.0,2016-17
0431811,East Hartford School District,Robert J. O'Brien School,Spanish,20,51.0,71.0,2016-17
0432211,East Hartford School District,Dr. John A. Langford School,Spanish,9,42.0,51.0,2016-17
0435111,East Hartford School District,East Hartford Middle School,Spanish,39,34.0,73.0,2016-17
0436211,East Hartford School District,East Hartford High School,Spanish,52,59.0,111.0,2016-17
District Total,,,,150,302.0,452.0,2016-17
0441011,East Haven School District,Grove J. Tuttle School,Spanish,1,22.0,23.0,2016-17
0441811,East Haven School District,Overbrook Elementary School,Spanish,0,22.0,22.0,2016-17
0445111,East Haven School District,Joseph Melillo Middle School,Spanish,4,31.0,35.0,2016-17
0446111,East Haven School District,East Haven High School,Spanish,2,24.0,26.0,2016-17
District Total,,,,7,99.0,106.0,2016-17
0570211,Greenwich School District,Cos Cob School,Japanese,0,23.0,23.0,2016-17
0570311,Greenwich School District,Julian Curtiss School,Spanish,1,22.0,23.0,2016-17
0570611,Greenwich School District,New Lebanon School,Spanish,14,34.0,48.0,2016-17
0576111,Greenwich School District,Greenwich High School,Spanish,7,32.0,39.0,2016-17
District Total,,,,22,111.0,133.0,2016-17
0596111,Groton School District,Robert E. Fitch High School,Spanish,1,20.0,21.0,2016-17
District Total,,,,1,20.0,21.0,2016-17
0620211,Hamden School District,Church Street School,Spanish,0,33.0,33.0,2016-17
