district,subject,total_numberof_students,total_numbertested,connecticut_school_day_satparticipationrate,total_numberwith_scored_tests,level_1not_met_count,level_1not_met_pct,level_2approaching_count,level_2approaching_pct,level_3met_count,level_3met_pct,level_4exceeded_count,level_4exceeded_pct,level_3_4met_or_exceeded_count,level_3_4met_or_exceeded_pct,level_3_4met_or_exceeded_averagescore,level,year,average_score
State of Connecticut,ELA,40002,38421,96.0,38419,6767,17.6,6530,17.0,17778,46.3,7344,19.1,25122,65.4,524,Statewide,2016-17,524
State of Connecticut,Math,40002,38421,96.0,38290,8114,21.2,14365,37.5,11024,28.8,4787,12.5,15811,41.3,507,Statewide,2016-17,507
